n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;3.13664;2.65254;0.484077;0.120051;0.0562312;0.000120216;0.062121;0.138507;0.0553135;8.8065e-05;0.0516455;
48;16384;16384;measure;scatter;3.17801;2.70884;0.469157;0.12041;0.0565401;8.3447e-05;0.0584431;0.125211;0.0556738;0.000375676;0.0524195;
48;16384;16384;measure;scatter;3.20317;2.70434;0.498811;0.120473;0.0562365;8.4389e-05;0.0594704;0.152124;0.0566252;9.9847e-05;0.053697;
48;16384;16384;measure;scatter;3.16349;2.69563;0.467836;0.120471;0.0564727;8.4509e-05;0.061251;0.120625;0.0560163;9.012e-05;0.0528256;
48;16384;16384;measure;scatter;3.15484;2.69501;0.459806;0.111785;0.0558531;8.5751e-05;0.0618374;0.120887;0.0562579;8.4669e-05;0.0530162;
48;16384;16384;measure;scatter;3.16184;2.70638;0.455443;0.112657;0.0556092;5.5985e-05;0.0610692;0.117052;0.056445;8.0771e-05;0.0524737;
48;16384;16384;measure;scatter;3.18203;2.69137;0.490639;0.111329;0.0562561;6.4161e-05;0.0610142;0.152328;0.0560323;0.00115942;0.0524551;
48;16384;16384;measure;scatter;3.16823;2.68553;0.482685;0.119003;0.0560889;8.05921e-05;0.0581945;0.141064;0.0558485;7.5442e-05;0.0523296;
48;16384;16384;measure;scatter;3.16234;2.69844;0.463884;0.120903;0.0557343;8.1092e-05;0.0585908;0.12016;0.0561214;8.9137e-05;0.0522041;
48;16384;16384;measure;scatter;3.1792;2.69218;0.487006;0.119848;0.0559742;7.3769e-05;0.0588235;0.142382;0.0585339;9.2744e-05;0.0512772;
48;16384;16384;measure;scatter;5.88781;2.33919;3.5486;0.0597753;0.0263226;1.38907;0.0388146;0.0682971;0.0240139;1.90255;0.0397542;
48;16384;16384;measure;scatter;6.02145;2.33248;3.68896;0.063836;0.0226338;1.52646;0.0436911;0.0670835;0.0265505;1.89838;0.0403133;
48;16384;16384;measure;scatter;5.68783;2.33809;3.34972;0.07715;0.0232069;1.36585;0.0483214;0.082624;0.0284522;1.68211;0.0419978;
48;16384;16384;measure;scatter;5.9883;2.36801;3.62028;0.0663544;0.0231609;1.39873;0.0503476;0.0777039;0.0292962;1.93576;0.0389286;
48;16384;16384;measure;scatter;5.55202;2.35403;3.19797;0.0660254;0.022897;1.30197;0.0444834;0.0697891;0.0269904;1.62309;0.0427271;
48;16384;16384;measure;scatter;6.02795;2.34542;3.68251;0.0635561;0.0238033;1.45118;0.0485273;0.0807205;0.0288261;1.94506;0.0408363;
48;16384;16384;measure;scatter;5.72042;2.34122;3.37918;0.0640824;0.022638;1.33721;0.0442082;0.0675517;0.0268058;1.77849;0.0381937;
48;16384;16384;measure;scatter;5.5301;2.3746;3.15549;0.0642476;0.0229177;1.28787;0.0494192;0.0742463;0.0290536;1.59056;0.0371732;
48;16384;16384;measure;scatter;6.05616;2.34556;3.71059;0.0648663;0.0229159;1.20867;0.0457178;0.0680212;0.0270455;2.23046;0.0428883;
48;16384;16384;measure;scatter;5.37693;2.35762;3.0193;0.0599802;0.0259825;1.25827;0.0440983;0.074923;0.0288078;1.48164;0.0455975;
48;16384;16384;measure;scatter;5.02627;2.20413;2.82212;0.0574579;0.0245722;1.18126;0.0573972;0.0422252;0.0147148;1.3975;0.046989;
