n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;all_to_all;3.1136;2.64025;0.473335;0.112017;0.055821;8.7645e-05;0.0611589;0.136563;0.0556715;8.9929e-05;0.0519269;
48;16384;16384;measure;all_to_all;3.15701;2.69378;0.463213;0.119698;0.0562699;9.4467e-05;0.0597395;0.11881;0.0562896;7.5602e-05;0.052236;
48;16384;16384;measure;all_to_all;3.15402;2.68233;0.471664;0.12027;0.0566661;8.6011e-05;0.0587876;0.119336;0.0564049;7.5392e-05;0.0600382;
48;16384;16384;measure;all_to_all;3.1931;2.70329;0.489781;0.119203;0.0556402;8.7484e-05;0.0581818;0.148423;0.0562965;0.000101902;0.051847;
48;16384;16384;measure;all_to_all;3.18835;2.70395;0.484382;0.121787;0.0560113;9.3266e-05;0.0588074;0.141227;0.0552559;0.000100799;0.0510994;
48;16384;16384;measure;all_to_all;3.16547;2.68716;0.478291;0.113473;0.0556887;8.6663e-05;0.0616836;0.139261;0.0554072;9.9146e-05;0.0525912;
48;16384;16384;measure;all_to_all;3.19988;2.70699;0.492877;0.1237;0.0563028;8.6673e-05;0.0582758;0.145334;0.0560578;9.5109e-05;0.0530248;
48;16384;16384;measure;all_to_all;3.19143;2.71417;0.477243;0.120568;0.0565539;9.4808e-05;0.0606588;0.130282;0.0554716;0.00010126;0.053513;
48;16384;16384;measure;all_to_all;3.17892;2.70339;0.47552;0.112616;0.0558524;8.8968e-05;0.0607069;0.13898;0.0560775;9.7734e-05;0.0511006;
48;16384;16384;measure;all_to_all;3.16661;2.68551;0.481078;0.120871;0.0559498;0.00010115;0.0584338;0.137994;0.0553983;0.000103184;0.0522265;
48;16384;16384;measure;all_to_all;6.14164;2.31509;3.82655;0.0737239;0.0225845;1.33783;0.0448819;0.0679877;0.0262506;2.19837;0.0549188;
48;16384;16384;measure;all_to_all;5.95487;2.34007;3.61478;0.0638666;0.0230297;1.1299;0.0465893;0.0750038;0.0288825;2.20587;0.0416394;
48;16384;16384;measure;all_to_all;5.5128;2.3417;3.17109;0.0629175;0.0225319;1.12428;0.0407501;0.0818568;0.0281202;1.77263;0.0379965;
48;16384;16384;measure;all_to_all;5.87835;2.34361;3.53473;0.070492;0.0230633;1.1065;0.0445535;0.0796475;0.0295819;2.14312;0.0377656;
48;16384;16384;measure;all_to_all;6.05914;2.34194;3.71719;0.0626957;0.0230719;1.20397;0.0393181;0.0726425;0.0247652;2.25172;0.0390088;
48;16384;16384;measure;all_to_all;6.06211;2.35507;3.70702;0.0623723;0.024938;1.10454;0.0399403;0.0668112;0.0281704;2.33934;0.040909;
48;16384;16384;measure;all_to_all;5.63321;2.34879;3.2844;0.0668208;0.0227036;1.13013;0.0394782;0.0746075;0.0245669;1.88808;0.0380168;
48;16384;16384;measure;all_to_all;6.04506;2.34834;3.69671;0.0727853;0.0231789;1.16978;0.0481383;0.0812218;0.0287754;2.23668;0.0361498;
48;16384;16384;measure;all_to_all;6.21357;2.34459;3.86893;0.063821;0.0233658;1.08439;0.0383604;0.0687716;0.0235206;2.52816;0.0385415;
48;16384;16384;measure;all_to_all;6.00654;2.34301;3.66353;0.0705671;0.0231086;1.20283;0.0467812;0.075345;0.0267854;2.17525;0.0428515;
48;16384;16384;measure;all_to_all;5.1058;2.19355;2.91224;0.037154;0.0248838;0.955121;0.0621336;0.0499615;0.0257646;1.71961;0.0376131;
48;16384;16384;measure;all_to_all;5.84372;2.19394;3.64977;0.0457812;0.0244961;1.42663;0.0501506;0.0447203;0.0277789;1.9925;0.03771;
48;16384;16384;measure;all_to_all;5.46316;2.20872;3.25443;0.086538;0.0214861;1.13769;0.0485838;0.0523433;0.0242285;1.84522;0.0383454;
48;16384;16384;measure;all_to_all;5.0455;2.19105;2.85442;0.0483249;0.0462969;1.12886;0.0604821;0.05228;0.0283531;1.45106;0.0387663;
48;16384;16384;measure;all_to_all;5.3225;2.20407;3.11841;0.0376773;0.0455744;1.19776;0.0488239;0.0455843;0.0158673;1.67363;0.0534957;
48;16384;16384;measure;all_to_all;5.142;2.21717;2.92481;0.0358096;0.0570125;1.08799;0.0519555;0.0531101;0.0124123;1.57496;0.0515606;
48;16384;16384;measure;all_to_all;5.50992;2.20688;3.303;0.0387156;0.034628;1.21182;0.0496295;0.0479078;0.0179438;1.86136;0.0409899;
48;16384;16384;measure;all_to_all;5.24783;2.20879;3.03901;0.0416015;0.0235409;1.14181;0.0542703;0.0448165;0.027975;1.66595;0.039052;
48;16384;16384;measure;all_to_all;5.60305;2.20873;3.3943;0.034796;0.0139913;1.45645;0.0594717;0.0478602;0.0154417;1.72195;0.0443355;
