n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;all_to_all;3.18757;2.70022;0.48733;0.121149;0.0560854;0.000959062;0.0654364;0.136787;0.0555473;0.000109225;0.0512566;
48;16384;16384;measure;all_to_all;3.17672;2.69176;0.484944;0.113657;0.0556573;7.6944e-05;0.060026;0.147737;0.0562767;0.000103785;0.0514093;
48;16384;16384;measure;all_to_all;3.1114;2.65609;0.455289;0.117272;0.0560989;9.21332e-05;0.0597046;0.115622;0.0554439;6.50829e-05;0.0509915;
48;16384;16384;measure;all_to_all;3.1441;2.66295;0.481137;0.114698;0.0558123;9.4428e-05;0.0595382;0.143926;0.0554794;9.32158e-05;0.0514953;
48;16384;16384;measure;all_to_all;3.14701;2.67258;0.474415;0.115088;0.055539;8.6152e-05;0.0595178;0.136362;0.0553653;0.000101631;0.0523544;
48;16384;16384;measure;all_to_all;3.14815;2.66855;0.479586;0.121449;0.0555951;8.3437e-05;0.0587106;0.137104;0.0554807;9.9347e-05;0.0510639;
48;16384;16384;measure;all_to_all;3.12537;2.66113;0.464227;0.121873;0.0560905;0.000147186;0.0596161;0.11919;0.0555158;6.9611e-05;0.0517255;
48;16384;16384;measure;all_to_all;3.16921;2.68434;0.484855;0.1218;0.055956;8.74239e-05;0.0594479;0.139164;0.056429;0.00123079;0.0507397;
48;16384;16384;measure;all_to_all;3.14354;2.67384;0.469679;0.12176;0.0567607;7.88681e-05;0.0604846;0.121344;0.0562588;6.8608e-05;0.0529231;
48;16384;16384;measure;all_to_all;3.16358;2.66348;0.500073;0.121319;0.0565745;8.524e-05;0.0602239;0.152197;0.055456;0.00122345;0.0529934;
48;16384;16384;measure;all_to_all;3.1432;2.68305;0.460129;0.115668;0.0556524;8.75338e-05;0.0594585;0.122046;0.0554053;8.1273e-05;0.0517291;
48;16384;16384;measure;all_to_all;3.13303;2.67487;0.458153;0.114631;0.055913;7.7676e-05;0.0595744;0.121166;0.0560971;7.26162e-05;0.0506211;
48;16384;16384;measure;all_to_all;3.14362;2.66886;0.474738;0.113961;0.0559145;8.65632e-05;0.0596597;0.13686;0.0553561;8.6162e-05;0.0528143;
48;16384;16384;measure;all_to_all;3.1445;2.67712;0.467363;0.121821;0.0561032;8.53711e-05;0.0598147;0.121044;0.0565889;9.08901e-05;0.0518151;
48;16384;16384;measure;all_to_all;3.15153;2.68474;0.466766;0.122561;0.0563751;8.39771e-05;0.0594811;0.121017;0.0554819;8.76652e-05;0.0516785;
48;16384;16384;measure;all_to_all;3.17492;2.67022;0.504689;0.124563;0.0557265;8.5922e-05;0.0608758;0.154835;0.0555619;0.000102162;0.052939;
48;16384;16384;measure;all_to_all;3.14008;2.68507;0.454987;0.114764;0.0557253;8.6843e-05;0.0594949;0.11748;0.0560319;6.73558e-05;0.0513372;
48;16384;16384;measure;all_to_all;3.16897;2.69097;0.477982;0.116779;0.0562006;7.84171e-05;0.0593932;0.137067;0.0558111;9.94671e-05;0.0525534;
48;16384;16384;measure;all_to_all;3.1437;2.66485;0.478831;0.121365;0.0560478;7.73359e-05;0.0589635;0.135852;0.0553685;8.6803e-05;0.0510702;
48;16384;16384;measure;all_to_all;3.16761;2.69187;0.47572;0.113738;0.0561726;8.1002e-05;0.0593843;0.137095;0.0555769;0.000108684;0.0535643;
48;16384;16384;measure;all_to_all;3.16232;2.68819;0.47411;0.113828;0.0555987;6.69758e-05;0.0604427;0.136764;0.0556459;8.89469e-05;0.0516745;
48;16384;16384;measure;all_to_all;3.15685;2.69099;0.465847;0.122274;0.0558236;8.9017e-05;0.0599133;0.120694;0.0561863;7.81468e-05;0.0507876;
