n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;estimate;0.011809;38.3664;7.28589e+09;
1;1;16384;16384;estimate;0.0118167;38.2662;7.28589e+09;
1;1;16384;16384;estimate;0.0118092;38.3376;7.28589e+09;
1;1;16384;16384;estimate;0.0117941;38.39;7.28589e+09;
1;1;16384;16384;estimate;0.0118427;37.9556;7.28589e+09;
1;2;16384;16384;estimate;0.0126356;32.2124;7.28589e+09;
1;2;16384;16384;estimate;0.0126579;31.8502;7.28589e+09;
1;2;16384;16384;estimate;0.0127095;31.5572;7.28589e+09;
1;2;16384;16384;estimate;0.0126801;31.8926;7.28589e+09;
1;2;16384;16384;estimate;0.0126615;32.015;7.28589e+09;
1;4;16384;16384;estimate;0.0162586;15.8157;7.28589e+09;
1;4;16384;16384;estimate;0.016247;15.8284;7.28589e+09;
1;4;16384;16384;estimate;0.0162307;15.8055;7.28589e+09;
1;4;16384;16384;estimate;0.0162386;15.7038;7.28589e+09;
1;4;16384;16384;estimate;0.0162266;15.9724;7.28589e+09;
1;8;16384;16384;estimate;0.0186315;10.1773;7.28589e+09;
1;8;16384;16384;estimate;0.0186857;10.2106;7.28589e+09;
1;8;16384;16384;estimate;0.0186478;10.2597;7.28589e+09;
1;8;16384;16384;estimate;0.0186241;10.2462;7.28589e+09;
1;8;16384;16384;estimate;0.0186657;10.2441;7.28589e+09;
1;16;16384;16384;estimate;0.0226298;5.78776;7.28589e+09;
1;16;16384;16384;estimate;0.0225004;5.8387;7.28589e+09;
1;16;16384;16384;estimate;0.022523;5.74952;7.28589e+09;
1;16;16384;16384;estimate;0.0224889;5.74454;7.28589e+09;
1;16;16384;16384;estimate;0.0225231;5.78456;7.28589e+09;
1;32;16384;16384;estimate;0.0281788;137.143;7.28589e+09;
1;32;16384;16384;estimate;0.0281736;137.099;7.28589e+09;
1;32;16384;16384;estimate;0.0283233;136.987;7.28589e+09;
1;32;16384;16384;estimate;0.0281482;137.215;7.28589e+09;
1;32;16384;16384;estimate;0.028145;137.194;7.28589e+09;
1;64;16384;16384;estimate;0.039949;42.3562;7.28589e+09;
1;64;16384;16384;estimate;0.039852;45.3126;7.28589e+09;
1;64;16384;16384;estimate;0.0397573;37.1514;7.28589e+09;
1;64;16384;16384;estimate;0.0397681;88.6589;7.28589e+09;
1;64;16384;16384;estimate;0.0398333;61.7832;7.28589e+09;
1;128;16384;16384;estimate;0.0649045;46.5588;7.28589e+09;
1;128;16384;16384;estimate;0.0649062;146.273;7.28589e+09;
1;128;16384;16384;estimate;0.0647327;114.656;7.28589e+09;
1;128;16384;16384;estimate;0.0648137;47.9317;7.28589e+09;
1;128;16384;16384;estimate;0.0651622;60.7576;7.28589e+09;
