n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;measure;0.150067;79.7865;6.90836e+09;
1;1;16384;16384;measure;0.149275;78.3472;6.90836e+09;
1;1;16384;16384;measure;0.150075;80.7031;6.90836e+09;
1;1;16384;16384;measure;0.149994;78.6878;6.90836e+09;
1;1;16384;16384;measure;0.150065;79.4508;6.90836e+09;
1;2;16384;16384;measure;0.156182;40.9317;6.90836e+09;
1;2;16384;16384;measure;0.155995;41.9533;6.90836e+09;
1;2;16384;16384;measure;0.156377;41.0163;6.90836e+09;
1;2;16384;16384;measure;0.15742;40.0312;6.90836e+09;
1;2;16384;16384;measure;0.15728;39.7174;6.90836e+09;
1;4;16384;16384;measure;0.176258;21.1076;6.90836e+09;
1;4;16384;16384;measure;0.176329;20.8103;6.90836e+09;
1;4;16384;16384;measure;0.176358;20.8069;6.90836e+09;
1;4;16384;16384;measure;0.174914;20.8399;6.90836e+09;
1;4;16384;16384;measure;0.176296;20.8464;6.90836e+09;
1;8;16384;16384;measure;0.204805;16.2402;6.90836e+09;
1;8;16384;16384;measure;0.204885;16.4812;6.90836e+09;
1;8;16384;16384;measure;0.205642;16.3802;6.90836e+09;
1;8;16384;16384;measure;0.20482;16.2994;6.90836e+09;
1;8;16384;16384;measure;0.203773;16.4105;6.90836e+09;
1;16;16384;16384;measure;0.249661;9.88585;6.90836e+09;
1;16;16384;16384;measure;0.248138;9.79777;6.90836e+09;
1;16;16384;16384;measure;0.248976;9.87084;6.90836e+09;
1;16;16384;16384;measure;0.247638;9.83404;6.90836e+09;
1;16;16384;16384;measure;0.24884;9.82778;6.90836e+09;
1;32;16384;16384;measure;0.319769;5.15601;6.90836e+09;
1;32;16384;16384;measure;0.319649;5.15458;6.90836e+09;
1;32;16384;16384;measure;0.320818;5.16082;6.90836e+09;
1;32;16384;16384;measure;0.321277;5.18204;6.90836e+09;
1;32;16384;16384;measure;0.319551;5.18565;6.90836e+09;
1;64;16384;16384;measure;0.436973;3.96248;6.90836e+09;
1;64;16384;16384;measure;0.437674;4.19157;6.90836e+09;
1;64;16384;16384;measure;0.43813;4.00685;6.90836e+09;
1;64;16384;16384;measure;0.43838;4.35482;6.90836e+09;
1;64;16384;16384;measure;0.438089;4.21926;6.90836e+09;
1;128;16384;16384;measure;0.636394;3.62192;6.90836e+09;
1;128;16384;16384;measure;0.638292;3.70579;6.90836e+09;
1;128;16384;16384;measure;0.638201;3.70943;6.90836e+09;
1;128;16384;16384;measure;0.635349;3.6122;6.90836e+09;
1;128;16384;16384;measure;0.638513;3.64772;6.90836e+09;
