n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;estimate;0.0141768;38.3377;7.28589e+09;
1;1;16384;16384;estimate;0.0116363;37.8377;7.28589e+09;
1;1;16384;16384;estimate;0.0116116;38.3695;7.28589e+09;
1;1;16384;16384;estimate;0.0116314;38.3014;7.28589e+09;
1;1;16384;16384;estimate;0.011614;37.7939;7.28589e+09;
1;2;16384;16384;estimate;0.0125023;31.4012;7.28589e+09;
1;2;16384;16384;estimate;0.0125487;30.6367;7.28589e+09;
1;2;16384;16384;estimate;0.012496;31.2243;7.28589e+09;
1;2;16384;16384;estimate;0.0124912;31.2339;7.28589e+09;
1;2;16384;16384;estimate;0.012475;31.2077;7.28589e+09;
1;4;16384;16384;estimate;0.0160435;15.6348;7.28589e+09;
1;4;16384;16384;estimate;0.0160876;15.6009;7.28589e+09;
1;4;16384;16384;estimate;0.0160078;15.6101;7.28589e+09;
1;4;16384;16384;estimate;0.0160676;15.6094;7.28589e+09;
1;4;16384;16384;estimate;0.0161006;15.7443;7.28589e+09;
1;8;16384;16384;estimate;0.0184138;9.21442;7.28589e+09;
1;8;16384;16384;estimate;0.018378;9.25053;7.28589e+09;
1;8;16384;16384;estimate;0.0184049;9.25703;7.28589e+09;
1;8;16384;16384;estimate;0.0184684;9.17978;7.28589e+09;
1;8;16384;16384;estimate;0.0184174;9.22212;7.28589e+09;
1;16;16384;16384;estimate;0.022243;4.93039;7.28589e+09;
1;16;16384;16384;estimate;0.0222791;5.00412;7.28589e+09;
1;16;16384;16384;estimate;0.022255;4.97474;7.28589e+09;
1;16;16384;16384;estimate;0.0222698;4.99021;7.28589e+09;
1;16;16384;16384;estimate;0.0222829;4.97032;7.28589e+09;
1;32;16384;16384;estimate;0.0278302;93.2452;7.28589e+09;
1;32;16384;16384;estimate;0.0278423;93.3844;7.28589e+09;
1;32;16384;16384;estimate;0.0278993;93.246;7.28589e+09;
1;32;16384;16384;estimate;0.0278431;93.3964;7.28589e+09;
1;32;16384;16384;estimate;0.0278381;93.1707;7.28589e+09;
1;64;16384;16384;estimate;0.0394709;223.136;7.28589e+09;
1;64;16384;16384;estimate;0.0394544;223.175;7.28589e+09;
1;64;16384;16384;estimate;0.0394858;223.333;7.28589e+09;
1;64;16384;16384;estimate;0.0395523;223.074;7.28589e+09;
1;64;16384;16384;estimate;0.0395304;223.315;7.28589e+09;
1;128;16384;16384;estimate;0.0643339;211.61;7.28589e+09;
1;128;16384;16384;estimate;0.0646059;211.842;7.28589e+09;
1;128;16384;16384;estimate;0.0644296;212.443;7.28589e+09;
1;128;16384;16384;estimate;0.064324;212.099;7.28589e+09;
1;128;16384;16384;estimate;0.0642527;212.06;7.28589e+09;
