n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;1;16384;16384;measure;0.151202;80.3105;6.90836e+09;
1;1;16384;16384;measure;0.148329;76.4845;6.90836e+09;
1;1;16384;16384;measure;0.148735;80.4812;6.90836e+09;
1;1;16384;16384;measure;0.148776;80.8205;6.90836e+09;
1;1;16384;16384;measure;0.148753;79.7623;6.90836e+09;
1;2;16384;16384;measure;0.15606;39.8631;6.90836e+09;
1;2;16384;16384;measure;0.155374;43.5705;6.90836e+09;
1;2;16384;16384;measure;0.156453;39.7035;6.90836e+09;
1;2;16384;16384;measure;0.155235;40.5866;6.90836e+09;
1;2;16384;16384;measure;0.1555;42.3933;6.90836e+09;
1;4;16384;16384;measure;0.174612;21.1192;6.90836e+09;
1;4;16384;16384;measure;0.175278;19.999;6.90836e+09;
1;4;16384;16384;measure;0.175666;19.8985;6.90836e+09;
1;4;16384;16384;measure;0.175364;20.3067;6.90836e+09;
1;4;16384;16384;measure;0.174693;21.254;6.90836e+09;
1;8;16384;16384;measure;0.202955;16.3016;6.90836e+09;
1;8;16384;16384;measure;0.202793;16.7508;6.90836e+09;
1;8;16384;16384;measure;0.203841;16.373;6.90836e+09;
1;8;16384;16384;measure;0.202933;16.1436;6.90836e+09;
1;8;16384;16384;measure;0.2026;16.5979;6.90836e+09;
1;16;16384;16384;measure;0.247745;9.73688;6.90836e+09;
1;16;16384;16384;measure;0.248956;9.76727;6.90836e+09;
1;16;16384;16384;measure;0.248362;9.75409;6.90836e+09;
1;16;16384;16384;measure;0.247741;9.94593;6.90836e+09;
1;16;16384;16384;measure;0.247302;9.8691;6.90836e+09;
1;32;16384;16384;measure;0.320986;5.18441;6.90836e+09;
1;32;16384;16384;measure;0.319469;5.19525;6.90836e+09;
1;32;16384;16384;measure;0.320475;5.19238;6.90836e+09;
1;32;16384;16384;measure;0.319536;5.19612;6.90836e+09;
1;32;16384;16384;measure;0.320552;5.18778;6.90836e+09;
1;64;16384;16384;measure;0.437348;4.02165;6.90836e+09;
1;64;16384;16384;measure;0.43657;4.07157;6.90836e+09;
1;64;16384;16384;measure;0.437328;4.01886;6.90836e+09;
1;64;16384;16384;measure;0.439308;4.46907;6.90836e+09;
1;64;16384;16384;measure;0.436859;4.50848;6.90836e+09;
1;128;16384;16384;measure;0.637837;3.53903;6.90836e+09;
1;128;16384;16384;measure;0.640129;3.48148;6.90836e+09;
1;128;16384;16384;measure;0.639968;3.52896;6.90836e+09;
1;128;16384;16384;measure;0.639675;3.51;6.90836e+09;
1;128;16384;16384;measure;0.63971;3.46629;6.90836e+09;
