n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;40;16384;16384;measure;43.5951;5.04685;1.16666e+10;
1;40;16384;16384;measure;43.4654;5.20382;1.1633e+10;
1;40;16384;16384;measure;43.3636;5.12283;1.1733e+10;
1;40;16384;16384;measure;43.8677;5.11986;1.1733e+10;
1;40;16384;16384;measure;43.5958;5.29991;1.1633e+10;
2;40;16384;16384;measure;57.8487;11.9084;0;
2;40;16384;16384;measure;57.126;11.9078;0;
2;40;16384;16384;measure;56.1867;11.8439;0;
2;40;16384;16384;measure;56.7468;11.8489;0;
2;40;16384;16384;measure;57.5361;11.3614;0;
4;40;16384;16384;measure;33.2999;9.53746;0;
4;40;16384;16384;measure;33.1193;9.52992;0;
4;40;16384;16384;measure;32.9767;9.5453;0;
4;40;16384;16384;measure;33.3686;9.555;0;
4;40;16384;16384;measure;32.9671;9.52533;0;
8;40;16384;16384;measure;20.3668;4.97164;0;
8;40;16384;16384;measure;20.2521;5.00364;0;
8;40;16384;16384;measure;20.2482;4.98123;0;
8;40;16384;16384;measure;20.4912;4.98515;0;
8;40;16384;16384;measure;20.5323;5.00077;0;
