n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;40;16384;16384;measure;18.5673;0.230415;1.19015e+10;
1;40;16384;16384;measure;18.5673;0.230415;1.19015e+10;
1;40;16384;16384;measure;23.1023;0.255328;1.16458e+10;
1;40;16384;16384;measure;15.553;0.213116;1.16666e+10;
1;40;16384;16384;measure;20.2332;0.278466;1.16322e+10;
2;40;16384;16384;measure;43.7517;5.16141;0;
2;40;16384;16384;measure;43.7517;5.16141;0;
2;40;16384;16384;measure;44.5951;3.93616;0;
2;40;16384;16384;measure;48.4585;4.07312;0;
2;40;16384;16384;measure;41.5767;5.12929;0;
4;40;16384;16384;measure;24.9775;3.99468;0;
4;40;16384;16384;measure;24.24;2.59801;0;
4;40;16384;16384;measure;24.24;2.59801;0;
4;40;16384;16384;measure;24.9905;2.77886;0;
4;40;16384;16384;measure;25.4269;3.05332;0;
8;40;16384;16384;measure;12.122;1.55126;0;
8;40;16384;16384;measure;11.7554;1.70422;0;
8;40;16384;16384;measure;20.7377;1.63774;0;
8;40;16384;16384;measure;12.697;1.57089;0;
8;40;16384;16384;measure;12.697;1.57089;0;
