n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;4;16384;16384;measure;23.409;1.57465;1.16131e+10;
1;4;16384;16384;measure;23.1757;1.56232;1.1633e+10;
1;4;16384;16384;measure;23.2837;1.56804;1.1633e+10;
1;4;16384;16384;measure;23.1732;1.55661;1.15995e+10;
1;4;16384;16384;measure;23.4846;1.56449;1.1633e+10;
2;4;16384;16384;measure;55.0912;3.76946;0;
2;4;16384;16384;measure;54.8211;3.80547;0;
2;4;16384;16384;measure;54.5544;4.06608;0;
2;4;16384;16384;measure;55.4285;3.7739;0;
2;4;16384;16384;measure;55.0625;3.64847;0;
4;4;16384;16384;measure;29.9364;2.64849;0;
4;4;16384;16384;measure;30.3447;2.582;0;
4;4;16384;16384;measure;29.3097;2.40967;0;
4;4;16384;16384;measure;29.1229;2.51296;0;
4;4;16384;16384;measure;29.2095;2.25112;0;
8;4;16384;16384;measure;12.443;1.43697;0;
8;4;16384;16384;measure;12.5464;1.47119;0;
8;4;16384;16384;measure;12.4934;1.441;0;
8;4;16384;16384;measure;12.5357;1.49481;0;
8;4;16384;16384;measure;12.4789;1.4813;0;

