n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;48;16384;16384;measure;11.8233;0.0813872;1.26494e+10;
1;48;16384;16384;measure;13.0658;0.0892988;1.25646e+10;
1;48;16384;16384;measure;12.0077;0.0895079;1.2581e+10;
1;48;16384;16384;measure;12.8387;0.0863194;1.25975e+10;
1;48;16384;16384;measure;12.9817;0.0921025;1.25975e+10;
2;48;16384;16384;measure;30.471;10.793;0;
2;48;16384;16384;measure;30.8894;12.2463;0;
2;48;16384;16384;measure;30.7915;13.5743;0;
2;48;16384;16384;measure;31.2706;11.4913;0;
2;48;16384;16384;measure;30.5561;12.0584;0;
4;48;16384;16384;measure;15.4938;5.33773;0;
4;48;16384;16384;measure;15.1476;5.33078;0;
4;48;16384;16384;measure;15.274;6.10732;0;
4;48;16384;16384;measure;15.7428;5.39821;0;
4;48;16384;16384;measure;15.2893;5.29306;0;
