n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;40;16384;16384;measure;22.4022;5.19495;1.1633e+10;
1;40;16384;16384;measure;22.4247;5.18505;1.1633e+10;
1;40;16384;16384;measure;22.3653;5.26397;1.1633e+10;
1;40;16384;16384;measure;22.3742;5.27432;1.1633e+10;
1;40;16384;16384;measure;22.3295;5.10056;1.16666e+10;
2;40;16384;16384;measure;45.4509;7.2622;0;
2;40;16384;16384;measure;45.2861;7.28176;0;
2;40;16384;16384;measure;46.1906;7.3028;0;
2;40;16384;16384;measure;45.5367;7.30646;0;
2;40;16384;16384;measure;46.2694;7.27987;0;
4;40;16384;16384;measure;25.5719;5.17859;0;
4;40;16384;16384;measure;25.6835;5.18008;0;
4;40;16384;16384;measure;25.3856;5.20356;0;
4;40;16384;16384;measure;25.3277;5.17901;0;
4;40;16384;16384;measure;25.3324;5.19511;0;
8;40;16384;16384;measure;12.6815;2.80686;0;
8;40;16384;16384;measure;12.7919;2.81232;0;
8;40;16384;16384;measure;12.738;2.81872;0;
8;40;16384;16384;measure;12.7158;2.82296;0;
8;40;16384;16384;measure;12.7573;2.82421;0;

