n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
40;1;16384;16384;measure;3.05534;0.847699;0;
40;1;16384;16384;measure;3.07396;0.84127;0;
40;1;16384;16384;measure;3.04502;0.843094;0;
40;1;16384;16384;measure;3.02841;0.844122;0;
40;1;16384;16384;measure;3.03373;0.845243;0;
80;1;16384;16384;measure;1.97811;6.14191;0;
80;1;16384;16384;measure;2.0388;3.99806;0;
80;1;16384;16384;measure;2.15529;3.65243;0;
80;1;16384;16384;measure;2.08564;4.2642;0;
80;1;16384;16384;measure;2.04681;3.29126;0;
160;1;16384;16384;measure;1.31221;28.4051;0;
160;1;16384;16384;measure;1.49034;22.4973;0;
160;1;16384;16384;measure;1.43103;22.4247;0;
160;1;16384;16384;measure;1.4441;20.1532;0;
160;1;16384;16384;measure;1.36008;24.9807;0;
320;1;16384;16384;measure;1.28162;5.36652;0;
320;1;16384;16384;measure;1.28058;5.45446;0;
320;1;16384;16384;measure;1.29624;5.50445;0;
320;1;16384;16384;measure;1.3328;5.45479;0;
320;1;16384;16384;measure;1.30954;5.42661;0;
