n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
40;16384;16384;measure;scatter;2.8488;2.10693;0.741852;0.103196;0.116981;0.000230715;0.144762;0.118006;0.116362;0.00422126;0.138093;
40;16384;16384;measure;scatter;2.86009;2.12376;0.736308;0.106023;0.119334;0.000218812;0.141276;0.11475;0.114598;0.00413166;0.135977;
40;16384;16384;measure;scatter;2.86981;2.12561;0.744184;0.103433;0.118287;0.00020829;0.143236;0.117953;0.117713;0.00423764;0.139115;
40;16384;16384;measure;scatter;2.86425;2.1369;0.727327;0.103771;0.114775;0.000218754;0.138993;0.113194;0.114664;0.0041776;0.137534;
40;16384;16384;measure;scatter;2.86835;2.12433;0.743996;0.107338;0.115909;0.000219677;0.145629;0.11508;0.11947;0.00418483;0.136166;
40;16384;16384;measure;scatter;19.3009;1.6161;17.6848;0.0566018;0.0628863;5.37546;0.097987;0.0679086;0.0472239;11.8757;0.10105;
40;16384;16384;measure;scatter;23.0647;1.59784;21.4665;0.0532648;0.0617811;7.25798;0.0643297;0.0488282;0.0387555;13.8555;0.0861006;
40;16384;16384;measure;scatter;22.9453;1.60597;21.3391;0.0520451;0.0607556;7.80274;0.0634432;0.0479891;0.0378927;13.1632;0.110992;
40;16384;16384;measure;scatter;22.7102;2.48202;20.228;0.0548504;0.437489;6.10346;0.0863155;0.0561417;0.0594102;13.3243;0.106007;
40;16384;16384;measure;scatter;22.4664;1.6004;20.866;0.0531015;0.0609568;10.2518;0.0667475;0.0484465;0.0376534;10.2567;0.0905853;
40;16384;16384;measure;scatter;11.9718;1.25396;10.7178;0.0281161;0.0271571;6.32032;0.0615793;0.025289;0.0212603;4.15081;0.0832906;
40;16384;16384;measure;scatter;9.86033;1.24129;8.61902;0.0253837;0.0268199;4.26548;0.087416;0.0322262;0.024391;4.05851;0.098789;
40;16384;16384;measure;scatter;10.8916;1.24753;9.64409;0.0265148;0.0269791;1.36312;0.0970838;0.0335285;0.0245146;7.98815;0.0841906;
40;16384;16384;measure;scatter;12.2662;1.24578;11.0204;0.0258912;0.0256597;2.35505;0.0988991;0.0335376;0.0257103;8.36599;0.0897092;
40;16384;16384;measure;scatter;9.16624;1.24968;7.91654;0.0262598;0.0272119;1.37856;0.101673;0.0338601;0.0244456;6.23728;0.0872453;
40;16384;16384;measure;scatter;7.62345;1.07643;6.54701;0.0138277;0.0134038;3.16012;0.0390531;0.0124203;0.0184456;3.22938;0.0603556;
40;16384;16384;measure;scatter;7.13301;1.08032;6.05267;0.0136555;0.0129592;2.44469;0.0358025;0.0128235;0.0150027;3.45154;0.0662001;
40;16384;16384;measure;scatter;5.80102;1.0728;4.7282;0.0142843;0.0125076;2.12578;0.0380668;0.0124187;0.0152628;2.45302;0.0568612;
40;16384;16384;measure;scatter;6.93395;1.09998;5.83395;0.0646956;1.34558;1.05125;0.0381044;0.012952;0.0219898;3.22737;0.0720098;
40;16384;16384;measure;scatter;5.80378;1.0824;4.72137;0.0124475;0.068645;1.90511;0.0398806;0.0141659;0.017815;2.6071;0.0562043;
