n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
40;16384;16384;measure;scatter;4.24641;2.10152;2.1449;
40;16384;16384;measure;scatter;4.29166;2.10263;2.18903;
40;16384;16384;measure;scatter;4.28686;2.10443;2.18243;
40;16384;16384;measure;scatter;4.26048;2.09203;2.16845;
40;16384;16384;measure;scatter;4.33224;2.14771;2.18453;
40;16384;16384;measure;scatter;20.2585;1.87278;18.3857;
40;16384;16384;measure;scatter;22.9914;1.61315;21.3783;
40;16384;16384;measure;scatter;16.0035;1.61694;14.3865;
40;16384;16384;measure;scatter;12.9043;1.60709;11.2973;
40;16384;16384;measure;scatter;13.0937;1.60708;11.4866;
40;16384;16384;measure;scatter;9.3925;1.79333;7.59916;
40;16384;16384;measure;scatter;10.37;1.24753;9.1225;
40;16384;16384;measure;scatter;10.0341;1.73843;8.29571;
40;16384;16384;measure;scatter;8.22578;1.2446;6.98118;
40;16384;16384;measure;scatter;10.6697;1.9604;8.70935;
40;16384;16384;measure;scatter;7.38967;1.4391;5.95057;
40;16384;16384;measure;scatter;7.02005;1.07225;5.9478;
40;16384;16384;measure;scatter;8.07141;1.15736;6.91405;
40;16384;16384;measure;scatter;6.48139;1.07001;5.41138;
40;16384;16384;measure;scatter;6.70594;1.08064;5.62529;
