n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;512;512;estimate;0.00229711;0.00351864;                                                                                                                                                                                                                                     
1;1;512;512;estimate;0.0023286;0.00351073;                                                                                                                                                                                                                                      
1;1;512;512;estimate;0.00228775;0.00350432;                                                                                                                                                                                                                                     
1;1;512;512;estimate;0.00231261;0.00350301;                                                                                                                                                                                                                                     
1;1;512;512;estimate;0.00231448;0.0034904;                                                                                                                                                                                                                                      
1;2;512;512;estimate;0.00178937;0.00267803;                                                                                                                                                                                                                                     
1;2;512;512;estimate;0.00300752;0.00266271;                                                                                                                                                                                                                                     
1;2;512;512;estimate;0.00300741;0.00264611;                                                                                                                                                                                                                                     
1;2;512;512;estimate;0.00296595;0.0026889;                                                                                                                                                                                                                                      
1;2;512;512;estimate;0.00301052;0.0026425;                                                                                                                                                                                                                                      
1;4;512;512;estimate;0.00321971;0.00165403;                                                                                                                                                                                                                                     
1;4;512;512;estimate;0.00335046;0.0016688;                                                                                                                                                                                                                                      
1;4;512;512;estimate;0.00324841;0.00168797;                                                                                                                                                                                                                                     
1;4;512;512;estimate;0.00324629;0.00171891;                                                                                                                                                                                                                                     
1;4;512;512;estimate;0.00325449;0.00169961;                                                                                                                                                                                                                                     
1;8;512;512;estimate;0.00367748;0.00153792;                                                                                                                                                                                                                                     
1;8;512;512;estimate;0.00372268;0.00169017;                                                                                             
1;8;512;512;estimate;0.00371599;0.00170799;                                                                                             
1;8;512;512;estimate;0.00368705;0.00160771;                                                                                             
1;8;512;512;estimate;0.00369284;0.00153266;                                                                                             
1;16;512;512;estimate;0.00528267;0.00420032;                                                                                            
1;16;512;512;estimate;0.00519622;0.00443021;                                                                                            
1;16;512;512;estimate;0.00525122;0.00413176;                                                                                            
1;16;512;512;estimate;0.00526768;0.00405595;                                                                                            
1;16;512;512;estimate;0.00526194;0.00408526;                                                                                            
1;32;512;512;estimate;0.00687884;0.00479659;                                                                                            
1;32;512;512;estimate;0.0077575;0.00499874;                                                                                             
1;32;512;512;estimate;0.00776986;0.00521251;                                                                                            
1;32;512;512;estimate;0.00778293;0.00506143;                                                                                            
1;32;512;512;estimate;0.00771288;0.00705908;                                                                                            
1;64;512;512;estimate;0.0109269;0.013878;                           
1;64;512;512;estimate;0.0101773;0.00492179;                                                                                             
1;64;512;512;estimate;0.0108897;0.011631;                           
1;64;512;512;estimate;0.0110717;0.00480648;                                                                                             
1;64;512;512;estimate;0.0109383;0.0183289;                                                                                              
1;128;512;512;estimate;0.0141562;0.0543781;                                                                                             
1;128;512;512;estimate;0.018028;0.0519432;                                                                                              
1;128;512;512;estimate;0.0179268;0.0470719;                                                                                             
1;128;512;512;estimate;0.0141674;0.0652003;                                                                                             
1;128;512;512;estimate;0.0142899;0.0779094; 
