n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;512;512;estimate;0.00307906;0.00468745;
1;1;512;512;estimate;0.00236176;0.0034968;
1;1;512;512;estimate;0.00230615;0.00348909;
1;1;512;512;estimate;0.0023809;0.00351588;
1;1;512;512;estimate;0.00231078;0.0035126;
1;2;512;512;estimate;0.00297126;0.00268164;
1;2;512;512;estimate;0.00293978;0.00270431;
1;2;512;512;estimate;0.00302317;0.00281803;
1;2;512;512;estimate;0.00301362;0.00270256;
1;2;512;512;estimate;0.00300909;0.00269249;
1;4;512;512;estimate;0.00324778;0.00170786;
1;4;512;512;estimate;0.00349842;0.0017352;
1;4;512;512;estimate;0.00327432;0.00171891;
1;4;512;512;estimate;0.00328066;0.00214489;
1;4;512;512;estimate;0.00324012;0.00170537;
1;8;512;512;estimate;0.00372829;0.0015284;
1;8;512;512;estimate;0.00370029;0.00146511;
1;8;512;512;estimate;0.00372011;0.00154556;
1;8;512;512;estimate;0.00368531;0.00146751;
1;8;512;512;estimate;0.00371561;0.00159307;
1;16;512;512;estimate;0.00526262;0.00545647;
1;16;512;512;estimate;0.00544738;0.00548208;
1;16;512;512;estimate;0.00525306;0.00587684;
1;16;512;512;estimate;0.00519108;0.00557106;
1;16;512;512;estimate;0.00525614;0.00550391;
1;32;512;512;estimate;0.00772018;0.00961397;
1;32;512;512;estimate;0.00769406;0.00947667;
1;32;512;512;estimate;0.00770293;0.00961236;
1;32;512;512;estimate;0.00764881;0.00906587;
1;32;512;512;estimate;0.00772629;0.00933644;
1;64;512;512;estimate;0.0104358;0.00544137;
1;64;512;512;estimate;0.0108371;0.00692534;
1;64;512;512;estimate;0.0107619;0.00602925;
1;64;512;512;estimate;0.0101979;0.00617093;
1;64;512;512;estimate;0.00957367;0.00580061;
1;128;512;512;estimate;0.013381;0.0112626;
1;128;512;512;estimate;0.0143256;0.010632;
1;128;512;512;estimate;0.017756;0.0120759;
1;128;512;512;estimate;0.0162662;0.0114196;
1;128;512;512;estimate;0.0169725;0.011501;

