n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;512;512;estimate;0.0630551;0.00264811;0.060407;
1;512;512;estimate;0.0649826;0.00392343;0.0610591;
1;512;512;estimate;0.0648491;0.00365118;0.0611979;
1;512;512;estimate;0.0666033;0.00347253;0.0631308;
1;512;512;estimate;0.0633608;0.00251023;0.0608505;
2;512;512;estimate;0.0545207;0.00273982;0.0517809;
2;512;512;estimate;0.0551961;0.00280544;0.0523907;
2;512;512;estimate;0.0543207;0.00291052;0.0514102;
2;512;512;estimate;0.0512195;0.00295749;0.048262;
2;512;512;estimate;0.0515581;0.00373608;0.047822;
4;512;512;estimate;0.0553991;0.00238949;0.0530096;
4;512;512;estimate;0.0561196;0.00238957;0.05373;
4;512;512;estimate;0.0528442;0.0028902;0.049954;
4;512;512;estimate;0.0553109;0.00358663;0.0517243;
4;512;512;estimate;0.0551338;0.00309954;0.0520343;
8;512;512;estimate;0.0633079;0.00259136;0.0607165;
8;512;512;estimate;0.0629159;0.00243441;0.0604815;
8;512;512;estimate;0.063103;0.00370328;0.0593998;
8;512;512;estimate;0.0624658;0.00378854;0.0586773;
8;512;512;estimate;0.0653425;0.003712;0.0616305;
16;512;512;estimate;0.0564701;0.00271523;0.0537549;
16;512;512;estimate;0.0572171;0.00389788;0.0533192;
16;512;512;estimate;0.0577672;0.00380208;0.0539651;
16;512;512;estimate;0.0585588;0.00324382;0.055315;
16;512;512;estimate;0.0569726;0.00416876;0.0528039;
32;512;512;estimate;0.0594775;0.003285;0.0561925;
32;512;512;estimate;0.0596944;0.00298952;0.0567049;
32;512;512;estimate;0.0588312;0.00467249;0.0541587;
32;512;512;estimate;0.0618806;0.00409357;0.0577871;
32;512;512;estimate;0.0595865;0.00294245;0.0566441;
64;512;512;estimate;0.0659561;0.00409286;0.0618632;
64;512;512;estimate;0.0663926;0.00467379;0.0617188;
64;512;512;estimate;0.0663287;0.00324734;0.0630813;
64;512;512;estimate;0.0655783;0.00299601;0.0625823;
64;512;512;estimate;0.0652226;0.00371577;0.0615068;
128;512;512;estimate;0.0681171;0.00319789;0.0649192;
128;512;512;estimate;0.0683107;0.00356593;0.0647448;
128;512;512;estimate;0.0672925;0.00283764;0.0644548;
128;512;512;estimate;0.066576;0.00286099;0.063715;
128;512;512;estimate;0.0645898;0.00315999;0.0614298;
