n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;512;512;estimate;0.0437376;0.00353434;0.0402032;
1;512;512;estimate;0.0455425;0.0034782;0.0420642;
1;512;512;estimate;0.0425739;0.0026806;0.0398933;
1;512;512;estimate;0.0447475;0.00377083;0.0409766;
1;512;512;estimate;0.043722;0.00310019;0.0406218;
2;512;512;estimate;0.0350022;0.00338244;0.0316197;
2;512;512;estimate;0.0354364;0.0022893;0.0331471;
2;512;512;estimate;0.0352275;0.00331991;0.0319076;
2;512;512;estimate;0.0352285;0.00309897;0.0321295;
2;512;512;estimate;0.0348809;0.00405175;0.0308292;
4;512;512;estimate;0.0322365;0.00235301;0.0298835;
4;512;512;estimate;0.0323459;0.00367595;0.0286699;
4;512;512;estimate;0.032185;0.00339228;0.0287927;
4;512;512;estimate;0.0365903;0.00359379;0.0329965;
4;512;512;estimate;0.0311495;0.00232954;0.02882;
8;512;512;estimate;0.0355684;0.00271354;0.0328549;
8;512;512;estimate;0.0377878;0.00364912;0.0341386;
8;512;512;estimate;0.035385;0.00239838;0.0329866;
8;512;512;estimate;0.0347933;0.00249874;0.0322946;
8;512;512;estimate;0.0352793;0.0028548;0.0324245;
16;512;512;estimate;0.0394749;0.00348773;0.0359872;
16;512;512;estimate;0.0399388;0.00348584;0.036453;
16;512;512;estimate;0.038348;0.00246738;0.0358806;
16;512;512;estimate;0.0393043;0.00367236;0.035632;
16;512;512;estimate;0.039801;0.00372895;0.036072;
32;512;512;estimate;0.0516038;0.00366095;0.0479428;
32;512;512;estimate;0.0498869;0.00308759;0.0467993;
32;512;512;estimate;0.0482105;0.00410896;0.0441015;
32;512;512;estimate;0.0499439;0.00307359;0.0468703;
32;512;512;estimate;0.0473777;0.00287008;0.0445076;
64;512;512;estimate;0.05952;0.00419934;0.0553207;
64;512;512;estimate;0.0596977;0.00293328;0.0567644;
64;512;512;estimate;0.0586473;0.0030194;0.0556279;
64;512;512;estimate;0.060519;0.00326134;0.0572576;
64;512;512;estimate;0.0578164;0.00380993;0.0540065;
128;512;512;estimate;0.0598558;0.0029522;0.0569036;
128;512;512;estimate;0.0621328;0.00267308;0.0594597;
128;512;512;estimate;0.0598747;0.00278794;0.0570867;
128;512;512;estimate;0.0586509;0.00292664;0.0557243;
128;512;512;estimate;0.061361;0.00294209;0.0584189;
