n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;                                                                                                                                                                                                                       
1;512;512;estimate;0.0448136;0.00304661;0.041767;                                                                                                                                                                                                                               
1;512;512;estimate;0.0442949;0.0026187;0.0416762;                                                                                                                                                                                                                               
1;512;512;estimate;0.0472161;0.0034531;0.043763;                                                                                                                                                                                                                                
1;512;512;estimate;0.0449179;0.00366262;0.0412553;                                                                                                                                                                                                                              
1;512;512;estimate;0.0439769;0.00249779;0.0414791;                                                                                                                                                                                                                              
2;512;512;estimate;0.025656;0.0033768;0.0222792;                                                                                                                                                                                                                                
2;512;512;estimate;0.0230863;0.00378916;0.0192971;                                                                                                                                                                                                                              
2;512;512;estimate;0.0231827;0.00271366;0.0204691;                                                                                                                                                                                                                              
2;512;512;estimate;0.02506;0.00238914;0.0226709;                                                                                                                                                                                                                                
2;512;512;estimate;0.0227854;0.0027733;0.0200121;                                                                                                                                                                                                                               
4;512;512;estimate;0.024854;0.00369539;0.0211586;                                                                                                                                                                                                                               
4;512;512;estimate;0.0197611;0.00238021;0.0173809;                                                                                                                                                                                                                              
4;512;512;estimate;0.0221582;0.0023303;0.0198279;                                                                                                                                                                                                                               
4;512;512;estimate;0.0241143;0.00285092;0.0212634;                                                                                                                                                                                                                              
4;512;512;estimate;0.0244392;0.0033382;0.021101;                                                                                                                                                                                                                                
8;512;512;estimate;0.0289002;0.00377957;0.0251206;                                                                                                                                                                                                                              
8;512;512;estimate;0.0262097;0.00269403;0.0235156;
8;512;512;estimate;0.0271257;0.00368862;0.0234371;
8;512;512;estimate;0.0283694;0.00360422;0.0247652;
8;512;512;estimate;0.0287055;0.00360838;0.0250971;
16;512;512;estimate;0.0315857;0.0022604;0.0293253;
16;512;512;estimate;0.0326953;0.00364575;0.0290495;
16;512;512;estimate;0.0325761;0.00360098;0.0289751;
16;512;512;estimate;0.0315028;0.00251879;0.0289841;
16;512;512;estimate;0.0336229;0.00363242;0.0299905;
32;512;512;estimate;0.0391563;0.00304718;0.0361091;
32;512;512;estimate;0.040778;0.00376658;0.0370114;
32;512;512;estimate;0.0401678;0.00278868;0.0373791;
32;512;512;estimate;0.0397033;0.00296198;0.0367414;
32;512;512;estimate;0.0396029;0.0030668;0.0365361;
64;512;512;estimate;0.041313;0.00263779;0.0386753;
64;512;512;estimate;0.0421107;0.00368857;0.0384221;
64;512;512;estimate;0.0416459;0.00316192;0.038484;
64;512;512;estimate;0.0451712;0.00375597;0.0414152;
64;512;512;estimate;0.0424026;0.00322249;0.0391801;
128;512;512;estimate;0.0370374;0.00248096;0.0345564;
128;512;512;estimate;0.0390198;0.00373209;0.0352877;
128;512;512;estimate;0.039889;0.00314361;0.0367454;
128;512;512;estimate;0.0396163;0.00247989;0.0371364;
128;512;512;estimate;0.0408763;0.00413303;0.0367433;

