n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;512;512;estimate;0.0326649;0.00275747;0.0299039;0.0171466;0.00189138;0.00897989;0.00188604;
1;512;512;estimate;0.0327947;0.00292913;0.0298623;0.0172141;0.00184579;0.0089829;0.00181949;
1;512;512;estimate;0.0340606;0.00345556;0.0306021;0.0181974;0.00183764;0.00875048;0.00181666;
1;512;512;estimate;0.0331401;0.00296743;0.03017;0.0174428;0.00184837;0.00906009;0.00181879;
1;512;512;estimate;0.0353965;0.00353427;0.0318601;0.0192168;0.00180564;0.0090222;0.0018154;
2;512;512;estimate;0.0127138;0.00253601;0.0101757;0.00537028;0.00141183;0.00202608;0.00136752;
2;512;512;estimate;0.0123527;0.00240577;0.00994436;0.00520099;0.00134328;0.00199842;0.00140167;
2;512;512;estimate;0.015168;0.00443299;0.0107321;0.00595245;0.00141263;0.00201556;0.0013515;
2;512;512;estimate;0.0149812;0.0045046;0.0104732;0.00576152;0.00136313;0.00202385;0.00132472;
2;512;512;estimate;0.013459;0.00357661;0.00987933;0.00511612;0.0013626;0.00199935;0.00140125;
4;512;512;estimate;0.010467;0.00241047;0.00805394;0.00392672;0.00120037;0.00173675;0.0011901;
4;512;512;estimate;0.0122147;0.00362218;0.00859047;0.00460387;0.00120154;0.00156092;0.00122415;
4;512;512;estimate;0.0100189;0.00234328;0.00767219;0.00363476;0.0012125;0.00161341;0.00121153;
4;512;512;estimate;0.0109341;0.00339887;0.00753232;0.0035019;0.00120623;0.00160974;0.00121446;
4;512;512;estimate;0.0125027;0.0035722;0.00892723;0.00497754;0.00123602;0.00153792;0.00117576;
8;512;512;estimate;0.0147464;0.00250971;0.0122343;0.00610846;0.00200027;0.00267586;0.0014497;
8;512;512;estimate;0.0153636;0.0035984;0.0117613;0.00650099;0.00197766;0.00181579;0.00146684;
8;512;512;estimate;0.0141808;0.00243568;0.011742;0.00581331;0.00189584;0.00178802;0.00224481;
8;512;512;estimate;0.0149635;0.00372098;0.0112397;0.00603617;0.00194535;0.00176745;0.00149068;
8;512;512;estimate;0.0136094;0.0024804;0.0111268;0.00577941;0.00195572;0.00191648;0.00147517;
16;512;512;estimate;0.0181636;0.00234392;0.0158179;0.00656348;0.00248904;0.00438565;0.0023797;
16;512;512;estimate;0.0192181;0.00283793;0.0163761;0.0067947;0.00215006;0.00439123;0.0030401;
16;512;512;estimate;0.0199772;0.00366895;0.0163052;0.00707619;0.00260975;0.00415746;0.00246181;
16;512;512;estimate;0.0194023;0.00327933;0.0161209;0.00662511;0.00259881;0.0043289;0.00256812;
16;512;512;estimate;0.0193996;0.00252353;0.0168727;0.00710493;0.00253501;0.00431425;0.0029185;
32;512;512;estimate;0.020895;0.00359428;0.0172983;0.00699211;0.00305561;0.00451975;0.00273079;
32;512;512;estimate;0.0210606;0.00336235;0.0176946;0.00662074;0.00304322;0.00477677;0.00325392;
32;512;512;estimate;0.0201953;0.00439159;0.0157997;0.0056995;0.00275148;0.00450435;0.00284434;
32;512;512;estimate;0.020064;0.00397992;0.0160825;0.0060781;0.00254427;0.00468437;0.00277575;
32;512;512;estimate;0.0190754;0.00257386;0.016499;0.00648422;0.00256873;0.004807;0.00263905;
64;512;512;estimate;0.0170451;0.00284617;0.0141943;0.00371438;0.00210151;0.00570823;0.00267019;
64;512;512;estimate;0.0178599;0.00353352;0.0143236;0.00369037;0.00244898;0.00524137;0.00294287;
64;512;512;estimate;0.0189596;0.00356337;0.0153931;0.00372958;0.00227084;0.00557523;0.00381743;
64;512;512;estimate;0.0171708;0.0029146;0.014254;0.00365687;0.00228515;0.00545034;0.0028616;
64;512;512;estimate;0.0194153;0.00372296;0.0156897;0.0050369;0.00203162;0.00564715;0.00297398;
128;512;512;estimate;0.0112499;0.00237714;0.00886853;0.00362223;0.00164209;0.00170899;0.00189522;
128;512;512;estimate;0.0116851;0.00283009;0.00885067;0.00375862;0.00173584;0.00162819;0.00172801;
128;512;512;estimate;0.0123306;0.00299603;0.00933243;0.00394936;0.00189558;0.00171187;0.00177562;
128;512;512;estimate;0.0120508;0.00315794;0.00888944;0.00374283;0.00168136;0.00173234;0.0017329;
128;512;512;estimate;0.0117912;0.00301337;0.00877543;0.00369514;0.0017193;0.00169542;0.00166557;
