n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
1;512;512;estimate;scatter;0.00907948;0.00492119;0.00414563;0.00140866;0.000154805;0.000972559;0.0003165;0.000921627;0.000150405;1.46201e-05;0.000206447;
1;512;512;estimate;scatter;0.00746948;0.00439213;0.00306383;0.00134087;0.000148234;4.8612e-05;0.000269208;0.000919487;0.000110184;1.58199e-05;0.000211416;
1;512;512;estimate;scatter;0.00934026;0.00540439;0.00392003;0.00222632;0.000153695;4.6521e-05;0.000264298;0.000899917;0.000115174;1.55699e-05;0.000198536;
1;512;512;estimate;scatter;0.0081781;0.00510585;0.00306871;0.00132639;0.000126354;4.48821e-05;0.000265848;0.000910207;0.000113794;1.58001e-05;0.000265438;
1;512;512;estimate;scatter;0.00793595;0.00491363;0.00301934;0.0013579;0.000123824;4.5551e-05;0.000256378;0.000906637;9.79831e-05;1.66509e-05;0.000214416;
2;512;512;estimate;scatter;0.00634351;0.00417344;0.00216521;0.000728883;0.000521115;4.09221e-05;0.000174385;0.000460194;8.7542e-05;1.4391e-05;0.000137774;
2;512;512;estimate;scatter;0.00586706;0.00384368;0.00202063;0.000708941;0.000437773;3.6401e-05;0.000149845;0.000457264;8.82319e-05;1.44311e-05;0.000127744;
2;512;512;estimate;scatter;0.00776971;0.00548085;0.00228089;0.000866076;9.9143e-05;4.3601e-05;0.000176276;0.000785983;9.86329e-05;2.0161e-05;0.000191016;
2;512;512;estimate;scatter;0.00762755;0.00535297;0.00225451;0.000866186;0.000101493;4.48509e-05;0.000185006;0.000785384;8.3142e-05;1.9141e-05;0.000169305;
2;512;512;estimate;scatter;0.00756534;0.00538769;0.00217396;0.000849586;9.94331e-05;4.6771e-05;0.000156235;0.000489525;0.000371381;1.7901e-05;0.000143124;
4;512;512;estimate;scatter;0.005515;0.0036307;0.00188141;0.000583248;0.000472704;3.88611e-05;0.000148705;0.0003597;0.000114624;2.3321e-05;0.000140244;
4;512;512;estimate;scatter;0.00554723;0.00385056;0.00169321;0.000829095;0.000107373;4.8022e-05;0.000129164;0.00035751;9.3393e-05;1.56199e-05;0.000113034;
4;512;512;estimate;scatter;0.00648255;0.0049383;0.0015411;0.000434223;0.00033646;3.9842e-05;0.000146474;0.000374191;8.7023e-05;1.74909e-05;0.000105393;
4;512;512;estimate;scatter;0.00589016;0.00435761;0.00151705;0.000607138;9.0803e-05;4.06511e-05;0.000143975;0.000412262;8.55019e-05;1.6771e-05;0.000119953;
4;512;512;estimate;scatter;0.00590764;0.00440121;0.00150279;0.000420273;0.00032999;3.90208e-05;0.000130174;0.000351091;9.36619e-05;1.9141e-05;0.000119434;
8;512;512;estimate;scatter;0.0070161;0.00532075;0.00169146;0.000368501;0.000366901;7.86618e-05;0.000214887;0.00035526;0.000113724;2.8831e-05;0.000164695;
8;512;512;estimate;scatter;0.00589112;0.00397032;0.00190599;0.000858166;0.000122934;4.43012e-05;0.000224107;0.000291488;9.01332e-05;3.06808e-05;0.000244177;
8;512;512;estimate;scatter;0.00733906;0.00539425;0.00193023;0.000433603;0.000404913;7.66721e-05;0.000272258;0.000381241;0.000131595;2.57599e-05;0.000204186;
8;512;512;estimate;scatter;0.00750124;0.00540833;0.00207796;0.000373451;0.000679671;3.95209e-05;0.000253138;0.00034748;0.000131684;3.17011e-05;0.000221317;
8;512;512;estimate;scatter;0.0075034;0.00545851;0.00203103;0.00103965;0.000137914;4.89021e-05;0.000218256;0.000267008;9.0773e-05;3.1051e-05;0.000197476;
16;512;512;estimate;scatter;0.00735536;0.00538945;0.00196184;0.000698311;0.000189056;7.18718e-05;0.000264628;0.000273578;0.000185036;3.75011e-05;0.000241857;
16;512;512;estimate;scatter;0.00736513;0.00559422;0.00176707;0.000388321;0.000459265;4.14911e-05;0.000207256;0.000209856;0.000149995;3.37809e-05;0.000277108;
16;512;512;estimate;scatter;0.00762745;0.00560001;0.00202396;0.000735522;0.000275868;4.33519e-05;0.000273978;0.000283188;0.000139075;5.14509e-05;0.000221527;
16;512;512;estimate;scatter;0.00724769;0.00543093;0.00181272;0.000738992;0.000213867;4.04611e-05;0.000231307;0.000199246;0.000144164;3.4892e-05;0.000209786;
16;512;512;estimate;scatter;0.00691254;0.00523728;0.00167104;0.000356451;0.000371971;5.30321e-05;0.000267088;0.000217806;0.000150465;3.22012e-05;0.000222026;
32;512;512;estimate;scatter;0.00645937;0.00416507;0.00228956;0.000809174;0.000336691;7.17619e-05;0.000377681;0.000211657;0.000200006;4.30411e-05;0.000239547;
32;512;512;estimate;scatter;0.00772757;0.005737;0.0019881;0.000477194;0.00032835;0.000130964;0.000287519;0.000219616;0.000178396;4.2191e-05;0.000323869;
32;512;512;estimate;scatter;0.00628064;0.00446047;0.00180687;0.000364031;0.000410432;6.19921e-05;0.000288379;0.000195986;0.000145014;3.67709e-05;0.00030427;
32;512;512;estimate;scatter;0.00725689;0.00537299;0.00188103;0.000450134;0.000493125;5.0521e-05;0.000268708;0.000211637;0.000153764;4.04019e-05;0.000212736;
32;512;512;estimate;scatter;0.00654096;0.00440055;0.00212804;0.000427773;0.000526826;5.5942e-05;0.000286188;0.000293439;0.000166175;3.96308e-05;0.00033207;
64;512;512;estimate;scatter;0.00792058;0.00511735;0.00279993;0.000944749;0.000251387;7.9833e-05;0.000430913;0.000305019;0.000234997;9.05029e-05;0.000462534;
64;512;512;estimate;scatter;0.00830168;0.0057153;0.00257277;0.000828845;0.000248478;9.07618e-05;0.000403142;0.000277289;0.000208936;3.60608e-05;0.000479255;
64;512;512;estimate;scatter;0.0083953;0.00586701;0.00251247;0.000754623;0.000391662;6.71919e-05;0.00032707;0.000229977;0.000188805;4.4432e-05;0.000508705;
64;512;512;estimate;scatter;0.00774239;0.00500494;0.00273363;0.0009915;0.000235797;9.6163e-05;0.000522386;0.000248668;0.000191846;4.5561e-05;0.000401712;
64;512;512;estimate;scatter;0.00838439;0.00546404;0.00291694;0.000945368;0.000290499;9.7923e-05;0.000513566;0.000286288;0.000238597;4.39822e-05;0.000500715;
128;512;512;estimate;scatter;0.00720235;0.00407928;0.00311845;0.000730002;0.000410613;8.85022e-05;0.000545687;0.00034045;0.000250198;6.63921e-05;0.00068661;
128;512;512;estimate;scatter;0.00767377;0.0046995;0.00297019;0.000715532;0.000372901;5.21019e-05;0.000432953;0.000385261;0.000238387;3.0552e-05;0.000742502;
128;512;512;estimate;scatter;0.00769076;0.00461661;0.00306856;0.000595778;0.000382482;5.6251e-05;0.000528026;0.000380852;0.000294598;5.70419e-05;0.000773534;
128;512;512;estimate;scatter;0.00685121;0.00386867;0.00297799;0.000563987;0.000437084;7.0442e-05;0.000497655;0.000326979;0.000261388;5.53119e-05;0.000765143;
128;512;512;estimate;scatter;0.00780875;0.00458079;0.00321697;0.000795884;0.000390662;8.8023e-05;0.000514765;0.000336341;0.000259017;5.6762e-05;0.000775514;
