n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;512;512;estimate;par;0.012237;0.00973667;0.00248845;0.00123192;0.000191346;0.000908197;0.000156995;
1;512;512;estimate;par;0.00893133;0.00430452;0.00462424;0.00269652;0.00033225;0.00144081;0.000154654;
1;512;512;estimate;par;0.00574222;0.00331255;0.00242613;0.00122602;0.000144284;0.000901937;0.000153895;
1;512;512;estimate;par;0.00577121;0.00335367;0.00240689;0.00120958;0.000140515;0.000901107;0.000155694;
1;512;512;estimate;par;0.00735512;0.00332885;0.00402215;0.00202749;0.000233607;0.00149938;0.000261668;
2;512;512;estimate;par;0.00529862;0.00364696;0.00164056;0.000638859;0.000442404;0.000456183;0.000103114;
2;512;512;estimate;par;0.0075457;0.00485047;0.00269302;0.00128332;0.000239577;0.00106337;0.000106753;
2;512;512;estimate;par;0.00420002;0.00260794;0.00159007;0.000639129;0.000398803;0.000456474;9.5662e-05;
2;512;512;estimate;par;0.00517783;0.00346263;0.00170384;0.000637749;0.000514396;0.000460814;9.08829e-05;
2;512;512;estimate;par;0.00589822;0.00353932;0.00234719;0.000799774;0.000576588;0.000814814;0.000156015;
4;512;512;estimate;par;0.00472226;0.0031052;0.0016146;0.00104059;0.000103303;0.000361131;0.000109573;
4;512;512;estimate;par;0.00347328;0.00226999;0.00119166;0.000392121;0.00033145;0.000367942;0.000100143;
4;512;512;estimate;par;0.00378135;0.00229371;0.00148552;0.000397982;0.000445143;0.000526506;0.000115884;
4;512;512;estimate;par;0.00368095;0.00223596;0.00144288;0.00065333;0.00033795;0.000347031;0.000104573;
4;512;512;estimate;par;0.0042173;0.00275451;0.00145042;0.000568107;0.000418002;0.000357721;0.000106593;
8;512;512;estimate;par;0.00429798;0.00293754;0.00135612;0.000355321;0.000534616;0.000288289;0.000177895;
8;512;512;estimate;par;0.00352283;0.00235623;0.00116403;0.00031991;0.000383792;0.000272328;0.000187996;
8;512;512;estimate;par;0.00365178;0.00225923;0.00138845;0.000360871;0.000497135;0.000348011;0.000182435;
8;512;512;estimate;par;0.00459778;0.00357942;0.00101523;0.000342941;0.000202926;0.000293319;0.000176045;
8;512;512;estimate;par;0.00512716;0.00353335;0.00159099;0.000367201;0.00065322;0.000367311;0.000203256;
16;512;512;estimate;par;0.00394236;0.00242455;0.00151358;0.000730282;0.00032682;0.000247538;0.000208936;
16;512;512;estimate;par;0.00481175;0.00358483;0.00121426;0.000370591;0.000443554;0.000224566;0.000175546;
16;512;512;estimate;par;0.00443894;0.00304626;0.00139008;0.000348691;0.000550216;0.00032469;0.000166485;
16;512;512;estimate;par;0.00508259;0.00356524;0.00151336;0.000708601;0.000296409;0.00031306;0.000195295;
16;512;512;estimate;par;0.0038234;0.00259404;0.0012266;0.000342431;0.000503825;0.000218887;0.000161454;
32;512;512;estimate;par;0.0069488;0.00500706;0.00193882;0.000533676;0.000735663;0.000417452;0.000252028;
32;512;512;estimate;par;0.00443458;0.00300735;0.00141697;0.000718992;0.000285658;0.000191626;0.000220697;
32;512;512;estimate;par;0.00535873;0.00374172;0.00161444;0.000862286;0.000234577;0.000257948;0.000259628;
32;512;512;estimate;par;0.00419028;0.00277003;0.00141627;0.000713602;0.000269198;0.000217676;0.000215797;
32;512;512;estimate;par;0.00575066;0.00411016;0.00163756;0.00067296;0.000349511;0.000379071;0.000236017;
64;512;512;estimate;par;0.00527322;0.00337354;0.00189576;0.000845405;0.000454294;0.000259308;0.00033675;
64;512;512;estimate;par;0.00567576;0.00380519;0.00185844;0.000759433;0.000396872;0.000249017;0.000453114;
64;512;512;estimate;par;0.00484014;0.00307914;0.00174961;0.000805624;0.000271998;0.00032306;0.000348931;
64;512;512;estimate;par;0.00535863;0.00353961;0.00181681;0.000932338;0.000258068;0.000261678;0.000364731;
64;512;512;estimate;par;0.00497183;0.00311996;0.00184756;0.000738223;0.00035081;0.000285309;0.000473214;
128;512;512;estimate;par;0.00698725;0.00454073;0.00244338;0.000930578;0.000468934;0.000373952;0.00066992;
128;512;512;estimate;par;0.00498914;0.00275105;0.00223441;0.00068057;0.000434033;0.000331961;0.000787843;
128;512;512;estimate;par;0.00452042;0.00254766;0.00196933;0.000601538;0.000436283;0.00034312;0.000588388;
128;512;512;estimate;par;0.00498098;0.00291595;0.00205436;0.00066161;0.000432973;0.000300349;0.00065943;
128;512;512;estimate;par;0.00504292;0.00283443;0.00220443;0.000620969;0.000475115;0.000423412;0.000684931;
