n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;48;16384;16384;measure;15.7072;0.104031;1.24978e+10;
1;48;16384;16384;measure;13.4962;0.0986098;1.2194e+10;
1;48;16384;16384;measure;12.6863;0.111831;1.24978e+10;
1;48;16384;16384;measure;21.0853;0.190676;1.22462e+10;
1;48;16384;16384;measure;14.2217;0.192272;1.24856e+10;
2;48;16384;16384;measure;51.3478;5.30406;0;
2;48;16384;16384;measure;58.0653;5.8375;0;
2;48;16384;16384;measure;52.3175;4.05408;0;
2;48;16384;16384;measure;52.4915;4.03258;0;
2;48;16384;16384;measure;54.7227;3.51217;0;
4;48;16384;16384;measure;35.7268;4.01217;0;
4;48;16384;16384;measure;47.5478;3.72319;0;
4;48;16384;16384;measure;31.3905;3.5963;0;
4;48;16384;16384;measure;31.8541;4.79279;0;
4;48;16384;16384;measure;35.6214;4.34565;0;
8;48;16384;16384;measure;17.196;2.03082;0;
8;48;16384;16384;measure;19.9006;3.3219;0;
8;48;16384;16384;measure;23.5221;3.13615;0;
8;48;16384;16384;measure;57.3828;2.00494;0;
8;48;16384;16384;measure;20.3562;2.19382;0;
16;48;16384;16384;measure;13.8196;6.45324;0;
16;48;16384;16384;measure;13.4037;6.81978;0;
16;48;16384;16384;measure;14.6475;7.71192;0;
16;48;16384;16384;measure;13.7707;6.20613;0;
16;48;16384;16384;measure;22.7834;4.45979;0;


