n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;48;16384;16384;measure;15.6899;0.138279;1.24978e+10;
1;48;16384;16384;measure;14.5117;0.299583;1.25792e+10;
1;48;16384;16384;measure;15.4284;0.121141;1.24978e+10;
1;48;16384;16384;measure;15.0376;0.585207;1.22166e+10;
1;48;16384;16384;measure;15.955;0.170099;1.23972e+10;
2;48;16384;16384;measure;54.5876;4.64146;0;
2;48;16384;16384;measure;59.9127;4.79002;0;
2;48;16384;16384;measure;58.253;3.54962;0;
2;48;16384;16384;measure;53.4443;3.40797;0;
2;48;16384;16384;measure;59.9689;5.14176;0;
4;48;16384;16384;measure;33.6875;3.16825;0;
4;48;16384;16384;measure;34.2906;3.2029;0;
4;48;16384;16384;measure;33.1061;3.11868;0;
4;48;16384;16384;measure;33.4906;3.30358;0;
4;48;16384;16384;measure;33.2763;3.00282;0;
8;48;16384;16384;measure;17.8112;1.66668;0;
8;48;16384;16384;measure;18.4586;1.60111;0;
8;48;16384;16384;measure;17.969;1.65426;0;
8;48;16384;16384;measure;18.2841;1.54792;0;
8;48;16384;16384;measure;17.6346;1.61942;0;
16;48;16384;16384;measure;13.2845;1.10642;0;
16;48;16384;16384;measure;13.3086;1.15526;0;
16;48;16384;16384;measure;13.2149;1.12264;0;
16;48;16384;16384;measure;12.5554;1.04819;0;
16;48;16384;16384;measure;12.6794;1.17126;0;

