n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
48;1;16384;16384;measure;2.20224;0.578885;0;
48;1;16384;16384;measure;2.1306;0.579269;0;
48;1;16384;16384;measure;2.20438;0.58113;0;
48;1;16384;16384;measure;2.13299;0.591904;0;
48;1;16384;16384;measure;2.20883;0.584819;0;
96;1;16384;16384;measure;1.47131;1.35285;0;
96;1;16384;16384;measure;1.46313;1.54119;0;
96;1;16384;16384;measure;1.44285;1.44686;0;
96;1;16384;16384;measure;1.46397;1.43283;0;
96;1;16384;16384;measure;1.49782;1.25914;0;
192;1;16384;16384;measure;1.11909;4.05489;0;
192;1;16384;16384;measure;1.1137;3.98999;0;
192;1;16384;16384;measure;1.13262;4.00123;0;
192;1;16384;16384;measure;1.1144;4.05833;0;
192;1;16384;16384;measure;1.14099;3.79836;0;
384;1;16384;16384;measure;0.952564;9.27511;0;
384;1;16384;16384;measure;0.963009;9.00253;0;
384;1;16384;16384;measure;1.00224;8.55577;0;
384;1;16384;16384;measure;1.00403;9.30078;0;
384;1;16384;16384;measure;0.97734;9.05644;0;
768;1;16384;16384;measure;0.897216;18.4809;0;
768;1;16384;16384;measure;0.929599;16.8106;0;
768;1;16384;16384;measure;0.936777;18.0504;0;
768;1;16384;16384;measure;0.939735;18.2623;0;
768;1;16384;16384;measure;0.968426;19.0712;0;
