n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;measure;scatter;1.81893;1.48411;0.3348;0.0529439;0.0571218;0.00027102;0.0578718;0.0549894;0.0581424;0.00342793;0.0500314;
48;16384;16384;measure;scatter;1.78737;1.45839;0.328959;0.0516654;0.0569122;0.000268895;0.0593326;0.0531026;0.0544197;0.00343917;0.0498183;
48;16384;16384;measure;scatter;1.78172;1.45917;0.322526;0.0530173;0.0569946;0.000227638;0.0595925;0.0425884;0.0567865;0.00342116;0.0498978;
48;16384;16384;measure;scatter;1.78754;1.45715;0.330365;0.0530814;0.0567202;0.000289514;0.0600152;0.0505212;0.0564306;0.00340335;0.0499037;
48;16384;16384;measure;scatter;1.77442;1.44379;0.330602;0.0520252;0.0552868;0.000271901;0.0600331;0.0528837;0.0569323;0.003437;0.0497318;
48;16384;16384;measure;scatter;6.21122;1.17673;5.03443;0.0410177;0.0482335;1.96846;0.0622273;0.0389267;0.0293964;2.79432;0.0518612;
48;16384;16384;measure;scatter;6.20654;1.14106;5.06546;0.0414043;0.0340304;2.52106;0.0564357;0.043995;0.0278772;2.29509;0.045567;
48;16384;16384;measure;scatter;6.52951;1.14263;5.38686;0.0410068;0.0354496;2.48524;0.0635342;0.0459263;0.0277858;2.64077;0.047139;
48;16384;16384;measure;scatter;5.75205;1.14387;4.60815;0.0407893;0.0511871;2.4608;0.0433128;0.0317533;0.0280366;1.89308;0.05919;
48;16384;16384;measure;scatter;7.1221;1.13971;5.98236;0.0578158;0.0329964;2.01514;0.0599451;0.038725;0.0285139;3.69007;0.0591584;
48;16384;16384;measure;scatter;4.94357;1.0179;3.92565;0.0135226;0.0153765;1.03262;0.0745002;0.016201;0.0179675;2.70359;0.0518687;
48;16384;16384;measure;scatter;5.254;1.02439;4.22958;0.0135905;0.0154564;1.14199;0.0734258;0.0161262;0.0165061;2.9009;0.0515868;
48;16384;16384;measure;scatter;4.85526;1.02132;3.83392;0.0158554;0.0151304;1.13161;0.0745055;0.0210175;0.0187799;2.50806;0.0489666;
48;16384;16384;measure;scatter;4.80432;1.03418;3.77012;0.0140427;0.0692464;1.44713;0.0744145;0.0161063;0.0162395;2.08343;0.0495073;
48;16384;16384;measure;scatter;4.55436;1.03114;3.52319;0.0135598;0.0632044;1.52252;0.0725855;0.0143164;0.0175696;1.76862;0.0508188;
48;16384;16384;measure;scatter;3.53747;0.918515;2.6189;0.0115517;0.0115157;1.26266;0.0340226;0.0378551;0.0246588;1.20456;0.0320757;
48;16384;16384;measure;scatter;3.48217;0.914356;2.56777;0.0110391;0.0112247;1.16962;0.0378053;0.0370992;0.0173061;1.25188;0.0317909;
48;16384;16384;measure;scatter;4.19633;0.921964;3.27432;0.0111244;0.0108085;1.43759;0.0899418;0.0132229;0.015489;1.65699;0.0391591;
48;16384;16384;measure;scatter;3.8931;0.918603;2.97446;0.0113792;0.0305504;1.46553;0.0348423;0.0251503;0.0151674;1.35152;0.0403247;
48;16384;16384;measure;scatter;3.39419;0.930301;2.46386;0.0120616;0.0336436;1.17476;0.0309501;0.020399;0.0170511;1.14442;0.0305792;
48;16384;16384;measure;scatter;3.62494;0.936972;2.68794;0.0373861;0.894381;0.470588;0.0272986;0.00644109;0.00817109;1.20551;0.0381615;
48;16384;16384;measure;scatter;3.66204;0.946148;2.71588;0.0313647;0.873729;0.334455;0.0311128;0.00674034;0.00947083;1.38289;0.0461163;
48;16384;16384;measure;scatter;3.6861;0.968459;2.71762;0.0319746;0.917494;0.279315;0.0594801;0.00524098;0.0114111;1.36963;0.0430783;
48;16384;16384;measure;scatter;3.50433;0.939878;2.56444;0.0306767;0.759157;0.41864;0.0294737;0.00623211;0.0113753;1.26558;0.0433046;
48;16384;16384;measure;scatter;3.59358;0.943012;2.65055;0.0333329;0.780056;0.517586;0.0350467;0.0056967;0.0109708;1.2145;0.053359;
