n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
48;16384;16384;measure;scatter;3.71597;1.46015;2.25582;
48;16384;16384;measure;scatter;3.71857;1.46656;2.252;
48;16384;16384;measure;scatter;3.67619;1.4514;2.22479;
48;16384;16384;measure;scatter;3.6598;1.46289;2.19691;
48;16384;16384;measure;scatter;3.67019;1.45263;2.21756;
48;16384;16384;measure;scatter;5.86078;1.14059;4.7202;
48;16384;16384;measure;scatter;4.97708;1.14512;3.83196;
48;16384;16384;measure;scatter;5.83754;1.16765;4.6699;
48;16384;16384;measure;scatter;5.75217;1.14155;4.61062;
48;16384;16384;measure;scatter;5.58901;1.144;4.44502;
48;16384;16384;measure;scatter;4.07696;1.03767;3.03929;
48;16384;16384;measure;scatter;3.98721;1.1014;2.88581;
48;16384;16384;measure;scatter;4.34111;1.12033;3.22078;
48;16384;16384;measure;scatter;5.20004;0.996653;4.20338;
48;16384;16384;measure;scatter;3.54759;1.06351;2.48408;
48;16384;16384;measure;scatter;3.69883;1.02853;2.6703;
48;16384;16384;measure;scatter;3.65674;1.08164;2.5751;
48;16384;16384;measure;scatter;3.55924;1.05691;2.50233;
48;16384;16384;measure;scatter;3.48378;1.03953;2.44425;
48;16384;16384;measure;scatter;3.58811;1.06176;2.52635;
48;16384;16384;measure;scatter;3.88193;0.998299;2.88363;
48;16384;16384;measure;scatter;3.76671;1.06022;2.70649;
48;16384;16384;measure;scatter;3.57138;1.05792;2.51346;
48;16384;16384;measure;scatter;3.75569;0.978037;2.77766;
48;16384;16384;measure;scatter;3.83513;0.985787;2.84934;
