n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
48;16384;16384;measure;scatter;5.13195;2.60027;2.53167;
48;16384;16384;measure;scatter;5.14919;2.49199;2.6572;
48;16384;16384;measure;scatter;5.1555;2.70969;2.44581;
48;16384;16384;measure;scatter;5.15284;2.37955;2.77329;
48;16384;16384;measure;scatter;5.13775;2.63151;2.50624;
48;16384;16384;measure;scatter;3.93606;1.6388;2.29725;
48;16384;16384;measure;scatter;3.99224;1.77485;2.21739;
48;16384;16384;measure;scatter;4.11605;1.84164;2.27441;
48;16384;16384;measure;scatter;4.06425;1.76623;2.29803;
48;16384;16384;measure;scatter;4.0016;1.76304;2.23857;
48;16384;16384;measure;scatter;3.02893;1.30414;1.72479;
48;16384;16384;measure;scatter;1.7909;0.994068;0.796828;
48;16384;16384;measure;scatter;3.6969;1.32372;2.37318;
48;16384;16384;measure;scatter;2.81876;1.26732;1.55143;
48;16384;16384;measure;scatter;3.64327;1.31246;2.33081;
48;16384;16384;measure;scatter;2.56382;1.04927;1.51454;
48;16384;16384;measure;scatter;2.11949;0.934569;1.18492;
48;16384;16384;measure;scatter;2.49127;1.04767;1.4436;
48;16384;16384;measure;scatter;2.17093;0.937271;1.23366;
48;16384;16384;measure;scatter;2.47207;1.04354;1.42853;
48;16384;16384;measure;scatter;2.21339;1.00964;1.20375;
48;16384;16384;measure;scatter;1.94718;0.90423;1.04295;
48;16384;16384;measure;scatter;2.66678;0.931802;1.73498;
48;16384;16384;measure;scatter;1.75614;0.889907;0.866231;
48;16384;16384;measure;scatter;1.95116;0.907228;1.04393;
