n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
48;16384;16384;measure;scatter;5.19335;2.74716;2.44619;
48;16384;16384;measure;scatter;5.24358;2.69902;2.54455;
48;16384;16384;measure;scatter;5.19684;2.73758;2.45925;
48;16384;16384;measure;scatter;5.17142;2.72638;2.44504;
48;16384;16384;measure;scatter;5.21924;2.6877;2.53153;
48;16384;16384;measure;scatter;5.15352;2.72301;2.43052;
48;16384;16384;measure;scatter;5.26745;2.70499;2.56247;
48;16384;16384;measure;scatter;5.09256;2.71394;2.37862;
48;16384;16384;measure;scatter;5.44903;2.9021;2.54693;
48;16384;16384;measure;scatter;4.64944;2.23868;2.41076;
48;16384;16384;measure;scatter;4.6216;2.24503;2.37657;
48;16384;16384;measure;scatter;5.14446;2.70654;2.43792;
48;16384;16384;measure;scatter;4.66688;2.26021;2.40668;
48;16384;16384;measure;scatter;4.66873;2.26153;2.40719;
48;16384;16384;measure;scatter;4.71678;2.28474;2.43204;
48;16384;16384;measure;scatter;4.66496;2.24277;2.42219;
48;16384;16384;measure;scatter;4.66679;2.25229;2.4145;
48;16384;16384;measure;scatter;4.63795;2.25366;2.38429;
48;16384;16384;measure;scatter;5.05901;2.69207;2.36694;
48;16384;16384;measure;scatter;4.66927;2.25257;2.4167;
48;16384;16384;measure;scatter;4.6132;2.21952;2.39368;
48;16384;16384;measure;scatter;4.6479;2.23497;2.41294;
48;16384;16384;measure;scatter;4.62385;2.23052;2.39334;
48;16384;16384;measure;scatter;4.58645;2.23739;2.34906;
48;16384;16384;measure;scatter;5.15258;2.70636;2.44622;
48;16384;16384;measure;scatter;4.59926;2.25689;2.34236;
48;16384;16384;measure;scatter;4.6302;2.24084;2.38936;
48;16384;16384;measure;scatter;4.62989;2.25235;2.37754;
48;16384;16384;measure;scatter;5.21362;2.7691;2.44452;
48;16384;16384;measure;scatter;4.59637;2.22171;2.37466;
48;16384;16384;measure;scatter;4.58899;2.2299;2.35909;
48;16384;16384;measure;scatter;4.62707;2.24531;2.38176;
48;16384;16384;measure;scatter;4.64935;2.24568;2.40367;
48;16384;16384;measure;scatter;4.69556;2.23785;2.45771;
48;16384;16384;measure;scatter;4.64061;2.24742;2.39318;
48;16384;16384;measure;scatter;4.9539;2.46071;2.49318;
48;16384;16384;measure;scatter;5.21324;2.77642;2.43682;
48;16384;16384;measure;scatter;4.57097;2.22048;2.35049;
48;16384;16384;measure;scatter;4.56906;2.22549;2.34357;
48;16384;16384;measure;scatter;4.54979;2.24687;2.30291;
48;16384;16384;measure;scatter;5.23493;2.79256;2.44237;
48;16384;16384;measure;scatter;5.23405;2.77322;2.46083;
48;16384;16384;measure;scatter;4.66528;2.21967;2.44561;
48;16384;16384;measure;scatter;4.95624;2.45397;2.50227;
48;16384;16384;measure;scatter;4.6766;2.22311;2.45349;
48;16384;16384;measure;scatter;5.049;2.65148;2.39752;
48;16384;16384;measure;scatter;4.66484;2.23376;2.43107;
48;16384;16384;measure;scatter;4.58733;2.24077;2.34656;
48;16384;16384;measure;scatter;5.09018;2.67693;2.41325;
48;16384;16384;measure;scatter;4.59312;2.24066;2.35245;
48;16384;16384;measure;scatter;3.78745;1.17858;2.60887;
48;16384;16384;measure;scatter;3.74317;1.18608;2.55709;
48;16384;16384;measure;scatter;3.92925;1.19261;2.73664;
48;16384;16384;measure;scatter;3.74019;1.17863;2.56156;
48;16384;16384;measure;scatter;3.88474;1.16343;2.72131;
48;16384;16384;measure;scatter;3.69044;1.17631;2.51413;
48;16384;16384;measure;scatter;3.87619;1.17049;2.7057;
