n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
48;16384;16384;measure;scatter;5.22786;2.64024;2.58762;
48;16384;16384;measure;scatter;5.20622;2.64647;2.55975;
48;16384;16384;measure;scatter;5.21928;2.65765;2.56163;
48;16384;16384;measure;scatter;5.22528;2.65095;2.57433;
48;16384;16384;measure;scatter;5.24156;2.65091;2.59065;
48;16384;16384;measure;scatter;5.21266;2.72978;2.48288;
48;16384;16384;measure;scatter;5.26977;2.79164;2.47813;
48;16384;16384;measure;scatter;5.23355;2.77996;2.45358;
48;16384;16384;measure;scatter;5.21101;2.64859;2.56242;
48;16384;16384;measure;scatter;5.20398;2.64405;2.55992;
48;16384;16384;measure;scatter;5.23442;2.66161;2.57281;
48;16384;16384;measure;scatter;5.18285;2.6303;2.55255;
48;16384;16384;measure;scatter;5.18695;2.64776;2.53919;
48;16384;16384;measure;scatter;5.2205;2.66274;2.55775;
48;16384;16384;measure;scatter;5.14337;2.70047;2.4429;
48;16384;16384;measure;scatter;5.16324;2.71999;2.44325;
48;16384;16384;measure;scatter;5.21219;2.65927;2.55292;
48;16384;16384;measure;scatter;5.23858;2.76801;2.47057;
48;16384;16384;measure;scatter;5.21329;2.6526;2.56069;
48;16384;16384;measure;scatter;5.23046;2.66028;2.57018;
48;16384;16384;measure;scatter;5.20906;2.64617;2.56289;
48;16384;16384;measure;scatter;5.21673;2.65264;2.56409;
48;16384;16384;measure;scatter;5.20832;2.67272;2.5356;
48;16384;16384;measure;scatter;5.2395;2.66565;2.57385;
48;16384;16384;measure;scatter;5.24432;2.79125;2.45307;
48;16384;16384;measure;scatter;5.24656;2.7855;2.46106;
48;16384;16384;measure;scatter;5.20892;2.72877;2.48016;
48;16384;16384;measure;scatter;5.22513;2.65458;2.57056;
48;16384;16384;measure;scatter;5.15901;2.71281;2.4462;
48;16384;16384;measure;scatter;5.20636;2.73002;2.47635;
48;16384;16384;measure;scatter;5.2352;2.66022;2.57498;
48;16384;16384;measure;scatter;5.24935;2.66179;2.58755;
48;16384;16384;measure;scatter;5.18495;2.72318;2.46177;
48;16384;16384;measure;scatter;5.27903;2.80878;2.47025;
48;16384;16384;measure;scatter;5.21808;2.65886;2.55922;
48;16384;16384;measure;scatter;5.22609;2.6567;2.56939;
48;16384;16384;measure;scatter;5.20022;2.6447;2.55552;
48;16384;16384;measure;scatter;5.13122;2.66033;2.47088;
48;16384;16384;measure;scatter;5.24375;2.66436;2.57939;
48;16384;16384;measure;scatter;5.22942;2.66226;2.56716;
48;16384;16384;measure;scatter;5.21799;2.7751;2.44289;
48;16384;16384;measure;scatter;5.18539;2.63674;2.54865;
48;16384;16384;measure;scatter;5.16272;2.63196;2.53076;
48;16384;16384;measure;scatter;5.22545;2.64361;2.58184;
48;16384;16384;measure;scatter;5.16722;2.4475;2.71972;
48;16384;16384;measure;scatter;5.17519;2.72191;2.45328;
48;16384;16384;measure;scatter;5.1868;2.6325;2.5543;
48;16384;16384;measure;scatter;5.20074;2.70961;2.49114;
48;16384;16384;measure;scatter;5.17706;2.63988;2.53718;
48;16384;16384;measure;scatter;5.14244;2.61475;2.52769;
48;16384;16384;measure;scatter;11.2505;1.56001;9.69049;
48;16384;16384;measure;scatter;11.2403;1.52376;9.71657;
48;16384;16384;measure;scatter;10.9583;1.67831;9.27998;
48;16384;16384;measure;scatter;10.3523;1.53323;8.81905;
48;16384;16384;measure;scatter;11.1341;1.52311;9.611;
48;16384;16384;measure;scatter;11.2025;1.51914;9.68332;
48;16384;16384;measure;scatter;9.55556;1.5261;8.02945;
48;16384;16384;measure;scatter;10.1523;1.52796;8.62438;
