n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;48;16384;16384;estimate;0.0134209;20.2363;
1;48;16384;16384;estimate;0.01298;22.2137;
1;48;16384;16384;estimate;0.0129369;20.0519;
1;48;16384;16384;estimate;0.0128081;22.2621;
1;48;16384;16384;estimate;0.0128827;20.0101;
2;48;16384;16384;estimate;0.0147709;17.733;
2;48;16384;16384;estimate;0.014845;17.7114;
2;48;16384;16384;estimate;0.0149776;17.426;
2;48;16384;16384;estimate;0.0147737;17.4013;
2;48;16384;16384;estimate;0.0147919;17.4196;
4;48;16384;16384;estimate;0.103958;11.5245;
4;48;16384;16384;estimate;0.103959;11.1513;
4;48;16384;16384;estimate;0.102119;11.4106;
4;48;16384;16384;estimate;0.0477982;11.5177;
4;48;16384;16384;estimate;0.17054;11.4148;
8;48;16384;16384;estimate;0.0195048;6.09445;
8;48;16384;16384;estimate;0.0199512;5.99174;
8;48;16384;16384;estimate;0.0197884;6.15618;
8;48;16384;16384;estimate;0.0199111;5.93678;
8;48;16384;16384;estimate;0.0197748;5.98791;
16;48;16384;16384;estimate;0.092184;3.44627;
16;48;16384;16384;estimate;0.0914764;3.51891;
16;48;16384;16384;estimate;0.0913246;3.3515;
16;48;16384;16384;estimate;0.0895747;3.43041;
16;48;16384;16384;estimate;0.0972938;3.51194;

