n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
48;1;16384;16384;estimate;0.00513489;0.591707;
48;1;16384;16384;estimate;0.00517281;0.860667;
48;1;16384;16384;estimate;0.0052274;0.596111;
48;1;16384;16384;estimate;0.00523154;0.864002;
48;1;16384;16384;estimate;0.0051453;0.595153;
96;1;16384;16384;estimate;0.0617308;1.44841;
96;1;16384;16384;estimate;0.0807534;1.57372;
96;1;16384;16384;estimate;0.062288;1.47019;
96;1;16384;16384;estimate;0.0339153;1.57869;
96;1;16384;16384;estimate;0.0594451;1.43963;
192;1;16384;16384;estimate;0.022979;4.48193;
192;1;16384;16384;estimate;0.0317813;4.20243;
192;1;16384;16384;estimate;0.0327758;3.94987;
192;1;16384;16384;estimate;0.0422568;3.76154;
192;1;16384;16384;estimate;0.0418003;4.36272;
384;1;16384;16384;estimate;0.0858833;8.73686;
384;1;16384;16384;estimate;0.0866495;8.88875;
384;1;16384;16384;estimate;0.084652;8.838;
384;1;16384;16384;estimate;0.0755517;9.56646;
384;1;16384;16384;estimate;0.0860489;8.79981;
768;1;16384;16384;estimate;0.0737786;18.9393;
768;1;16384;16384;estimate;0.099318;18.32;
768;1;16384;16384;estimate;0.0507379;20.2473;
768;1;16384;16384;estimate;0.07942;18.5126;
768;1;16384;16384;estimate;0.0903141;17.538;
