n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;8192;8192;estimate;0.00303994;1.30487;
1;1;8192;8192;estimate;0.00266268;1.29603;
1;1;8192;8192;estimate;0.00258505;1.30316;
1;1;8192;8192;estimate;0.00271868;1.29636;
1;1;8192;8192;estimate;0.00266997;1.30368;
1;2;8192;8192;estimate;0.00288428;0.793912;
1;2;8192;8192;estimate;0.00292904;0.787773;
1;2;8192;8192;estimate;0.00336763;0.793546;
1;2;8192;8192;estimate;0.00294565;0.794362;
1;2;8192;8192;estimate;0.00294434;0.791167;
1;4;8192;8192;estimate;0.00303063;0.389254;
1;4;8192;8192;estimate;0.00299284;0.389204;
1;4;8192;8192;estimate;0.00300608;0.390127;
1;4;8192;8192;estimate;0.00308312;0.397292;
1;4;8192;8192;estimate;0.00304317;0.389886;
1;8;8192;8192;estimate;0.00400445;0.207369;
1;8;8192;8192;estimate;0.00399456;0.206037;
1;8;8192;8192;estimate;0.0040306;0.20145;
1;8;8192;8192;estimate;0.00400893;0.217794;
1;8;8192;8192;estimate;0.00404695;0.205659;
1;16;8192;8192;estimate;0.00494923;0.105919;
1;16;8192;8192;estimate;0.0049305;0.105789;
1;16;8192;8192;estimate;0.00490875;0.101909;
1;16;8192;8192;estimate;0.00495367;0.103519;
1;16;8192;8192;estimate;0.00492629;0.102193;
1;32;8192;8192;estimate;0.00639932;0.187824;
1;32;8192;8192;estimate;0.00646902;0.171091;
1;32;8192;8192;estimate;0.00643834;0.175554;
1;32;8192;8192;estimate;0.00684169;0.177354;
1;32;8192;8192;estimate;0.00641658;0.186147;
1;64;8192;8192;estimate;0.00963261;0.271454;
1;64;8192;8192;estimate;0.0090471;0.276564;
1;64;8192;8192;estimate;0.00907287;0.27303;
1;64;8192;8192;estimate;0.00908269;0.279849;
1;64;8192;8192;estimate;0.00909572;0.274003;
1;128;8192;8192;estimate;0.0156259;0.428261;
1;128;8192;8192;estimate;0.016047;0.504464;
1;128;8192;8192;estimate;0.015625;0.473412;
1;128;8192;8192;estimate;0.0155704;0.500604;
1;128;8192;8192;estimate;0.0158551;0.49433;
1;256;8192;8192;estimate;0.025706;1.6194;
1;256;8192;8192;estimate;0.0254943;1.70601;
1;256;8192;8192;estimate;0.0256868;1.43852;
1;256;8192;8192;estimate;0.0255125;1.50438;
1;256;8192;8192;estimate;0.025624;1.65382;
