n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;                                                                                                                                                         
24;16384;16384;estimate;scatter;1.05359;0.611418;0.442145;0.111322;0.0564066;0.000153138;0.0577636;0.113146;0.0546104;0.000764687;0.0479778;                  
24;16384;16384;estimate;scatter;1.05149;0.611814;0.439641;0.111836;0.056394;0.000153218;0.0577476;0.111485;0.0543378;0.000710905;0.0469766;                   
24;16384;16384;estimate;scatter;1.0609;0.618653;0.442205;0.111749;0.056267;0.000160511;0.0575759;0.113146;0.0547393;0.000780637;0.0477873;                    
24;16384;16384;estimate;scatter;1.05781;0.615246;0.442538;0.11338;0.0557004;0.000102363;0.0589122;0.11314;0.0527709;0.000800063;0.0477318;                    
24;16384;16384;estimate;scatter;1.05659;0.614872;0.441688;0.112219;0.0579335;0.000139342;0.0575191;0.112814;0.0526844;0.000696739;0.0476826;                  
24;16384;16384;estimate;scatter;2.68716;0.352652;2.33448;0.0558161;0.0278897;1.03774;0.0513954;0.0553868;0.0276524;1.03454;0.0440555;                         
24;16384;16384;estimate;scatter;2.96147;0.32633;2.63511;0.0561177;0.028587;1.19113;0.0504267;0.0555076;0.0268704;1.18088;0.045583;                            
24;16384;16384;estimate;scatter;2.87487;0.325019;2.54983;0.0557804;0.0294589;1.23906;0.0503052;0.0688476;0.0285493;1.03448;0.0433396;                         
24;16384;16384;estimate;scatter;2.83124;0.325927;2.50528;0.0560137;0.0279223;1.299;0.0533271;0.0558417;0.0277252;0.940473;0.0449791;                          
24;16384;16384;estimate;scatter;3.21191;0.332489;2.87939;0.0560722;0.0285259;1.2646;0.0512305;0.055687;0.0285483;1.35123;0.0435029;                           
24;16384;16384;estimate;scatter;1.92658;0.194005;1.73254;0.0285905;0.014854;0.622104;0.144123;0.0355839;0.0139824;0.832888;0.0404166;                         
24;16384;16384;estimate;scatter;1.93028;0.204268;1.72599;0.0283827;0.0153596;0.681171;0.143962;0.0359965;0.0146488;0.764447;0.0420173;                        
24;16384;16384;estimate;scatter;2.24726;0.202864;2.04436;0.0284921;0.0152827;0.655001;0.140916;0.038302;0.0138916;1.11003;0.0424472;                          
24;16384;16384;estimate;scatter;1.94309;0.204674;1.73839;0.0285203;0.0148782;0.674949;0.145907;0.0347689;0.0141439;0.784118;0.0411052;                        
24;16384;16384;estimate;scatter;2.02643;0.200744;1.82565;0.028122;0.0153775;0.701666;0.143127;0.0305774;0.0146635;0.849853;0.0422652;                         
24;16384;16384;estimate;scatter;1.81366;0.0911255;1.72251;0.0141325;0.00772174;0.770442;0.0296815;0.0197707;0.00733065;0.849494;0.0239355;                    
24;16384;16384;estimate;scatter;1.96437;0.0988292;1.86552;0.0184375;0.0074384;0.865601;0.0319054;0.0208284;0.00737201;0.891748;0.0221857;                     
24;16384;16384;estimate;scatter;2.11151;0.0917507;2.01973;0.018566;0.00817139;0.876059;0.0313118;0.0238086;0.00734809;1.03065;0.0238136;                      
24;16384;16384;estimate;scatter;1.72251;0.0918793;1.6306;0.0140607;0.00803143;0.626603;0.0326239;0.0227047;0.00727724;0.895669;0.0236298;                     
24;16384;16384;estimate;scatter;1.96342;0.0970491;1.86634;0.01836;0.00765752;0.776099;0.0297634;0.0200299;0.00722306;0.984205;0.0230034;                      
24;16384;16384;estimate;scatter;2.00944;0.17654;1.83288;0.00956706;0.00451034;0.723863;0.0134823;0.0123102;0.00430721;1.05011;0.0147275;                      
24;16384;16384;estimate;scatter;2.04731;0.363965;1.68332;0.00732769;0.00452162;0.819192;0.0119423;0.0115345;0.00402355;0.810206;0.0145687;                    
24;16384;16384;estimate;scatter;1.77533;0.276214;1.49909;0.00733045;0.00431933;0.6879;0.0109524;0.0104851;0.00395911;0.759972;0.0141746;                      
24;16384;16384;estimate;scatter;1.90733;0.286339;1.62097;0.00741303;0.00431182;0.690596;0.0107846;0.0104551;0.00421497;0.879016;0.014179;                     
24;16384;16384;estimate;scatter;2.02234;0.265658;1.75665;0.00748821;0.00443216;0.66197;0.0120165;0.0103767;0.00411053;1.04198;0.0142843; 
