

n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
48;16384;16384;estimate;scatter;0.993133;0.645825;0.347283;0.064692;0.0559587;0.000285216;0.0606374;0.0564195;0.0556416;0.00329776;0.0503506;
48;16384;16384;estimate;scatter;2.67688;1.65954;1.01732;0.0926513;0.142803;0.000306037;0.284465;0.126396;0.140858;0.0781015;0.15174;
48;16384;16384;estimate;scatter;0.954709;0.614781;0.339904;0.0651457;0.0570591;0.000203663;0.0588031;0.0520396;0.0543985;0.00343394;0.04882;
48;16384;16384;estimate;scatter;2.68558;1.67359;1.01196;0.0932073;0.140211;0.00018539;0.273325;0.127776;0.150707;0.0779905;0.148562;
48;16384;16384;estimate;scatter;0.961624;0.612431;0.349167;0.0645377;0.0547771;0.000219943;0.061236;0.058908;0.0554752;0.00332119;0.0506924;
48;16384;16384;estimate;scatter;9.62781;0.319884;9.30785;0.0667769;0.0988771;3.53837;0.148398;0.0754689;0.0918696;5.13488;0.153207;
48;16384;16384;estimate;scatter;11.8128;0.706529;11.1063;0.0462222;0.0504514;2.5661;0.0423706;0.0389113;0.0754048;8.24114;0.0456586;
48;16384;16384;estimate;scatter;9.2283;0.316914;8.91135;0.0459195;0.0331321;4.90085;0.0568949;0.0583179;0.0308842;3.72591;0.0594477;
48;16384;16384;estimate;scatter;9.04018;0.847761;8.1924;0.162744;0.0344737;4.04676;0.195061;0.037654;0.0282739;3.59901;0.088428;
48;16384;16384;estimate;scatter;7.84125;0.309402;7.53183;0.0460369;0.0435003;2.41638;0.0449507;0.0427108;0.0270918;4.86845;0.0427093;
48;16384;16384;estimate;scatter;6.40017;0.45689;5.94326;0.0168516;0.12741;3.98291;0.104654;0.0208704;0.0219231;1.61029;0.0583555;
48;16384;16384;estimate;scatter;3.29547;0.17465;3.12079;0.0242723;0.0148644;1.30718;0.0744041;0.022752;0.016392;1.61169;0.0492309;
48;16384;16384;estimate;scatter;3.15569;0.160591;2.99507;0.0249156;0.0149027;1.50094;0.076048;0.0225754;0.0162423;1.28941;0.0500491;
48;16384;16384;estimate;scatter;7.48553;0.409251;7.07625;0.150849;0.0508429;1.77787;0.127251;0.0326495;0.0504854;4.73659;0.14972;
48;16384;16384;estimate;scatter;7.04321;0.159352;6.88383;0.0347156;0.0474192;1.80507;0.0735696;0.0397143;0.0209659;4.81586;0.0465172;
48;16384;16384;estimate;scatter;7.30257;0.233602;7.06894;0.212236;0.991261;0.640863;0.0607206;0.0156017;0.0381383;5.04177;0.0683531;
48;16384;16384;estimate;scatter;3.49105;0.0923132;3.39871;0.0174647;0.0135085;1.1566;0.0332544;0.0820316;0.0118983;1.48817;0.595782;
48;16384;16384;estimate;scatter;9.96513;0.230754;9.73435;0.183338;3.6089;2.2143;0.0820515;0.0166272;0.0238086;2.38755;1.21777;
48;16384;16384;estimate;scatter;2.7701;0.0857067;2.68437;0.0107833;0.00780669;1.13121;0.037071;0.101612;0.0095368;1.35515;0.031193;
48;16384;16384;estimate;scatter;8.18964;0.24248;7.94706;0.18753;1.44279;0.526032;0.0750133;0.05089;0.0255982;5.56172;0.0774858;
48;16384;16384;estimate;scatter;2.95927;0.0564954;2.90276;0.00553519;0.0274389;1.31123;0.0418806;0.00739819;0.00543084;1.47436;0.0294882;
48;16384;16384;estimate;scatter;3.16943;0.0698001;3.09961;0.0300685;0.912988;0.517006;0.0333776;0.00728898;0.00443983;1.56558;0.0288605;
48;16384;16384;estimate;scatter;2.9049;0.0593059;2.84558;0.0313601;0.753176;0.612861;0.0382716;0.00719457;0.00474803;1.35955;0.038417;
48;16384;16384;estimate;scatter;2.95495;0.0722704;2.88264;0.0380911;0.870526;0.540024;0.0347226;0.00655806;0.00641046;1.32809;0.0582175;
48;16384;16384;estimate;scatter;2.95602;0.0567406;2.89926;0.0272745;0.0179221;1.33107;0.0276631;0.00648359;0.00520527;1.44445;0.0391915;
