n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;8192;8192;estimate;par;1.3735;0.121416;1.25208;0.330122;0.244853;0.438842;0.238261;
1;8192;8192;estimate;par;1.37809;0.122488;1.2556;0.329417;0.244002;0.443857;0.23832;
1;8192;8192;estimate;par;1.36719;0.123116;1.24407;0.328935;0.246151;0.429291;0.23969;
1;8192;8192;estimate;par;1.35412;0.123015;1.2311;0.329414;0.238133;0.431794;0.231757;
1;8192;8192;estimate;par;1.37453;0.123898;1.25062;0.328292;0.248963;0.430177;0.243184;
2;8192;8192;estimate;par;0.747687;0.123194;0.624484;0.165369;0.12246;0.216874;0.119781;
2;8192;8192;estimate;par;0.749838;0.123084;0.626745;0.169457;0.121801;0.216086;0.1194;
2;8192;8192;estimate;par;0.756595;0.123418;0.633168;0.168848;0.125773;0.21525;0.123297;
2;8192;8192;estimate;par;0.753492;0.123219;0.630263;0.168668;0.125698;0.212402;0.123496;
2;8192;8192;estimate;par;0.7508;0.123319;0.627472;0.169016;0.123128;0.214588;0.12074;
4;8192;8192;estimate;par;0.450731;0.123521;0.327191;0.0879562;0.0667258;0.110068;0.0624413;
4;8192;8192;estimate;par;0.454437;0.123326;0.3311;0.0891666;0.0666486;0.109539;0.0657459;
4;8192;8192;estimate;par;0.44973;0.123494;0.326228;0.0865967;0.0643818;0.111702;0.0635476;
4;8192;8192;estimate;par;0.446779;0.123444;0.323316;0.0871668;0.0642571;0.10837;0.0635228;
4;8192;8192;estimate;par;0.44418;0.123274;0.320888;0.0860148;0.0639244;0.10808;0.0628695;
8;8192;8192;estimate;par;0.307115;0.124253;0.182854;0.0478293;0.0382901;0.0581346;0.0386003;
8;8192;8192;estimate;par;0.307308;0.124245;0.183045;0.0464715;0.0415331;0.05453;0.04051;
8;8192;8192;estimate;par;0.306003;0.124773;0.181223;0.0467815;0.0386241;0.0558385;0.0399786;
8;8192;8192;estimate;par;0.302929;0.123955;0.178955;0.0458893;0.0386819;0.0554266;0.0389567;
8;8192;8192;estimate;par;0.305862;0.124636;0.181217;0.0468918;0.038729;0.0568727;0.0387239;
16;8192;8192;estimate;par;0.229258;0.125034;0.104214;0.0290678;0.0226657;0.0306053;0.0218756;
16;8192;8192;estimate;par;0.230626;0.129454;0.101153;0.0263471;0.0217919;0.0310876;0.0219267;
16;8192;8192;estimate;par;0.229709;0.126434;0.103266;0.0265599;0.0239108;0.0303736;0.0224221;
16;8192;8192;estimate;par;0.23341;0.12651;0.106892;0.0294237;0.0239404;0.0317227;0.0218054;
16;8192;8192;estimate;par;0.233448;0.129803;0.103636;0.0261086;0.0247351;0.0285677;0.0242251;
32;8192;8192;estimate;par;0.195361;0.131545;0.0638055;0.0130033;0.0149129;0.0211439;0.0147454;
32;8192;8192;estimate;par;0.211031;0.142171;0.0688517;0.0180093;0.0149566;0.0211055;0.0147804;
32;8192;8192;estimate;par;0.212229;0.142968;0.0692519;0.0188506;0.0150474;0.0201732;0.0151807;
32;8192;8192;estimate;par;0.2107;0.142782;0.0679101;0.014506;0.0147212;0.0245025;0.0141804;
32;8192;8192;estimate;par;0.210387;0.143599;0.0667787;0.0160499;0.0148237;0.0211256;0.0147795;
64;8192;8192;estimate;par;0.211245;0.16132;0.049907;0.00841534;0.0142058;0.0136487;0.0136371;
64;8192;8192;estimate;par;0.219357;0.169754;0.0495828;0.00840682;0.0136011;0.0135828;0.0139921;
64;8192;8192;estimate;par;0.224332;0.174813;0.0494998;0.00842986;0.0138888;0.0134024;0.0137788;
64;8192;8192;estimate;par;0.230092;0.178062;0.0520102;0.0103783;0.014197;0.0135283;0.0139066;
64;8192;8192;estimate;par;0.230731;0.177883;0.0528391;0.00847154;0.0139954;0.0165601;0.013812;
128;8192;8192;estimate;par;0.235698;0.177631;0.0580405;0.00786059;0.018773;0.0128926;0.0185142;
128;8192;8192;estimate;par;0.287985;0.228523;0.0594437;0.00781267;0.0187965;0.0144098;0.0184247;
128;8192;8192;estimate;par;0.289919;0.228871;0.0610302;0.00738633;0.0189135;0.0162681;0.0184623;
128;8192;8192;estimate;par;0.275247;0.217115;0.0581227;0.00724924;0.0194667;0.0133667;0.01804;
128;8192;8192;estimate;par;0.278462;0.22007;0.0583821;0.00734826;0.0192077;0.0132365;0.0185896;
256;8192;8192;estimate;par;0.391823;0.327918;0.0638822;0.0094361;0.0200056;0.0151293;0.0193112;
256;8192;8192;estimate;par;0.37784;0.312219;0.0656104;0.0114051;0.019738;0.0156505;0.0188168;
256;8192;8192;estimate;par;0.367736;0.303112;0.0646136;0.0101106;0.0206917;0.0149243;0.018887;
256;8192;8192;estimate;par;0.386693;0.323043;0.0636391;0.00980904;0.0200343;0.0145829;0.0192129;
256;8192;8192;estimate;par;0.388521;0.324389;0.0641096;0.00950573;0.0197817;0.0155415;0.0192806;
