n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
24;16384;16384;estimate;scatter;3.34966;0.613101;2.73655;
24;16384;16384;estimate;scatter;3.36618;0.625389;2.74079;
24;16384;16384;estimate;scatter;3.39967;0.613915;2.78576;
24;16384;16384;estimate;scatter;3.37031;0.614622;2.75569;
24;16384;16384;estimate;scatter;3.29706;0.618712;2.67834;
24;16384;16384;estimate;scatter;2.99493;0.31214;2.68279;
24;16384;16384;estimate;scatter;3.1242;0.311686;2.81252;
24;16384;16384;estimate;scatter;2.94926;0.311599;2.63766;
24;16384;16384;estimate;scatter;3.0233;0.314129;2.70917;
24;16384;16384;estimate;scatter;2.94186;0.313507;2.62835;
24;16384;16384;estimate;scatter;2.58163;0.157821;2.42381;
24;16384;16384;estimate;scatter;2.45335;0.159726;2.29363;
24;16384;16384;estimate;scatter;2.42826;0.160317;2.26794;
24;16384;16384;estimate;scatter;2.50849;0.157967;2.35052;
24;16384;16384;estimate;scatter;2.55499;0.158816;2.39618;
24;16384;16384;estimate;scatter;2.56303;0.0848377;2.4782;
24;16384;16384;estimate;scatter;2.51478;0.0864026;2.42837;
24;16384;16384;estimate;scatter;2.51135;0.0873269;2.42402;
24;16384;16384;estimate;scatter;2.57681;0.0854239;2.49139;
24;16384;16384;estimate;scatter;2.59005;0.0865598;2.50349;
24;16384;16384;estimate;scatter;2.67587;0.10703;2.56884;
24;16384;16384;estimate;scatter;2.73509;0.0962625;2.63883;
24;16384;16384;estimate;scatter;2.72166;0.0880403;2.63362;
24;16384;16384;estimate;scatter;2.65112;0.0513093;2.59981;
24;16384;16384;estimate;scatter;2.6797;0.0877581;2.59194;
