n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
24;16384;16384;estimate;scatter;1.44115;0.614933;0.826219;
24;16384;16384;estimate;scatter;2.73608;0.63132;2.10476;
24;16384;16384;estimate;scatter;1.47112;0.639532;0.831589;
24;16384;16384;estimate;scatter;2.67583;0.632576;2.04325;
24;16384;16384;estimate;scatter;1.46638;0.635729;0.83065;
24;16384;16384;estimate;scatter;2.27346;0.336622;1.93684;
24;16384;16384;estimate;scatter;2.48351;0.30661;2.1769;
24;16384;16384;estimate;scatter;2.57521;0.31343;2.26178;
24;16384;16384;estimate;scatter;2.12412;0.347609;1.77651;
24;16384;16384;estimate;scatter;2.70512;0.324466;2.38065;
24;16384;16384;estimate;scatter;2.01045;0.238606;1.77185;
24;16384;16384;estimate;scatter;1.87108;0.160796;1.71028;
24;16384;16384;estimate;scatter;1.78637;0.163401;1.62297;
24;16384;16384;estimate;scatter;2.17969;0.25399;1.9257;
24;16384;16384;estimate;scatter;2.52815;0.166378;2.36178;
24;16384;16384;estimate;scatter;1.79843;0.086923;1.7115;
24;16384;16384;estimate;scatter;1.86096;0.0846556;1.7763;
24;16384;16384;estimate;scatter;1.76435;0.0865566;1.6778;
24;16384;16384;estimate;scatter;1.81564;0.149466;1.66618;
24;16384;16384;estimate;scatter;1.97131;0.0868557;1.88446;
24;16384;16384;estimate;scatter;2.08823;0.372566;1.71567;
24;16384;16384;estimate;scatter;2.00522;0.239645;1.76558;
24;16384;16384;estimate;scatter;2.1995;0.30047;1.89903;
24;16384;16384;estimate;scatter;1.91346;0.299155;1.6143;
24;16384;16384;estimate;scatter;2.12046;0.262979;1.85748;
