n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
48;16384;16384;estimate;scatter;2.96015;0.626305;2.33384;
48;16384;16384;estimate;scatter;3.9175;1.39788;2.51961;
48;16384;16384;estimate;scatter;2.93626;0.622516;2.31374;
48;16384;16384;estimate;scatter;3.90567;1.40836;2.49731;
48;16384;16384;estimate;scatter;2.91781;0.623045;2.29476;
48;16384;16384;estimate;scatter;9.54023;0.927585;8.61264;
48;16384;16384;estimate;scatter;9.69703;0.646374;9.05066;
48;16384;16384;estimate;scatter;9.8791;0.326061;9.55304;
48;16384;16384;estimate;scatter;7.64598;0.855121;6.79086;
48;16384;16384;estimate;scatter;10.0466;0.311434;9.73513;
48;16384;16384;estimate;scatter;4.45202;0.451098;4.00092;
48;16384;16384;estimate;scatter;2.92996;0.164432;2.76553;
48;16384;16384;estimate;scatter;4.16852;0.161669;4.00685;
48;16384;16384;estimate;scatter;7.65105;0.42322;7.22783;
48;16384;16384;estimate;scatter;3.91464;0.173904;3.74074;
48;16384;16384;estimate;scatter;7.6696;0.20793;7.46167;
48;16384;16384;estimate;scatter;3.17947;0.235248;2.94422;
48;16384;16384;estimate;scatter;4.80903;0.221302;4.58773;
48;16384;16384;estimate;scatter;2.75743;0.0883547;2.66908;
48;16384;16384;estimate;scatter;4.46549;0.212748;4.25274;
48;16384;16384;estimate;scatter;3.14996;0.053655;3.09631;
48;16384;16384;estimate;scatter;3.09088;0.0536402;3.03724;
48;16384;16384;estimate;scatter;3.1356;0.088356;3.04724;
48;16384;16384;estimate;scatter;3.26137;0.0878399;3.17353;
48;16384;16384;estimate;scatter;3.26658;0.101542;3.16504;
