n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
1;8192;8192;estimate;all_to_all;5.14339;0.38107;4.76232;
1;8192;8192;estimate;all_to_all;5.17999;0.34833;4.83166;
1;8192;8192;estimate;all_to_all;5.15618;0.3482;4.80798;
1;8192;8192;estimate;all_to_all;5.0553;0.347805;4.7075;
1;8192;8192;estimate;all_to_all;4.9782;0.347071;4.63113;
2;8192;8192;estimate;all_to_all;3.4576;0.356388;3.10121;
2;8192;8192;estimate;all_to_all;3.431;0.355685;3.07531;
2;8192;8192;estimate;all_to_all;3.43937;0.349137;3.09024;
2;8192;8192;estimate;all_to_all;3.4588;0.351981;3.10682;
2;8192;8192;estimate;all_to_all;3.42875;0.350617;3.07813;
4;8192;8192;estimate;all_to_all;2.7865;0.348293;2.4382;
4;8192;8192;estimate;all_to_all;2.80295;0.348572;2.45438;
4;8192;8192;estimate;all_to_all;2.80399;0.349407;2.45458;
4;8192;8192;estimate;all_to_all;2.79964;0.354188;2.44546;
4;8192;8192;estimate;all_to_all;2.79125;0.352331;2.43892;
8;8192;8192;estimate;all_to_all;2.60668;0.352377;2.2543;
8;8192;8192;estimate;all_to_all;2.55868;0.349572;2.20911;
8;8192;8192;estimate;all_to_all;2.58971;0.350019;2.23969;
8;8192;8192;estimate;all_to_all;2.60749;0.352168;2.25532;
8;8192;8192;estimate;all_to_all;2.61028;0.354978;2.2553;
16;8192;8192;estimate;all_to_all;2.46729;0.350769;2.11652;
16;8192;8192;estimate;all_to_all;2.45964;0.353934;2.10571;
16;8192;8192;estimate;all_to_all;2.45903;0.353064;2.10597;
16;8192;8192;estimate;all_to_all;2.47912;0.357321;2.1218;
16;8192;8192;estimate;all_to_all;2.44747;0.356887;2.09058;
32;8192;8192;estimate;all_to_all;2.41898;0.360796;2.05819;
32;8192;8192;estimate;all_to_all;2.41345;0.367361;2.04609;
32;8192;8192;estimate;all_to_all;2.41886;0.368724;2.05013;
32;8192;8192;estimate;all_to_all;2.40649;0.367847;2.03864;
32;8192;8192;estimate;all_to_all;2.40841;0.367299;2.04111;
64;8192;8192;estimate;all_to_all;2.44033;0.408128;2.0322;
64;8192;8192;estimate;all_to_all;2.51028;0.420808;2.08948;
64;8192;8192;estimate;all_to_all;2.50898;0.420865;2.08811;
64;8192;8192;estimate;all_to_all;2.50568;0.416133;2.08955;
64;8192;8192;estimate;all_to_all;2.47473;0.418201;2.05653;
128;8192;8192;estimate;all_to_all;2.74332;0.424607;2.31871;
128;8192;8192;estimate;all_to_all;2.93577;0.478039;2.45773;
128;8192;8192;estimate;all_to_all;2.8473;0.466006;2.3813;
128;8192;8192;estimate;all_to_all;3.00127;0.444947;2.55632;
128;8192;8192;estimate;all_to_all;3.03178;0.420732;2.61105;
256;8192;8192;estimate;all_to_all;4.37755;0.625396;3.75216;
256;8192;8192;estimate;all_to_all;4.36464;0.619606;3.74504;
256;8192;8192;estimate;all_to_all;4.31218;0.634046;3.67813;
256;8192;8192;estimate;all_to_all;4.44297;0.645214;3.79775;
256;8192;8192;estimate;all_to_all;4.15894;0.667488;3.49145;
