n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;8192;8192;estimate;2.35187;0.125432;2.22644;
1;8192;8192;estimate;2.33211;0.125861;2.20625;
1;8192;8192;estimate;2.35321;0.126581;2.22663;
1;8192;8192;estimate;2.34938;0.126448;2.22293;
1;8192;8192;estimate;2.35631;0.126759;2.22955;
2;8192;8192;estimate;1.66692;0.129794;1.53713;
2;8192;8192;estimate;1.66226;0.126189;1.53607;
2;8192;8192;estimate;1.66755;0.1262;1.54135;
2;8192;8192;estimate;1.66989;0.126192;1.5437;
2;8192;8192;estimate;1.66734;0.125971;1.54137;
4;8192;8192;estimate;1.32782;0.125893;1.20193;
4;8192;8192;estimate;1.32568;0.125841;1.19983;
4;8192;8192;estimate;1.32788;0.126658;1.20123;
4;8192;8192;estimate;1.32189;0.126129;1.19576;
4;8192;8192;estimate;1.32668;0.131173;1.1955;
8;8192;8192;estimate;1.30106;0.125631;1.17543;
8;8192;8192;estimate;1.31025;0.126382;1.18386;
8;8192;8192;estimate;1.30384;0.130603;1.17324;
8;8192;8192;estimate;1.29183;0.126984;1.16485;
8;8192;8192;estimate;1.30138;0.126278;1.1751;
16;8192;8192;estimate;1.17393;0.129861;1.04406;
16;8192;8192;estimate;1.16775;0.127451;1.0403;
16;8192;8192;estimate;1.18728;0.129594;1.05769;
16;8192;8192;estimate;1.17932;0.12905;1.05027;
16;8192;8192;estimate;1.15425;0.128781;1.02547;
32;8192;8192;estimate;1.09247;0.132818;0.959647;
32;8192;8192;estimate;1.09669;0.138573;0.958118;
32;8192;8192;estimate;1.09201;0.139716;0.952292;
32;8192;8192;estimate;1.09265;0.137961;0.954688;
32;8192;8192;estimate;1.08944;0.142421;0.947021;
64;8192;8192;estimate;1.17786;0.151678;1.02618;
64;8192;8192;estimate;1.16052;0.161017;0.999506;
64;8192;8192;estimate;1.18411;0.160732;1.02338;
64;8192;8192;estimate;1.17433;0.158332;1.01599;
64;8192;8192;estimate;1.17886;0.161965;1.0169;
128;8192;8192;estimate;1.41508;0.162622;1.25246;
128;8192;8192;estimate;1.3794;0.198245;1.18115;
128;8192;8192;estimate;1.44636;0.200962;1.2454;
128;8192;8192;estimate;1.43649;0.199641;1.23685;
128;8192;8192;estimate;1.43524;0.195228;1.24001;
256;8192;8192;estimate;2.19793;0.278819;1.91911;
256;8192;8192;estimate;2.17152;0.271818;1.89971;
256;8192;8192;estimate;2.14469;0.269447;1.87525;
256;8192;8192;estimate;2.15314;0.263887;1.88925;
256;8192;8192;estimate;2.18857;0.266237;1.92233;
