n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;8192;8192;estimate;0.00269585;1.29474;
1;1;8192;8192;estimate;0.00272893;1.29476;
1;1;8192;8192;estimate;0.00268866;1.29017;
1;1;8192;8192;estimate;0.00272793;1.29387;
1;1;8192;8192;estimate;0.0029873;1.29008;
2;1;8192;8192;estimate;0.00347483;0.882099;
2;1;8192;8192;estimate;0.00336248;0.884046;
2;1;8192;8192;estimate;0.00336179;0.879537;
2;1;8192;8192;estimate;0.00334901;0.856598;
2;1;8192;8192;estimate;0.00343439;0.883081;
4;1;8192;8192;estimate;0.00345479;0.50581;
4;1;8192;8192;estimate;0.00346399;0.507941;
4;1;8192;8192;estimate;0.00349695;0.515596;
4;1;8192;8192;estimate;0.00346061;0.514725;
4;1;8192;8192;estimate;0.00347757;0.520362;
8;1;8192;8192;estimate;0.00367638;0.317348;
8;1;8192;8192;estimate;0.00487243;0.300154;
8;1;8192;8192;estimate;0.00714532;0.338566;
8;1;8192;8192;estimate;0.00368956;0.325415;
8;1;8192;8192;estimate;0.00487828;0.318817;
16;1;8192;8192;estimate;0.00573905;0.292378;
16;1;8192;8192;estimate;0.00538434;0.269894;
16;1;8192;8192;estimate;0.00538163;0.270595;
16;1;8192;8192;estimate;0.00581059;0.287559;
16;1;8192;8192;estimate;0.00573622;0.25266;
32;1;8192;8192;estimate;0.00580385;0.144963;
32;1;8192;8192;estimate;0.00559799;0.151937;
32;1;8192;8192;estimate;0.00570264;0.162947;
32;1;8192;8192;estimate;0.00583547;0.159395;
32;1;8192;8192;estimate;0.00635871;0.163684;
64;1;8192;8192;estimate;0.00839482;0.0889753;
64;1;8192;8192;estimate;0.00655814;0.0874117;
64;1;8192;8192;estimate;0.00700675;0.0850039;
64;1;8192;8192;estimate;0.00699831;0.0879893;
64;1;8192;8192;estimate;0.00791917;0.0890136;
128;1;8192;8192;estimate;0.0107627;0.0568135;
128;1;8192;8192;estimate;0.0101167;0.0566762;
128;1;8192;8192;estimate;0.00833297;0.0570008;
128;1;8192;8192;estimate;0.0107429;0.0580967;
128;1;8192;8192;estimate;0.00864983;0.056844;
