n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;1;16384;16384;estimate;0.00355181;6.83715;
1;1;16384;16384;estimate;0.00339635;6.91646;
1;1;16384;16384;estimate;0.003382;6.89996;
1;1;16384;16384;estimate;0.00335839;6.91559;
1;1;16384;16384;estimate;0.00335497;6.94193;
1;2;16384;16384;estimate;0.00359557;3.94594;
1;2;16384;16384;estimate;0.00362016;4.01032;
1;2;16384;16384;estimate;0.00360462;4.297;
1;2;16384;16384;estimate;0.00358368;4.45365;
1;2;16384;16384;estimate;0.00357745;3.96047;
1;4;16384;16384;estimate;0.0044711;1.99574;
1;4;16384;16384;estimate;0.00440904;1.9822;
1;4;16384;16384;estimate;0.00446445;1.99174;
1;4;16384;16384;estimate;0.00440543;1.98159;
1;4;16384;16384;estimate;0.00443228;2.61473;
1;8;16384;16384;estimate;0.00518899;1.03308;
1;8;16384;16384;estimate;0.00509141;1.02864;
1;8;16384;16384;estimate;0.00527575;1.03707;
1;8;16384;16384;estimate;0.00528489;0.989433;
1;8;16384;16384;estimate;0.00524106;1.0396;
1;16;16384;16384;estimate;0.0067314;0.614025;
1;16;16384;16384;estimate;0.00663537;0.53467;
1;16;16384;16384;estimate;0.00667567;0.541955;
1;16;16384;16384;estimate;0.0067614;0.534782;
1;16;16384;16384;estimate;0.006653;0.525543;
1;32;16384;16384;estimate;0.00853633;5.72235;
1;32;16384;16384;estimate;0.00868917;0.644056;
1;32;16384;16384;estimate;0.0087158;0.645999;
1;32;16384;16384;estimate;0.00874305;0.629441;
1;32;16384;16384;estimate;0.00863962;0.648592;
1;64;16384;16384;estimate;0.0120895;2.58196;
1;64;16384;16384;estimate;0.01201;2.39723;
1;64;16384;16384;estimate;0.0119727;2.58599;
1;64;16384;16384;estimate;0.0120206;2.62165;
1;64;16384;16384;estimate;0.0119752;2.42905;
1;128;16384;16384;estimate;0.0200184;4.57238;
1;128;16384;16384;estimate;0.0200881;15.6659;
1;128;16384;16384;estimate;0.0199893;21.1337;
1;128;16384;16384;estimate;0.0198973;4.10642;
1;128;16384;16384;estimate;0.0200232;10.3378;
1;256;16384;16384;estimate;0.0313036;48.8917;
1;256;16384;16384;estimate;0.031226;14.6579;
1;256;16384;16384;estimate;0.0312607;27.9134;
1;256;16384;16384;estimate;0.0313436;34.4147;
1;256;16384;16384;estimate;0.0313998;28.4097;
