n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
1;8192;8192;estimate;all_to_all;5.17611;0.380589;4.7955;0.326261;0.054012;0.16776;0.27265;0.418877;0.0536731;0.189011;3.31325;
1;8192;8192;estimate;all_to_all;5.15134;0.337043;4.81427;0.325517;0.0532124;0.166429;0.316662;0.418776;0.0529991;0.186635;3.29404;
1;8192;8192;estimate;all_to_all;5.12033;0.336793;4.78352;0.325183;0.05251;0.168177;0.321895;0.416634;0.0524564;0.1799;3.26676;
1;8192;8192;estimate;all_to_all;5.09611;0.336287;4.7598;0.325109;0.0518984;0.167565;0.316062;0.419942;0.0509024;0.181562;3.24676;
1;8192;8192;estimate;all_to_all;5.14064;0.33539;4.80523;0.325185;0.051367;0.165615;0.31533;0.417987;0.050516;0.180767;3.29847;
2;8192;8192;estimate;all_to_all;2.87407;0.335224;2.53883;0.163772;0.0344107;0.163766;0.141253;0.219485;0.0336858;0.17836;1.6041;
2;8192;8192;estimate;all_to_all;2.86114;0.335254;2.52586;0.171818;0.0343932;0.164074;0.141031;0.20423;0.0335166;0.178153;1.59864;
2;8192;8192;estimate;all_to_all;2.90285;0.335167;2.56766;0.168716;0.0344235;0.163373;0.149111;0.21991;0.0336105;0.177293;1.62122;
2;8192;8192;estimate;all_to_all;2.86885;0.335033;2.53379;0.162834;0.0344926;0.165688;0.14808;0.203575;0.0336467;0.176377;1.60909;
2;8192;8192;estimate;all_to_all;2.87483;0.335289;2.5395;0.169337;0.0342189;0.162631;0.143787;0.2047;0.0334844;0.183401;1.60794;
4;8192;8192;estimate;all_to_all;1.81834;0.336349;1.48199;0.0884684;0.0332249;0.168293;0.0758995;0.103328;0.0331497;0.177786;0.801836;
4;8192;8192;estimate;all_to_all;1.82903;0.333562;1.49545;0.0895023;0.0332659;0.166465;0.0750508;0.110603;0.0330935;0.185409;0.802056;
4;8192;8192;estimate;all_to_all;1.82998;0.336414;1.49356;0.0900243;0.0332659;0.168597;0.0787249;0.103107;0.0333602;0.185709;0.800771;
4;8192;8192;estimate;all_to_all;1.82968;0.33631;1.49336;0.0885701;0.033237;0.168857;0.0782089;0.109911;0.0331458;0.179632;0.801802;
4;8192;8192;estimate;all_to_all;1.82059;0.334685;1.4859;0.088631;0.0332272;0.168425;0.0766886;0.103579;0.0333708;0.181686;0.800296;
8;8192;8192;estimate;all_to_all;1.29531;0.339517;0.955772;0.0428782;0.0339066;0.168861;0.0438676;0.0555468;0.0331488;0.186364;0.391199;
8;8192;8192;estimate;all_to_all;1.29404;0.337287;0.956742;0.0466077;0.0339178;0.169101;0.0413597;0.057556;0.0331452;0.182263;0.392791;
8;8192;8192;estimate;all_to_all;1.2877;0.337298;0.950398;0.0485817;0.0339343;0.168027;0.0402355;0.0563834;0.0331264;0.183817;0.386293;
8;8192;8192;estimate;all_to_all;1.28532;0.336251;0.949054;0.046635;0.0339322;0.167788;0.0424987;0.0525369;0.033096;0.182585;0.389983;
8;8192;8192;estimate;all_to_all;1.29015;0.337165;0.952975;0.04256;0.0339184;0.168786;0.0413364;0.0567158;0.0331675;0.185156;0.391336;
16;8192;8192;estimate;all_to_all;1.00915;0.340912;0.668216;0.0262884;0.0193204;0.165796;0.0241398;0.030234;0.0189756;0.183079;0.200383;
16;8192;8192;estimate;all_to_all;1.0169;0.342221;0.674673;0.0263295;0.0193982;0.166977;0.0221722;0.0320622;0.0189791;0.185046;0.203709;
16;8192;8192;estimate;all_to_all;1.01775;0.343386;0.674359;0.0263457;0.0193486;0.165782;0.0234077;0.029551;0.0189336;0.18761;0.20338;
16;8192;8192;estimate;all_to_all;1.00482;0.338616;0.666195;0.0262812;0.0193537;0.165977;0.0236435;0.029643;0.0189596;0.185777;0.19656;
16;8192;8192;estimate;all_to_all;1.01443;0.343249;0.671172;0.026349;0.0193251;0.16519;0.02559;0.0276135;0.0189215;0.185683;0.2025;
32;8192;8192;estimate;all_to_all;0.888824;0.347461;0.541357;0.0143834;0.0137871;0.171902;0.0156405;0.0208267;0.0134989;0.187931;0.103387;
32;8192;8192;estimate;all_to_all;0.90429;0.347918;0.556351;0.016872;0.0135636;0.174036;0.0162249;0.0219051;0.0135583;0.187757;0.112434;
32;8192;8192;estimate;all_to_all;0.896663;0.350745;0.545912;0.0145972;0.013736;0.173432;0.016251;0.0203523;0.0135433;0.190161;0.103839;
32;8192;8192;estimate;all_to_all;0.898794;0.351499;0.547287;0.0165696;0.0136631;0.17217;0.0167087;0.0213933;0.0135598;0.189639;0.103584;
32;8192;8192;estimate;all_to_all;0.898268;0.350469;0.547791;0.0162117;0.0137145;0.174459;0.016671;0.0207984;0.0135268;0.189393;0.103018;
64;8192;8192;estimate;all_to_all;0.915963;0.388162;0.527782;0.0101311;0.0130226;0.189083;0.0135982;0.013866;0.0129364;0.217126;0.0580185;
64;8192;8192;estimate;all_to_all;0.929088;0.400474;0.528606;0.00850182;0.013121;0.19235;0.0137958;0.0131188;0.0126621;0.21691;0.0581462;
64;8192;8192;estimate;all_to_all;0.918864;0.392493;0.526364;0.0106764;0.0128116;0.192816;0.0138638;0.0131162;0.0128019;0.211933;0.0583445;
64;8192;8192;estimate;all_to_all;0.923217;0.389464;0.533735;0.0106809;0.0128623;0.19226;0.0137689;0.0133706;0.0128309;0.219706;0.0582548;
64;8192;8192;estimate;all_to_all;0.924126;0.394017;0.530102;0.011017;0.0132445;0.190525;0.0137553;0.0131524;0.012825;0.215337;0.060246;
128;8192;8192;estimate;all_to_all;0.941147;0.399241;0.541886;0.00815923;0.0134215;0.209266;0.0173039;0.00894125;0.0141493;0.226865;0.04378;
128;8192;8192;estimate;all_to_all;0.940373;0.421553;0.518801;0.00873128;0.0133402;0.197295;0.0172083;0.00913428;0.0139071;0.215903;0.0432818;
128;8192;8192;estimate;all_to_all;0.95675;0.43026;0.526483;0.00769847;0.0135355;0.199773;0.017054;0.00907131;0.0145555;0.221392;0.0434026;
128;8192;8192;estimate;all_to_all;0.961495;0.434189;0.527287;0.00783888;0.0135242;0.197957;0.0168939;0.00996504;0.014129;0.223657;0.0433227;
128;8192;8192;estimate;all_to_all;0.976502;0.432996;0.543488;0.00811775;0.0133565;0.20606;0.0170158;0.00930027;0.0138961;0.231825;0.0439175;
256;8192;8192;estimate;all_to_all;1.31138;0.603231;0.708126;0.00907062;0.0139846;0.277225;0.0425777;0.00986759;0.0146695;0.31259;0.0281417;
256;8192;8192;estimate;all_to_all;1.32658;0.585461;0.741093;0.00916147;0.0138918;0.282238;0.0694476;0.010442;0.0148756;0.313567;0.0274698;
256;8192;8192;estimate;all_to_all;1.346;0.591832;0.754143;0.00924105;0.0137748;0.286475;0.0679687;0.00980293;0.0150269;0.323754;0.028099;
256;8192;8192;estimate;all_to_all;1.35638;0.591033;0.765322;0.00937863;0.0138776;0.282504;0.0890928;0.0134572;0.0129878;0.316956;0.0270679;
256;8192;8192;estimate;all_to_all;1.3405;0.593397;0.747081;0.0091347;0.0140658;0.282518;0.0784461;0.00996113;0.0144603;0.311153;0.0273415;
