n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
1;8192;8192;estimate;scatter;4.99762;0.410137;4.58747;0.325621;0.0559097;0.000964469;0.292884;0.418753;0.0786306;0.0145005;3.4002;
1;8192;8192;estimate;scatter;4.89503;0.33447;4.56053;0.325776;0.0536038;0.000301019;0.292828;0.417115;0.0785599;0.0145777;3.37777;
1;8192;8192;estimate;scatter;4.88748;0.334828;4.55263;0.325262;0.0526095;0.00034492;0.292078;0.416601;0.0784694;0.014509;3.37276;
1;8192;8192;estimate;scatter;4.87422;0.334913;4.53929;0.325725;0.052124;0.000307789;0.292631;0.418305;0.077833;0.0145102;3.35785;
1;8192;8192;estimate;scatter;4.85598;0.334473;4.5215;0.325325;0.0518717;0.000309079;0.273264;0.420181;0.0773481;0.0146223;3.35858;
2;8192;8192;estimate;scatter;2.56969;0.333603;2.23606;0.162686;0.03433;0.000797744;0.144615;0.203931;0.0545518;0.0140123;1.62114;
2;8192;8192;estimate;scatter;2.57729;0.333063;2.2442;0.169721;0.0342773;0.000684981;0.135113;0.214969;0.0553421;0.0140764;1.62001;
2;8192;8192;estimate;scatter;2.57286;0.333622;2.2392;0.169496;0.0344213;0.000932568;0.143177;0.204396;0.0550727;0.0140476;1.61765;
2;8192;8192;estimate;scatter;2.57403;0.333294;2.24069;0.169537;0.0342392;0.000739722;0.143855;0.204007;0.0551828;0.0141213;1.61901;
2;8192;8192;estimate;scatter;2.57395;0.333118;2.24081;0.171801;0.0343653;0.000736052;0.134804;0.209583;0.0542309;0.0139909;1.6213;
4;8192;8192;estimate;scatter;1.49087;0.334091;1.15676;0.0889506;0.033239;0.000238207;0.0727454;0.106176;0.0336024;0.0140552;0.807753;
4;8192;8192;estimate;scatter;1.48452;0.332758;1.15173;0.0892326;0.0331658;0.000264198;0.0691502;0.106762;0.033368;0.0142155;0.805576;
4;8192;8192;estimate;scatter;1.4886;0.33313;1.15546;0.0916742;0.0332102;0.000274038;0.0734379;0.106875;0.0330661;0.0139185;0.803008;
4;8192;8192;estimate;scatter;1.49967;0.333269;1.16639;0.0911544;0.0332423;0.000270339;0.0774286;0.110498;0.0336463;0.0139245;0.806225;
4;8192;8192;estimate;scatter;1.49377;0.334649;1.15912;0.0890377;0.033242;0.000289299;0.0762673;0.106606;0.0331059;0.014074;0.806494;
8;8192;8192;estimate;scatter;0.958618;0.337844;0.620766;0.0476224;0.0338856;0.000304339;0.0426313;0.0559462;0.0330841;0.0143731;0.392919;
8;8192;8192;estimate;scatter;0.958462;0.33661;0.621835;0.0500342;0.0338957;0.00034116;0.0415402;0.056725;0.0338127;0.0141515;0.391335;
8;8192;8192;estimate;scatter;0.954751;0.337503;0.617232;0.0479768;0.0339164;0.000401272;0.0432947;0.0517346;0.0330701;0.014257;0.392581;
8;8192;8192;estimate;scatter;0.949983;0.335648;0.614325;0.0465157;0.0339283;0.00035527;0.0430077;0.0520203;0.0330892;0.0143769;0.391032;
8;8192;8192;estimate;scatter;0.949866;0.335538;0.614321;0.0492476;0.033898;0.00031931;0.0413028;0.0519394;0.0330592;0.0141368;0.390418;
16;8192;8192;estimate;scatter;0.668364;0.339525;0.32882;0.0262605;0.019376;0.000462025;0.0252886;0.026772;0.0190205;0.0144848;0.197156;
16;8192;8192;estimate;scatter;0.671063;0.340907;0.330139;0.0262191;0.0193164;0.000449574;0.0243717;0.0285912;0.0189833;0.0144426;0.197765;
16;8192;8192;estimate;scatter;0.670072;0.338905;0.331161;0.0262978;0.0193661;0.000415772;0.0262565;0.0285027;0.0189279;0.0146754;0.196719;
16;8192;8192;estimate;scatter;0.66855;0.336367;0.332176;0.0262885;0.0193507;0.000429593;0.0253872;0.0302844;0.0189732;0.0145119;0.196951;
16;8192;8192;estimate;scatter;0.669636;0.340283;0.329344;0.026401;0.0193257;0.000396642;0.0260062;0.0265935;0.0189689;0.0145543;0.197098;
32;8192;8192;estimate;scatter;0.538547;0.344029;0.19451;0.0137913;0.0138729;0.000518186;0.0182053;0.0174396;0.0141848;0.0152035;0.101295;
32;8192;8192;estimate;scatter;0.541655;0.347208;0.19444;0.0137945;0.0137355;0.000477244;0.0175768;0.0174209;0.0139757;0.0154841;0.101975;
32;8192;8192;estimate;scatter;0.543497;0.347889;0.195601;0.0145929;0.0137389;0.000423112;0.0178269;0.0178775;0.0141865;0.0153407;0.101615;
32;8192;8192;estimate;scatter;0.54434;0.347944;0.196388;0.0154346;0.0136963;0.000541427;0.017536;0.0176176;0.0138943;0.0154177;0.10225;
32;8192;8192;estimate;scatter;0.542131;0.346279;0.195833;0.0140297;0.0136991;0.000480304;0.0179652;0.0173166;0.0141873;0.0157054;0.10245;
64;8192;8192;estimate;scatter;0.537974;0.38567;0.152296;0.0100776;0.0129833;0.000465674;0.0137698;0.0145037;0.0127289;0.018;0.0697672;
64;8192;8192;estimate;scatter;0.522423;0.384727;0.137688;0.00833973;0.0130903;0.000485564;0.0136781;0.0132481;0.0129125;0.0179462;0.0579875;
64;8192;8192;estimate;scatter;0.531414;0.387824;0.143583;0.00940989;0.0128176;0.000468843;0.013818;0.0130897;0.0131836;0.017741;0.0630545;
