n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;8192;8192;estimate;par;1.47763;0.126275;1.35134;0.3271;0.288503;0.435143;0.300596;
1;8192;8192;estimate;par;1.49792;0.129408;1.3685;0.327097;0.286751;0.457836;0.296814;
1;8192;8192;estimate;par;1.47483;0.127381;1.34744;0.326564;0.288637;0.433962;0.298276;
1;8192;8192;estimate;par;1.48724;0.129832;1.3574;0.327198;0.288837;0.443622;0.297739;
1;8192;8192;estimate;par;1.47887;0.129628;1.34923;0.326036;0.286193;0.439951;0.297051;
2;8192;8192;estimate;par;0.79176;0.128236;0.663506;0.173292;0.1417;0.204094;0.14442;
2;8192;8192;estimate;par;0.787846;0.128262;0.659576;0.170676;0.141463;0.203905;0.143533;
2;8192;8192;estimate;par;0.786473;0.126542;0.659923;0.170665;0.142021;0.203317;0.14392;
2;8192;8192;estimate;par;0.798657;0.129352;0.669296;0.173073;0.14195;0.203623;0.15065;
2;8192;8192;estimate;par;0.786262;0.128328;0.657927;0.16776;0.141468;0.204731;0.143968;
4;8192;8192;estimate;par;0.473084;0.12866;0.344416;0.0877039;0.0722005;0.11126;0.0732511;
4;8192;8192;estimate;par;0.476822;0.129082;0.347731;0.0888626;0.074923;0.110487;0.073459;
4;8192;8192;estimate;par;0.474424;0.129052;0.345365;0.0912745;0.0742853;0.106515;0.0732896;
4;8192;8192;estimate;par;0.475757;0.12791;0.34784;0.092081;0.0720622;0.107248;0.0764483;
4;8192;8192;estimate;par;0.470395;0.126641;0.343733;0.09083;0.0720228;0.107047;0.0738332;
8;8192;8192;estimate;par;0.315143;0.128356;0.186766;0.0520488;0.0388525;0.0563546;0.0395097;
8;8192;8192;estimate;par;0.312961;0.128933;0.18402;0.0513062;0.0387266;0.0550815;0.0389058;
8;8192;8192;estimate;par;0.311012;0.129578;0.181426;0.0472986;0.0390201;0.0561452;0.0389619;
8;8192;8192;estimate;par;0.314288;0.127373;0.186894;0.0484138;0.0388293;0.0604001;0.0392507;
8;8192;8192;estimate;par;0.313617;0.128145;0.185462;0.0495286;0.0420074;0.0535267;0.0403997;
16;8192;8192;estimate;par;0.255294;0.13058;0.124706;0.0263837;0.044699;0.0319935;0.0216296;
16;8192;8192;estimate;par;0.250205;0.128671;0.121527;0.0263828;0.0291978;0.037339;0.0286073;
16;8192;8192;estimate;par;0.232181;0.126431;0.105728;0.0267349;0.0218552;0.0313627;0.0257747;
16;8192;8192;estimate;par;0.232533;0.129803;0.102707;0.0266185;0.0219428;0.032471;0.0216752;
16;8192;8192;estimate;par;0.231808;0.128975;0.10281;0.0264988;0.0241159;0.0287374;0.0234578;
32;8192;8192;estimate;par;0.201023;0.131405;0.0696102;0.0150093;0.0183647;0.0210477;0.0151885;
32;8192;8192;estimate;par;0.214832;0.146381;0.068423;0.0140893;0.018026;0.0197114;0.0165964;
32;8192;8192;estimate;par;0.210071;0.142755;0.0673076;0.0144704;0.0180963;0.0174946;0.0172464;
32;8192;8192;estimate;par;0.21087;0.139991;0.0708573;0.0168631;0.0178261;0.0209916;0.0151766;
32;8192;8192;estimate;par;0.209647;0.140791;0.0688478;0.0156456;0.0180887;0.0187543;0.0163593;
64;8192;8192;estimate;par;0.210586;0.159486;0.0510917;0.00845302;0.0153639;0.0130616;0.0142132;
64;8192;8192;estimate;par;0.20258;0.151386;0.051145;0.00829992;0.0152992;0.0133509;0.014195;
64;8192;8192;estimate;par;0.207762;0.156998;0.0507567;0.00843431;0.0147166;0.0133513;0.0142545;
64;8192;8192;estimate;par;0.206649;0.155449;0.0511927;0.00825494;0.014862;0.0133693;0.0147064;
64;8192;8192;estimate;par;0.199397;0.148401;0.0509878;0.00926974;0.0145651;0.0131441;0.0140089;
128;8192;8192;estimate;par;0.212163;0.152205;0.0599264;0.00828142;0.0189888;0.00953781;0.0231184;
128;8192;8192;estimate;par;0.240236;0.179535;0.0606947;0.00805592;0.0197222;0.0096886;0.0232281;
128;8192;8192;estimate;par;0.241507;0.182131;0.0593402;0.00760075;0.0191244;0.00945703;0.023158;
128;8192;8192;estimate;par;0.241753;0.180885;0.0608571;0.0080669;0.018907;0.00933746;0.0245457;
128;8192;8192;estimate;par;0.241671;0.182054;0.0596056;0.00708668;0.0189928;0.0090384;0.0244877;
256;8192;8192;estimate;par;0.425612;0.254488;0.171091;0.00873123;0.112497;0.0143084;0.0355546;
256;8192;8192;estimate;par;0.328287;0.24905;0.0791959;0.00867229;0.0228513;0.0204181;0.0272542;
256;8192;8192;estimate;par;0.426167;0.25929;0.166844;0.0114704;0.022287;0.0935234;0.0395637;
256;8192;8192;estimate;par;0.375614;0.265218;0.110358;0.0096647;0.0556477;0.0175753;0.02747;
256;8192;8192;estimate;par;0.385846;0.252126;0.13371;0.0116161;0.0215987;0.0123427;0.088153;
