n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;18.6435;0.479708;18.1638;
1;16384;16384;estimate;13.6807;0.452753;13.2279;
1;16384;16384;estimate;12.8281;0.4493;12.3788;
1;16384;16384;estimate;20.6032;0.450426;20.1527;
1;16384;16384;estimate;20.3522;0.444144;19.9081;
2;16384;16384;estimate;10.8131;0.443634;10.3695;
2;16384;16384;estimate;10.874;0.442898;10.4311;
2;16384;16384;estimate;10.8438;0.439821;10.404;
2;16384;16384;estimate;10.9231;0.439728;10.4834;
2;16384;16384;estimate;10.8798;0.439069;10.4408;
4;16384;16384;estimate;6.02462;0.441022;5.5836;
4;16384;16384;estimate;6.01784;0.440405;5.57744;
4;16384;16384;estimate;5.95093;0.440363;5.51057;
4;16384;16384;estimate;5.97531;0.44022;5.53509;
4;16384;16384;estimate;5.9867;0.43608;5.55062;
8;16384;16384;estimate;3.68892;0.442163;3.24676;
8;16384;16384;estimate;3.68427;0.437422;3.24685;
8;16384;16384;estimate;3.68774;0.442216;3.24552;
8;16384;16384;estimate;3.68698;0.440527;3.24646;
8;16384;16384;estimate;3.66542;0.439346;3.22607;
16;16384;16384;estimate;2.64561;0.441498;2.20411;
16;16384;16384;estimate;2.65975;0.445466;2.21429;
16;16384;16384;estimate;2.65913;0.442425;2.2167;
16;16384;16384;estimate;2.65428;0.44445;2.20983;
16;16384;16384;estimate;2.65498;0.440785;2.2142;
32;16384;16384;estimate;2.58075;0.567685;2.01307;
32;16384;16384;estimate;2.47723;0.491667;1.98556;
32;16384;16384;estimate;2.4849;0.497569;1.98733;
32;16384;16384;estimate;2.49228;0.498857;1.99342;
32;16384;16384;estimate;2.4644;0.497841;1.96656;
64;16384;16384;estimate;2.5126;0.535734;1.97686;
64;16384;16384;estimate;2.49209;0.520457;1.97163;
64;16384;16384;estimate;2.64419;0.550457;2.09373;
64;16384;16384;estimate;2.72816;0.55319;2.17497;
64;16384;16384;estimate;2.72764;0.522511;2.20513;
128;16384;16384;estimate;3.72188;0.545632;3.17625;
128;16384;16384;estimate;3.86627;0.64092;3.22535;
128;16384;16384;estimate;4.50299;0.574904;3.92808;
128;16384;16384;estimate;4.05764;0.508134;3.54951;
128;16384;16384;estimate;3.38886;0.584546;2.80431;
256;16384;16384;estimate;11.0103;0.891146;10.1191;
256;16384;16384;estimate;12.2666;0.807842;11.4588;
256;16384;16384;estimate;15.3434;1.09971;14.2437;
256;16384;16384;estimate;22.4762;0.787204;21.689;
256;16384;16384;estimate;14.2718;0.791265;13.4806;
