n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
1;8192;8192;estimate;scatter;6.15566;0.402821;5.75284;
1;8192;8192;estimate;scatter;5.58022;0.356178;5.22404;
1;8192;8192;estimate;scatter;6.02541;0.347005;5.6784;
1;8192;8192;estimate;scatter;6.12931;0.346772;5.78254;
1;8192;8192;estimate;scatter;6.15363;0.347117;5.80651;
2;8192;8192;estimate;scatter;3.71417;0.344491;3.36968;
2;8192;8192;estimate;scatter;3.72769;0.352661;3.37503;
2;8192;8192;estimate;scatter;3.72508;0.35056;3.37452;
2;8192;8192;estimate;scatter;3.71939;0.348935;3.37045;
2;8192;8192;estimate;scatter;3.71967;0.348867;3.37081;
4;8192;8192;estimate;scatter;2.70063;0.345081;2.35555;
4;8192;8192;estimate;scatter;2.72777;0.346881;2.38089;
4;8192;8192;estimate;scatter;2.71508;0.350556;2.36452;
4;8192;8192;estimate;scatter;2.72873;0.350574;2.37816;
4;8192;8192;estimate;scatter;2.68785;0.343154;2.3447;
8;8192;8192;estimate;scatter;2.33768;0.345256;1.99242;
8;8192;8192;estimate;scatter;2.35066;0.351211;1.99945;
8;8192;8192;estimate;scatter;2.3202;0.34657;1.97363;
8;8192;8192;estimate;scatter;2.33883;0.346577;1.99225;
8;8192;8192;estimate;scatter;2.17104;0.348725;1.82232;
16;8192;8192;estimate;scatter;2.15833;0.347438;1.81089;
16;8192;8192;estimate;scatter;2.11685;0.351868;1.76499;
16;8192;8192;estimate;scatter;2.12292;0.353359;1.76956;
16;8192;8192;estimate;scatter;2.20197;0.35719;1.84478;
16;8192;8192;estimate;scatter;2.1049;0.354193;1.7507;
32;8192;8192;estimate;scatter;1.98923;0.361603;1.62763;
32;8192;8192;estimate;scatter;1.98351;0.36315;1.62036;
32;8192;8192;estimate;scatter;1.9658;0.371924;1.59387;
32;8192;8192;estimate;scatter;1.97886;0.357922;1.62094;
32;8192;8192;estimate;scatter;1.99546;0.368074;1.62739;
64;8192;8192;estimate;scatter;2.06556;0.413852;1.6517;
64;8192;8192;estimate;scatter;2.1322;0.423841;1.70836;
64;8192;8192;estimate;scatter;2.1162;0.42247;1.69374;
64;8192;8192;estimate;scatter;2.05686;0.413102;1.64376;
64;8192;8192;estimate;scatter;2.09185;0.421613;1.67024;
128;8192;8192;estimate;scatter;2.1774;0.419861;1.75754;
128;8192;8192;estimate;scatter;2.27909;0.465347;1.81375;
128;8192;8192;estimate;scatter;2.17068;0.447333;1.72334;
128;8192;8192;estimate;scatter;2.16945;0.456284;1.71316;
128;8192;8192;estimate;scatter;2.22286;0.462043;1.76082;
256;8192;8192;estimate;scatter;5.5213;0.67578;4.84552;
256;8192;8192;estimate;scatter;6.58015;0.621479;5.95867;
256;8192;8192;estimate;scatter;5.40022;0.605144;4.79507;
256;8192;8192;estimate;scatter;5.98764;0.61144;5.3762;
256;8192;8192;estimate;scatter;5.46564;0.608813;4.85683;
