n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;20.7736;0.493811;20.2798;
1;16384;16384;estimate;14.7548;0.47037;14.2844;
1;16384;16384;estimate;16.9882;0.449942;16.5382;
1;16384;16384;estimate;16.4353;0.452847;15.9825;
1;16384;16384;estimate;9.11519;0.466082;8.64911;
2;16384;16384;estimate;5.61243;0.458825;5.15361;
2;16384;16384;estimate;5.69502;0.522047;5.17297;
2;16384;16384;estimate;5.43737;0.507443;4.92993;
2;16384;16384;estimate;5.24575;0.537107;4.70864;
2;16384;16384;estimate;9.96685;0.556077;9.41077;
4;16384;16384;estimate;4.53271;0.459725;4.07298;
4;16384;16384;estimate;4.54791;0.458985;4.08893;
4;16384;16384;estimate;4.59005;0.457409;4.13265;
4;16384;16384;estimate;4.54804;0.455712;4.09233;
4;16384;16384;estimate;4.59311;0.455437;4.13767;
8;16384;16384;estimate;2.82419;0.456795;2.36739;
8;16384;16384;estimate;2.81162;0.453153;2.35847;
8;16384;16384;estimate;2.82185;0.456634;2.36521;
8;16384;16384;estimate;2.82736;0.453866;2.37349;
8;16384;16384;estimate;2.79773;0.454528;2.3432;
16;16384;16384;estimate;1.80404;0.45142;1.35262;
16;16384;16384;estimate;1.80535;0.455347;1.35;
16;16384;16384;estimate;1.76855;0.456737;1.31181;
16;16384;16384;estimate;1.79657;0.45522;1.34135;
16;16384;16384;estimate;1.78328;0.453892;1.32939;
32;16384;16384;estimate;1.47926;0.457445;1.02181;
32;16384;16384;estimate;1.48174;0.459618;1.02213;
32;16384;16384;estimate;1.48045;0.466414;1.01404;
32;16384;16384;estimate;1.46713;0.456873;1.01026;
32;16384;16384;estimate;1.46113;0.457273;1.00386;
64;16384;16384;estimate;1.5752;0.497706;1.0775;
64;16384;16384;estimate;1.57626;0.504568;1.07169;
64;16384;16384;estimate;1.62181;0.497407;1.1244;
64;16384;16384;estimate;1.57565;0.497287;1.07836;
64;16384;16384;estimate;1.57663;0.497253;1.07938;
128;16384;16384;estimate;2.08128;0.49448;1.5868;
128;16384;16384;estimate;2.13794;0.522182;1.61576;
128;16384;16384;estimate;2.06649;0.504273;1.56222;
128;16384;16384;estimate;2.16597;0.514012;1.65195;
128;16384;16384;estimate;2.11729;0.49884;1.61845;
256;16384;16384;estimate;10.5666;0.772769;9.79387;
256;16384;16384;estimate;10.2925;0.755663;9.53685;
256;16384;16384;estimate;6.79316;0.769106;6.02406;
256;16384;16384;estimate;10.3033;0.789089;9.51421;
256;16384;16384;estimate;10.5049;0.801727;9.70314;
