n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;16384;16384;estimate;8.09544;0.450506;7.64492;2.91182;1.46327;1.8811;1.38873;
1;16384;16384;estimate;8.0377;0.448403;7.58929;2.83664;1.46748;1.87958;1.4056;
1;16384;16384;estimate;8.13991;0.446076;7.69382;2.94317;1.46992;1.88982;1.39091;
1;16384;16384;estimate;8.02719;0.440468;7.58671;2.88276;1.44261;1.87837;1.38297;
1;16384;16384;estimate;8.07889;0.440316;7.63856;2.9021;1.45536;1.88609;1.39502;
2;16384;16384;estimate;4.14619;0.439429;3.70675;1.30504;0.749584;0.914936;0.737192;
2;16384;16384;estimate;4.1507;0.438823;3.71187;1.30496;0.75104;0.917994;0.737885;
2;16384;16384;estimate;4.13859;0.439435;3.69915;1.30245;0.743516;0.917128;0.736055;
2;16384;16384;estimate;4.15203;0.439624;3.7124;1.30828;0.74951;0.917598;0.737009;
2;16384;16384;estimate;4.14819;0.439692;3.70849;1.30249;0.750482;0.917325;0.7382;
4;16384;16384;estimate;2.37845;0.438856;1.93954;0.665298;0.384763;0.465131;0.424351;
4;16384;16384;estimate;2.36119;0.438822;1.92236;0.658343;0.388346;0.464791;0.410879;
4;16384;16384;estimate;2.37836;0.440838;1.93751;0.661767;0.39695;0.465244;0.413552;
4;16384;16384;estimate;2.36557;0.441419;1.92414;0.663178;0.388991;0.463165;0.408807;
4;16384;16384;estimate;2.3767;0.44091;1.93578;0.663101;0.395351;0.464559;0.412774;
8;16384;16384;estimate;1.59425;0.440698;1.15354;0.356771;0.240176;0.23092;0.325672;
8;16384;16384;estimate;1.57832;0.443239;1.13507;0.354361;0.242933;0.231516;0.306262;
8;16384;16384;estimate;1.55469;0.443427;1.11125;0.354383;0.239459;0.232244;0.285163;
8;16384;16384;estimate;1.53987;0.444906;1.09496;0.352736;0.236407;0.231463;0.274353;
8;16384;16384;estimate;1.59453;0.446466;1.14805;0.355566;0.237017;0.231456;0.324014;
16;16384;16384;estimate;1.02835;0.444055;0.584288;0.193182;0.128441;0.117987;0.144679;
16;16384;16384;estimate;1.02408;0.44165;0.582419;0.194936;0.127745;0.119366;0.140372;
16;16384;16384;estimate;1.0219;0.443744;0.578153;0.193316;0.128003;0.118637;0.138198;
16;16384;16384;estimate;1.02325;0.444046;0.579203;0.193286;0.12811;0.11794;0.139867;
16;16384;16384;estimate;1.0324;0.443008;0.589388;0.193411;0.129582;0.118319;0.148077;
32;16384;16384;estimate;0.819799;0.44779;0.372003;0.140069;0.0817337;0.065195;0.0850056;
32;16384;16384;estimate;0.818576;0.44613;0.37244;0.138366;0.080228;0.065258;0.0885874;
32;16384;16384;estimate;0.818731;0.446062;0.372662;0.137616;0.0820735;0.0653478;0.0876239;
32;16384;16384;estimate;0.81921;0.446706;0.372498;0.137276;0.0812711;0.065285;0.0886659;
32;16384;16384;estimate;0.822479;0.448241;0.374232;0.138883;0.0817497;0.0655965;0.0880031;
64;16384;16384;estimate;0.915312;0.482392;0.432914;0.233503;0.0724059;0.0565202;0.0704853;
64;16384;16384;estimate;0.922512;0.484682;0.437825;0.237427;0.071272;0.0572281;0.0718972;
64;16384;16384;estimate;0.920928;0.485746;0.435177;0.233857;0.0729484;0.0571616;0.0712099;
64;16384;16384;estimate;0.919985;0.484064;0.435915;0.23574;0.0718834;0.0574614;0.0708301;
64;16384;16384;estimate;0.923104;0.48605;0.437049;0.237938;0.071107;0.0571485;0.0708549;
128;16384;16384;estimate;1.5272;0.486434;1.04076;0.5377;0.313459;0.0632385;0.126364;
128;16384;16384;estimate;1.9538;0.506696;1.4471;0.824847;0.133111;0.061293;0.427847;
128;16384;16384;estimate;1.59989;0.518787;1.0811;0.538225;0.271136;0.134616;0.137118;
128;16384;16384;estimate;1.82175;0.517356;1.30439;0.790735;0.127791;0.0695046;0.316358;
128;16384;16384;estimate;1.49619;0.506457;0.989729;0.495762;0.13284;0.0621977;0.298929;
256;16384;16384;estimate;9.03406;0.775618;8.25843;3.93448;0.843687;0.450412;3.02985;
256;16384;16384;estimate;5.92437;0.773357;5.15101;3.42587;0.320189;0.761754;0.643194;
256;16384;16384;estimate;5.65487;0.769881;4.88498;3.44628;0.380086;0.92396;0.13466;
256;16384;16384;estimate;9.89724;0.783835;9.1134;5.47157;2.53359;0.729513;0.378727;
256;16384;16384;estimate;7.83233;0.76281;7.06951;3.48342;2.19959;0.615243;0.77126;
