n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;16384;16384;estimate;0.00941093;65.0773;1.27229e+10;
1;16384;16384;estimate;0.00972447;64.8082;1.27229e+10;
1;16384;16384;estimate;0.00949939;66.2034;1.27229e+10;
1;16384;16384;estimate;0.00943691;65.1725;1.27229e+10;
1;16384;16384;estimate;0.00936255;66.4802;1.27229e+10;
1;16384;16384;estimate;0.00952631;66.2407;1.27229e+10;
1;16384;16384;estimate;0.00978417;66.3977;1.27229e+10;
1;16384;16384;estimate;0.00931599;65.8971;1.27229e+10;
1;16384;16384;estimate;0.00937909;65.852;1.27229e+10;
1;16384;16384;estimate;0.00955409;66.3973;1.27229e+10;
1;16384;16384;estimate;0.00944297;66.0533;1.27229e+10;
1;16384;16384;estimate;0.00960681;66.2693;1.27229e+10;
1;16384;16384;estimate;0.00941369;66.5625;1.27229e+10;
1;16384;16384;estimate;0.00938287;66.1575;1.27229e+10;
1;16384;16384;estimate;0.00948617;65.0948;1.27229e+10;
1;16384;16384;estimate;0.00953017;65.7813;1.27229e+10;
1;16384;16384;estimate;0.00936889;66.0424;1.27229e+10;
1;16384;16384;estimate;0.00962923;66.3782;1.27229e+10;
1;16384;16384;estimate;0.00934863;66.0959;1.27229e+10;
1;16384;16384;estimate;0.00946233;65.4874;1.27229e+10;
1;16384;16384;estimate;0.00922391;65.962;1.27229e+10;
1;16384;16384;estimate;0.00952518;66.0524;1.27229e+10;
1;16384;16384;estimate;0.00941131;65.1996;1.27229e+10;
1;16384;16384;estimate;0.00932749;66.1604;1.27229e+10;
1;16384;16384;estimate;0.00980755;66.2118;1.27229e+10;
1;16384;16384;estimate;0.00932381;65.8536;1.27229e+10;
1;16384;16384;estimate;0.00952387;66.3795;1.27229e+10;
1;16384;16384;estimate;0.00960593;66.4344;1.27229e+10;
1;16384;16384;estimate;0.00962635;66.3748;1.27229e+10;
1;16384;16384;estimate;0.00950171;66.2425;1.27229e+10;
1;16384;16384;estimate;0.00959221;66.2646;1.27229e+10;
1;16384;16384;estimate;0.00938583;66.0309;1.27229e+10;
1;16384;16384;estimate;0.00938771;65.9471;1.27229e+10;
1;16384;16384;estimate;0.00944395;66.2409;1.27229e+10;
1;16384;16384;estimate;0.00952563;66.0719;1.27229e+10;
1;16384;16384;estimate;0.00933203;66.4499;1.27229e+10;
1;16384;16384;estimate;0.00931805;66.7238;1.27229e+10;
1;16384;16384;estimate;0.00940809;65.8846;1.27229e+10;
1;16384;16384;estimate;0.00932651;66.4738;1.27229e+10;
1;16384;16384;estimate;0.00961499;65.6831;1.27229e+10;
1;16384;16384;estimate;0.00949743;65.8265;1.27229e+10;
