n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;16384;16384;estimate;0.00957351;70.774;1.27229e+10;
1;16384;16384;estimate;0.00996563;70.4747;1.27229e+10;
1;16384;16384;estimate;0.00968239;70.4968;1.27229e+10;
1;16384;16384;estimate;0.00922535;70.5924;1.27229e+10;
1;16384;16384;estimate;0.009517;70.7128;1.27229e+10;
1;16384;16384;estimate;0.00965039;70.3915;1.27229e+10;
1;16384;16384;estimate;0.00939077;70.5936;1.27229e+10;
1;16384;16384;estimate;0.00971173;70.4173;1.27229e+10;
1;16384;16384;estimate;0.00978605;69.8885;1.27229e+10;
1;16384;16384;estimate;0.00929079;70.4298;1.27229e+10;
1;16384;16384;estimate;0.00973949;69.8085;1.27229e+10;
1;16384;16384;estimate;0.00915721;69.8415;1.27229e+10;
1;16384;16384;estimate;0.00957633;70.0207;1.27229e+10;
1;16384;16384;estimate;0.00950113;71.0809;1.27229e+10;
1;16384;16384;estimate;0.00959011;70.6554;1.27229e+10;
1;16384;16384;estimate;0.00956451;70.1049;1.27229e+10;
1;16384;16384;estimate;0.0100008;70.5626;1.27229e+10;
1;16384;16384;estimate;0.00951361;70.702;1.27229e+10;
1;16384;16384;estimate;0.00960345;70.8136;1.27229e+10;
1;16384;16384;estimate;0.00969393;70.7924;1.27229e+10;
1;16384;16384;estimate;0.00958485;71.0109;1.27229e+10;
1;16384;16384;estimate;0.00955825;69.8811;1.27229e+10;
1;16384;16384;estimate;0.00982223;70.7107;1.27229e+10;
1;16384;16384;estimate;0.00993831;71.0387;1.27229e+10;
1;16384;16384;estimate;0.00928915;70.6358;1.27229e+10;
1;16384;16384;estimate;0.00949985;70.3445;1.27229e+10;
1;16384;16384;estimate;0.00950759;70.554;1.27229e+10;
1;16384;16384;estimate;0.00964615;70.1422;1.27229e+10;
1;16384;16384;estimate;0.00968421;70.3472;1.27229e+10;
1;16384;16384;estimate;0.00962699;70.6509;1.27229e+10;
1;16384;16384;estimate;0.00928064;70.6666;1.27229e+10;
1;16384;16384;estimate;0.00961919;70.3857;1.27229e+10;
1;16384;16384;estimate;0.00966151;70.3;1.27229e+10;
1;16384;16384;estimate;0.00939735;70.4232;1.27229e+10;
1;16384;16384;estimate;0.00968237;70.6701;1.27229e+10;
1;16384;16384;estimate;0.00909529;70.0908;1.27229e+10;
1;16384;16384;estimate;0.00966883;70.2912;1.27229e+10;
1;16384;16384;estimate;0.00961693;70.7444;1.27229e+10;
1;16384;16384;estimate;0.00938885;70.1367;1.27229e+10;
1;16384;16384;estimate;0.00985261;70.9205;1.27229e+10;
1;16384;16384;estimate;0.00964209;70.783;1.27229e+10;
1;16384;16384;estimate;0.00915239;70.6451;1.27229e+10;
1;16384;16384;estimate;0.00960681;70.4596;1.27229e+10;
1;16384;16384;estimate;0.00970058;70.4364;1.27229e+10;
1;16384;16384;estimate;0.00943945;70.3423;1.27229e+10;
1;16384;16384;estimate;0.00954075;70.079;1.27229e+10;
1;16384;16384;estimate;0.00962363;70.3072;1.27229e+10;
1;16384;16384;estimate;0.00970131;70.6261;1.27229e+10;
1;16384;16384;estimate;0.00931361;70.9992;1.27229e+10;
1;16384;16384;estimate;0.00974165;69.6825;1.27229e+10;
2;16384;16384;estimate;0.0103507;48.3244;1.27229e+10;
2;16384;16384;estimate;0.0101215;48.1012;1.27229e+10;
2;16384;16384;estimate;0.0105663;48.0313;1.27229e+10;
2;16384;16384;estimate;0.0105013;48.2074;1.27229e+10;
2;16384;16384;estimate;0.0103415;48.4725;1.27229e+10;
2;16384;16384;estimate;0.0101912;48.0682;1.27229e+10;
