n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;plan_flops;
1;16384;16384;estimate;0.00951358;70.1949;1.27229e+10;
1;16384;16384;estimate;0.00954921;70.2308;1.27229e+10;
1;16384;16384;estimate;0.00919407;69.8033;1.27229e+10;
1;16384;16384;estimate;0.00956355;70.3499;1.27229e+10;
1;16384;16384;estimate;0.00942367;70.2835;1.27229e+10;
1;16384;16384;estimate;0.00959193;69.8191;1.27229e+10;
1;16384;16384;estimate;0.00929843;69.9807;1.27229e+10;
1;16384;16384;estimate;0.00965705;70.3628;1.27229e+10;
1;16384;16384;estimate;0.00973599;69.3804;1.27229e+10;
1;16384;16384;estimate;0.00960051;71.3763;1.27229e+10;
1;16384;16384;estimate;0.00953555;70.5889;1.27229e+10;
1;16384;16384;estimate;0.00962788;70.5814;1.27229e+10;
1;16384;16384;estimate;0.00952007;70.0558;1.27229e+10;
1;16384;16384;estimate;0.00946809;69.5345;1.27229e+10;
1;16384;16384;estimate;0.00960067;70.7748;1.27229e+10;
1;16384;16384;estimate;0.00969231;70.6573;1.27229e+10;
1;16384;16384;estimate;0.00952309;70.5998;1.27229e+10;
1;16384;16384;estimate;0.00941663;69.5622;1.27229e+10;
1;16384;16384;estimate;0.00962509;69.7717;1.27229e+10;
1;16384;16384;estimate;0.00972027;70.5385;1.27229e+10;
1;16384;16384;estimate;0.00926051;70.6423;1.27229e+10;
1;16384;16384;estimate;0.00957897;70.2147;1.27229e+10;
1;16384;16384;estimate;0.00954741;70.7171;1.27229e+10;
1;16384;16384;estimate;0.00957531;70.2311;1.27229e+10;
1;16384;16384;estimate;0.00953095;70.7316;1.27229e+10;
1;16384;16384;estimate;0.00965997;69.8556;1.27229e+10;
1;16384;16384;estimate;0.0097208;70.0107;1.27229e+10;
1;16384;16384;estimate;0.00947503;70.3721;1.27229e+10;
1;16384;16384;estimate;0.00939701;70.9141;1.27229e+10;
1;16384;16384;estimate;0.00956687;70.6205;1.27229e+10;
1;16384;16384;estimate;0.00959639;70.7944;1.27229e+10;
1;16384;16384;estimate;0.00956431;70.6692;1.27229e+10;
