n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;80.0035;2.12042;77.8831;
1;16384;16384;estimate;79.8879;2.13046;77.7574;
1;16384;16384;estimate;79.8844;2.16697;77.7174;
1;16384;16384;estimate;79.8319;2.13554;77.6963;
1;16384;16384;estimate;79.6949;2.12955;77.5653;
1;16384;16384;estimate;79.6127;2.12951;77.4832;
1;16384;16384;estimate;79.7203;2.16522;77.5551;
1;16384;16384;estimate;80.019;2.10801;77.911;
1;16384;16384;estimate;79.9798;2.13713;77.8427;
1;16384;16384;estimate;79.971;2.12496;77.8461;
1;16384;16384;estimate;79.8154;2.09813;77.7172;
1;16384;16384;estimate;80.0275;2.12393;77.9036;
1;16384;16384;estimate;79.9203;2.12009;77.8002;
1;16384;16384;estimate;79.8529;2.11392;77.739;
1;16384;16384;estimate;79.795;2.14252;77.6524;
1;16384;16384;estimate;79.9787;2.11857;77.8601;
1;16384;16384;estimate;79.8881;2.127;77.7611;
1;16384;16384;estimate;79.8016;2.11606;77.6855;
1;16384;16384;estimate;79.9237;2.12682;77.7969;
1;16384;16384;estimate;79.9173;2.13437;77.7829;
1;16384;16384;estimate;79.7294;2.12549;77.6039;
1;16384;16384;estimate;79.662;2.15207;77.5099;
1;16384;16384;estimate;79.776;2.11578;77.6603;
1;16384;16384;estimate;79.7195;2.12314;77.5963;
1;16384;16384;estimate;79.9186;2.1248;77.7938;
1;16384;16384;estimate;79.9089;2.12991;77.779;
1;16384;16384;estimate;79.8381;2.13168;77.7064;
1;16384;16384;estimate;80.0107;2.07162;77.9391;
1;16384;16384;estimate;79.9567;2.10466;77.852;
1;16384;16384;estimate;79.6858;2.11033;77.5755;
1;16384;16384;estimate;79.7169;2.12768;77.5892;
1;16384;16384;estimate;79.8105;2.143;77.6675;
1;16384;16384;estimate;79.6948;2.10693;77.5879;
1;16384;16384;estimate;79.7365;2.12113;77.6153;
1;16384;16384;estimate;79.653;2.11453;77.5384;
1;16384;16384;estimate;79.9087;2.12076;77.7879;
1;16384;16384;estimate;79.9947;2.10634;77.8883;
1;16384;16384;estimate;79.8071;2.11608;77.691;
