n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;
1;16384;16384;estimate;84.4478;2.17203;82.2758;
1;16384;16384;estimate;84.3818;2.12038;82.2615;
1;16384;16384;estimate;84.3793;2.13489;82.2444;
1;16384;16384;estimate;84.2222;2.09427;82.1279;
1;16384;16384;estimate;84.6086;2.14752;82.461;
1;16384;16384;estimate;84.4654;2.18057;82.2848;
1;16384;16384;estimate;84.5131;2.12862;82.3845;
1;16384;16384;estimate;84.2256;2.11692;82.1087;
1;16384;16384;estimate;84.3547;2.13221;82.2225;
1;16384;16384;estimate;84.3635;2.12522;82.2383;
1;16384;16384;estimate;84.449;2.1177;82.3313;
1;16384;16384;estimate;84.3938;2.12789;82.2659;
1;16384;16384;estimate;84.4705;2.14311;82.3274;
1;16384;16384;estimate;84.6566;2.16172;82.4949;
1;16384;16384;estimate;84.4819;2.08043;82.4014;
1;16384;16384;estimate;84.1673;2.12156;82.0457;
1;16384;16384;estimate;84.3978;2.12465;82.2732;
1;16384;16384;estimate;84.5404;2.12273;82.4177;
1;16384;16384;estimate;84.2541;2.09329;82.1608;
1;16384;16384;estimate;84.3647;2.08816;82.2765;
1;16384;16384;estimate;84.2172;2.12094;82.0963;
1;16384;16384;estimate;84.304;2.13792;82.1661;
1;16384;16384;estimate;84.413;2.14858;82.2644;
1;16384;16384;estimate;84.5776;2.16666;82.411;
1;16384;16384;estimate;84.3086;2.13229;82.1763;
1;16384;16384;estimate;84.5347;2.11563;82.4191;
1;16384;16384;estimate;84.5777;2.13993;82.4378;
1;16384;16384;estimate;84.266;2.10104;82.165;
1;16384;16384;estimate;84.4781;2.12671;82.3514;
1;16384;16384;estimate;84.4766;2.11213;82.3645;
1;16384;16384;estimate;84.4795;2.10841;82.3711;
1;16384;16384;estimate;84.1909;2.1316;82.0593;
1;16384;16384;estimate;84.3449;2.10807;82.2368;
1;16384;16384;estimate;84.3146;2.10066;82.214;
1;16384;16384;estimate;84.3289;2.10775;82.2212;
1;16384;16384;estimate;84.0519;2.13013;81.9217;
1;16384;16384;estimate;84.2429;2.11956;82.1233;
1;16384;16384;estimate;84.3545;2.12608;82.2284;
1;16384;16384;estimate;84.3689;2.1306;82.2383;
1;16384;16384;estimate;84.2195;2.12727;82.0922;
1;16384;16384;estimate;84.3282;2.15138;82.1768;
1;16384;16384;estimate;84.4043;2.15607;82.2482;
1;16384;16384;estimate;84.4466;2.16206;82.2845;
1;16384;16384;estimate;84.1399;2.11892;82.021;
1;16384;16384;estimate;84.2966;2.10677;82.1898;
1;16384;16384;estimate;84.3315;2.15063;82.1808;
1;16384;16384;estimate;84.4529;2.12248;82.3304;
1;16384;16384;estimate;84.2784;2.12371;82.1547;
1;16384;16384;estimate;84.3547;2.11092;82.2437;
1;16384;16384;estimate;84.6197;2.12507;82.4947;
2;16384;16384;estimate;46.9553;2.12215;44.8331;
2;16384;16384;estimate;46.7957;2.13089;44.6648;
2;16384;16384;estimate;46.6245;2.12021;44.5043;
2;16384;16384;estimate;46.9911;2.14441;44.8467;
2;16384;16384;estimate;46.8835;2.11764;44.7659;
2;16384;16384;estimate;46.8003;2.12313;44.6771;
2;16384;16384;estimate;46.6011;2.12824;44.4729;
2;16384;16384;estimate;46.8962;2.10214;44.7941;
2;16384;16384;estimate;46.6218;2.12339;44.4984;
2;16384;16384;estimate;46.7465;2.11963;44.6268;
2;16384;16384;estimate;46.7536;2.11581;44.6378;
2;16384;16384;estimate;47.049;2.12403;44.925;
2;16384;16384;estimate;46.7414;2.15057;44.5908;
2;16384;16384;estimate;47.0865;2.13171;44.9548;
2;16384;16384;estimate;46.853;2.11292;44.7401;
2;16384;16384;estimate;46.5404;2.11941;44.421;
2;16384;16384;estimate;46.9492;2.1285;44.8207;
2;16384;16384;estimate;46.6045;2.09545;44.5091;
2;16384;16384;estimate;47.0056;2.08737;44.9182;
2;16384;16384;estimate;46.6381;2.12008;44.518;
2;16384;16384;estimate;46.9658;2.12064;44.8452;
2;16384;16384;estimate;46.8765;2.12924;44.7473;
2;16384;16384;estimate;46.9375;2.13771;44.7998;
2;16384;16384;estimate;46.5321;2.09328;44.4388;
2;16384;16384;estimate;46.5872;2.09591;44.4913;
2;16384;16384;estimate;46.7637;2.10715;44.6566;
2;16384;16384;estimate;47.1075;2.09524;45.0122;
