n_threads;n_x;n_y;plan;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;
1;16384;16384;estimate;83.6301;2.10931;81.5207;13.4875;28.6837;12.707;26.6424;
1;16384;16384;estimate;83.5516;2.08357;81.468;13.4401;28.677;12.6924;26.6585;
1;16384;16384;estimate;83.3398;2.13029;81.2095;13.408;28.6421;12.6829;26.4765;
1;16384;16384;estimate;83.4888;2.11671;81.372;13.3485;28.6846;12.6589;26.68;
1;16384;16384;estimate;83.2506;2.09997;81.1506;13.3554;28.7038;12.6806;26.4107;
1;16384;16384;estimate;83.4036;2.11016;81.2934;13.3835;28.6931;12.726;26.4908;
1;16384;16384;estimate;82.9887;2.14438;80.8442;13.4221;28.653;12.5185;26.2506;
1;16384;16384;estimate;83.3761;2.11728;81.2587;13.2773;28.7274;12.717;26.537;
1;16384;16384;estimate;82.9414;2.10226;80.839;13.2601;28.7482;12.5037;26.3271;
1;16384;16384;estimate;83.103;2.11274;80.9902;13.1885;28.6651;12.7141;26.4224;
1;16384;16384;estimate;83.2935;2.08135;81.212;13.2334;28.7722;12.7292;26.4772;
1;16384;16384;estimate;83.1993;2.11004;81.0892;13.2297;28.7565;12.7066;26.3964;
1;16384;16384;estimate;83.0146;2.13082;80.8836;13.2236;28.7734;12.6078;26.2789;
1;16384;16384;estimate;83.1197;2.11034;81.0093;13.2382;28.6857;12.6461;26.4392;
1;16384;16384;estimate;83.5174;2.11976;81.3976;13.1838;28.729;12.7782;26.7065;
1;16384;16384;estimate;83.4333;2.10617;81.327;13.2234;28.7132;12.7122;26.6781;
1;16384;16384;estimate;83.4988;2.11342;81.3853;13.2244;28.7551;12.6794;26.7264;
1;16384;16384;estimate;83.3875;2.10672;81.2807;13.1641;28.701;12.7559;26.6597;
1;16384;16384;estimate;83.4099;2.10956;81.3002;13.1839;28.7897;12.6653;26.6614;
1;16384;16384;estimate;83.3425;2.06713;81.2753;13.214;28.7318;12.6329;26.6965;
1;16384;16384;estimate;83.3518;2.1253;81.2264;13.1962;28.695;12.7337;26.6014;
1;16384;16384;estimate;83.3913;2.10141;81.2898;13.126;28.7407;12.7259;26.6972;
1;16384;16384;estimate;83.4653;2.12296;81.3422;13.1254;28.7185;12.7814;26.7169;
1;16384;16384;estimate;83.2331;2.1062;81.1268;13.1618;28.7239;12.591;26.6501;
1;16384;16384;estimate;83.2594;2.14718;81.1121;13.1334;28.698;12.6184;26.6624;
1;16384;16384;estimate;83.4024;2.06409;81.3382;13.1212;28.7801;12.7588;26.6781;
1;16384;16384;estimate;83.5338;2.17268;81.361;13.0688;28.7461;12.8976;26.6486;
1;16384;16384;estimate;83.2455;2.11816;81.1273;13.1342;28.7075;12.6089;26.6766;
1;16384;16384;estimate;83.2541;2.11346;81.1405;13.0675;28.7192;12.7637;26.59;
1;16384;16384;estimate;83.2029;2.09189;81.1109;13.1028;28.6877;12.6427;26.6777;
1;16384;16384;estimate;83.0055;2.07997;80.9254;13.077;28.6917;12.4806;26.6761;
1;16384;16384;estimate;83.0547;2.09576;80.9588;13.0437;28.6926;12.6028;26.6199;
1;16384;16384;estimate;83.2251;2.1038;81.1212;13.0661;28.8122;12.5439;26.6991;
