n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;first_fftw;first_trans;second_fftw;second_trans;plan_time;plan_flops;
1;16384;16384;estimate;par;80.7633;2.1298;78.6334;11.6648;28.5659;12.2686;26.1341;0.0296084;1.94665e+10;
1;16384;16384;estimate;par;80.8534;2.08882;78.7645;11.748;28.6526;12.3216;26.0423;0.00901419;1.94665e+10;
1;16384;16384;estimate;par;80.6989;2.09052;78.6083;11.7211;28.4825;12.3406;26.0642;0.00937153;1.94665e+10;
1;16384;16384;estimate;par;80.7955;2.11067;78.6847;11.795;28.5451;12.2388;26.1058;0.00937963;1.94665e+10;
1;16384;16384;estimate;par;80.8716;2.11054;78.7609;11.7492;28.5619;12.3396;26.1103;0.00927421;1.94665e+10;
1;16384;16384;estimate;par;80.8115;2.09022;78.7212;11.7843;28.4991;12.3682;26.0696;0.00902645;1.94665e+10;
1;16384;16384;estimate;par;80.7604;2.07908;78.6812;11.7921;28.5874;12.1926;26.1091;0.00938487;1.94665e+10;
1;16384;16384;estimate;par;80.849;2.08802;78.7609;11.7428;28.5126;12.3723;26.1332;0.00912179;1.94665e+10;
1;16384;16384;estimate;par;80.5784;2.11042;78.4679;11.7477;28.5234;12.2121;25.9847;0.00935421;1.94665e+10;
1;16384;16384;estimate;par;80.8833;2.12026;78.7629;11.7705;28.4794;12.3911;26.1219;0.00940543;1.94665e+10;
1;16384;16384;estimate;par;80.8402;2.1253;78.7149;11.7311;28.5797;12.2845;26.1195;0.00937149;1.94665e+10;
1;16384;16384;estimate;par;80.9763;2.1012;78.875;11.834;28.5826;12.383;26.0754;0.00938205;1.94665e+10;
1;16384;16384;estimate;par;80.789;2.10594;78.683;11.7221;28.5327;12.3616;26.0666;0.0100016;1.94665e+10;
1;16384;16384;estimate;par;80.9825;2.10463;78.8778;11.7491;28.6048;12.4318;26.092;0.00902555;1.94665e+10;
1;16384;16384;estimate;par;80.7083;2.10743;78.6008;11.7651;28.4756;12.2032;26.1569;0.00925211;1.94665e+10;
1;16384;16384;estimate;par;80.7663;2.10956;78.6566;11.6895;28.4721;12.3747;26.1204;0.00941039;1.94665e+10;
1;16384;16384;estimate;par;80.9634;2.12176;78.8416;11.7222;28.5822;12.3424;26.1948;0.00933217;1.94665e+10;
1;16384;16384;estimate;par;80.8547;2.08862;78.766;11.7725;28.5265;12.3934;26.0737;0.00940483;1.94665e+10;
1;16384;16384;estimate;par;80.7362;2.07294;78.6631;11.7124;28.6068;12.2456;26.0983;0.00928191;1.94665e+10;
1;16384;16384;estimate;par;80.9202;2.11198;78.8081;11.7432;28.5729;12.3559;26.1361;0.00930371;1.94665e+10;
1;16384;16384;estimate;par;80.7551;2.08208;78.673;11.7762;28.4694;12.3939;26.0335;0.00883577;1.94665e+10;
1;16384;16384;estimate;par;81.0028;2.10377;78.899;11.8179;28.5459;12.4297;26.1054;0.00929427;1.94665e+10;
1;16384;16384;estimate;par;80.6468;2.09417;78.5526;11.7591;28.54;12.1408;26.1127;0.00926799;1.94665e+10;
1;16384;16384;estimate;par;80.8854;2.11695;78.7684;11.7862;28.4374;12.4384;26.1064;0.00943861;1.94665e+10;
1;16384;16384;estimate;par;80.7548;2.1101;78.6446;11.8412;28.3994;12.2917;26.1123;0.00956455;1.94665e+10;
1;16384;16384;estimate;par;80.8136;2.11322;78.7003;11.8121;28.435;12.3287;26.1245;0.00931841;1.94665e+10;
1;16384;16384;estimate;par;80.5721;2.10472;78.4673;11.7581;28.521;12.2447;25.9436;0.00951053;1.94665e+10;
1;16384;16384;estimate;par;80.9225;2.1173;78.8051;11.7367;28.4678;12.4229;26.1778;0.00938369;1.94665e+10;
1;16384;16384;estimate;par;80.6536;2.10395;78.5496;11.7964;28.4632;12.2834;26.0066;0.00957927;1.94665e+10;
1;16384;16384;estimate;par;80.8857;2.09419;78.7915;11.8004;28.4988;12.4122;26.0801;0.00912217;1.94665e+10;
1;16384;16384;estimate;par;80.7602;2.0909;78.6692;11.7857;28.55;12.2485;26.0849;0.00946327;1.94665e+10;
1;16384;16384;estimate;par;80.7255;2.08549;78.6399;11.7016;28.5336;12.3748;26.0299;0.00934809;1.94665e+10;
1;16384;16384;estimate;par;80.7988;2.08835;78.7104;11.7904;28.499;12.3;26.1211;0.00927325;1.94665e+10;
1;16384;16384;estimate;par;80.7541;2.10048;78.6535;11.7348;28.5416;12.3006;26.0766;0.00911177;1.94665e+10;
1;16384;16384;estimate;par;80.9868;2.10539;78.8813;11.8225;28.5406;12.4089;26.1093;0.00929607;1.94665e+10;
1;16384;16384;estimate;par;80.8941;2.10544;78.7886;11.7582;28.5676;12.34;26.1228;0.00946923;1.94665e+10;
1;16384;16384;estimate;par;80.942;2.10795;78.834;11.7461;28.546;12.4545;26.0874;0.00900897;1.94665e+10;
1;16384;16384;estimate;par;80.731;2.08017;78.6507;11.7532;28.4765;12.2925;26.1285;0.00933439;1.94665e+10;
1;16384;16384;estimate;par;80.9301;2.10148;78.8286;11.8491;28.5342;12.3485;26.0967;0.00931639;1.94665e+10;
1;16384;16384;estimate;par;80.8523;2.07573;78.7765;11.7126;28.5736;12.3776;26.1127;0.00912479;1.94665e+10;
1;16384;16384;estimate;par;80.9596;2.08004;78.8795;11.8054;28.5581;12.3864;26.1295;0.00933031;1.94665e+10;
1;16384;16384;estimate;par;80.8634;2.11028;78.753;11.7897;28.5069;12.3901;26.0664;0.00934937;1.94665e+10;
1;16384;16384;estimate;par;80.669;2.12334;78.5455;11.8277;28.5223;12.405;25.7905;0.00948971;1.94665e+10;
1;16384;16384;estimate;par;80.744;2.09941;78.6444;11.731;28.4983;12.3543;26.0608;0.00936775;1.94665e+10;
1;16384;16384;estimate;par;80.7882;2.09568;78.6925;11.7682;28.5353;12.3297;26.0592;0.00899631;1.94665e+10;
1;16384;16384;estimate;par;80.88;2.10252;78.7774;11.7517;28.5471;12.3872;26.0913;0.00946481;1.94665e+10;
1;16384;16384;estimate;par;80.9072;2.11414;78.793;11.7792;28.5124;12.4027;26.0986;0.00938815;1.94665e+10;
1;16384;16384;estimate;par;80.8569;2.11647;78.7404;11.7614;28.5827;12.2838;26.1125;0.00883373;1.94665e+10;
1;16384;16384;estimate;par;80.7301;2.09198;78.638;11.7257;28.5547;12.3408;26.0167;0.00942485;1.94665e+10;
1;16384;16384;estimate;par;80.7645;2.06119;78.7032;11.7612;28.4684;12.4158;26.0578;0.00946175;1.94665e+10;
2;16384;16384;estimate;par;44.7738;2.11369;42.66;6.43336;14.5315;7.69644;13.9986;0.00921833;1.94665e+10;
2;16384;16384;estimate;par;44.5384;2.09185;42.4465;6.29695;14.4536;7.68237;14.0136;0.00960093;1.94665e+10;
2;16384;16384;estimate;par;44.3858;2.10274;42.283;6.41431;14.5155;7.3164;14.0368;0.00953515;1.94665e+10;
2;16384;16384;estimate;par;44.5075;2.09352;42.4139;6.4039;14.4543;7.56465;13.9911;0.00961655;1.94665e+10;
2;16384;16384;estimate;par;44.3276;2.07733;42.2502;6.4006;14.517;7.30398;14.0285;0.00909847;1.94665e+10;
2;16384;16384;estimate;par;44.5253;2.10087;42.4243;6.39991;14.478;7.51624;14.0302;0.00952947;1.94665e+10;
