n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
1;1024;1024;estimate;all_to_all;0.0338863;0.00988777;0.023982;0.00480671;0.000839214;0.00387137;0.00147267;0.00444672;0.000824024;0.00427281;0.0034485;
1;1024;1024;estimate;all_to_all;0.0337411;0.00977694;0.0239579;0.00477265;0.000831384;0.00384889;0.0014234;0.00447369;0.000814973;0.004322;0.00347086;
1;1024;1024;estimate;all_to_all;0.0340076;0.00982717;0.0241748;0.00479242;0.000876126;0.00407961;0.0014153;0.00445035;0.000805873;0.00431721;0.00343793;
1;1024;1024;estimate;all_to_all;0.0339224;0.0098059;0.0241106;0.00479081;0.000859145;0.00391983;0.00141877;0.00451203;0.000811143;0.00434361;0.00345525;
1;1024;1024;estimate;all_to_all;0.0339382;0.00988002;0.0240522;0.00470208;0.000856294;0.00391584;0.00141863;0.00452093;0.000821074;0.00438151;0.0034358;
4;2048;2048;estimate;all_to_all;0.0850333;0.0285492;0.0564527;0.00628361;0.00269893;0.0128533;0.0040519;0.0071186;0.00223508;0.0156203;0.00559098;
4;2048;2048;estimate;all_to_all;0.0864507;0.0286722;0.0577727;0.00601233;0.00263374;0.0130022;0.00401617;0.00707828;0.00220811;0.0148263;0.00799557;
4;2048;2048;estimate;all_to_all;0.0879492;0.0286352;0.0592967;0.00785648;0.00258731;0.012851;0.00398437;0.00713562;0.00220508;0.0146537;0.00802317;
4;2048;2048;estimate;all_to_all;0.0887139;0.0287005;0.0599996;0.00694845;0.00263939;0.0128723;0.00412394;0.00798852;0.00219931;0.0149491;0.00827855;
4;2048;2048;estimate;all_to_all;0.0898007;0.0287422;0.0610482;0.00784003;0.00266393;0.0131636;0.00406322;0.0073721;0.00222237;0.0157867;0.00793628;
16;4096;4096;estimate;all_to_all;0.250006;0.0944598;0.155538;0.00971038;0.00557764;0.0471654;0.00648563;0.0100148;0.00504345;0.0522619;0.0192787;
16;4096;4096;estimate;all_to_all;0.24961;0.0948343;0.154769;0.00938192;0.00566995;0.0459063;0.00648713;0.0114893;0.00493902;0.0515376;0.0193582;
16;4096;4096;estimate;all_to_all;0.251052;0.0964698;0.154572;0.0109116;0.0057293;0.0452705;0.00697117;0.0100039;0.00523015;0.0512799;0.0191757;
16;4096;4096;estimate;all_to_all;0.248967;0.0970948;0.151866;0.00763427;0.0054442;0.0459463;0.00651463;0.0099851;0.00514197;0.051727;0.0194729;
16;4096;4096;estimate;all_to_all;0.248999;0.0962316;0.15275;0.00974827;0.00546132;0.0451817;0.00657064;0.0115499;0.00490666;0.0516355;0.0176961;
64;8192;8192;estimate;all_to_all;0.945142;0.426636;0.518486;0.00854907;0.0132685;0.192464;0.0137719;0.0130825;0.0128545;0.206804;0.0576918;
64;8192;8192;estimate;all_to_all;0.916514;0.393485;0.523009;0.00956384;0.0129143;0.188375;0.0133826;0.0132063;0.012765;0.215355;0.0574474;
64;8192;8192;estimate;all_to_all;0.926967;0.397078;0.529869;0.00836145;0.0133399;0.19259;0.0137489;0.01368;0.0129072;0.217089;0.0581518;
64;8192;8192;estimate;all_to_all;0.92143;0.390778;0.530645;0.0101644;0.0128599;0.191448;0.0138375;0.0130155;0.0129247;0.218098;0.0582966;
64;8192;8192;estimate;all_to_all;0.926055;0.395225;0.530824;0.00946762;0.0128719;0.194565;0.0137269;0.0131364;0.0127712;0.215868;0.0584169;
256;16384;16384;estimate;all_to_all;4.75209;2.07379;2.67828;0.134441;0.0486961;1.03407;0.0885772;0.0403901;0.0518567;1.12512;0.155135;
256;16384;16384;estimate;all_to_all;4.75728;2.09134;2.66594;0.134156;0.0512295;1.02245;0.0878052;0.0401794;0.0522125;1.12406;0.153841;
256;16384;16384;estimate;all_to_all;4.78435;2.10444;2.67989;0.139541;0.0507317;1.02647;0.0893272;0.0400784;0.0516148;1.12471;0.157421;
256;16384;16384;estimate;all_to_all;4.72075;2.08248;2.63826;0.134238;0.0503663;1.02966;0.0869442;0.0396176;0.0516543;1.10137;0.144409;
256;16384;16384;estimate;all_to_all;4.79766;2.10745;2.6902;0.131999;0.0485728;1.04706;0.0866146;0.0441203;0.0516431;1.12652;0.153671;
