n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
1;24;16384;16384;estimate;0.00862666;9.74482;
1;24;16384;16384;estimate;0.00863536;9.72705;
1;24;16384;16384;estimate;0.00860107;9.65672;
1;24;16384;16384;estimate;0.00852943;9.71828;
1;24;16384;16384;estimate;0.00857189;9.65864;
4;24;32768;32768;estimate;0.040121;20.371;
4;24;32768;32768;estimate;0.0320672;20.3048;
4;24;32768;32768;estimate;0.102796;20.3876;
4;24;32768;32768;estimate;0.0277481;20.3957;
4;24;32768;32768;estimate;0.102955;20.3243;
16;24;65536;65536;estimate;0.0329173;18.1342;
16;24;65536;65536;estimate;0.0866235;18.0866;
16;24;65536;65536;estimate;0.0196816;17.9114;
16;24;65536;65536;estimate;0.0228886;17.9658;
16;24;65536;65536;estimate;0.0866543;17.9469;
