n_ranks;n_threads;n_x;n_y;plan;planning;fftw_2d_r2c;
24;1;16384;16384;estimate;0.00527566;0.898594;
24;1;16384;16384;estimate;0.00530088;0.895695;
24;1;16384;16384;estimate;0.00544669;0.89831;
24;1;16384;16384;estimate;0.00542624;0.898674;
24;1;16384;16384;estimate;0.00539965;0.898185;
96;1;32768;32768;estimate;0.0288708;1.84527;
96;1;32768;32768;estimate;0.0655549;1.79014;
96;1;32768;32768;estimate;0.0284779;1.7933;
96;1;32768;32768;estimate;0.0410302;1.76341;
96;1;32768;32768;estimate;0.0304107;1.69954;
384;1;65536;65536;estimate;0.066785;5.36081;
384;1;65536;65536;estimate;0.0696111;4.76047;
384;1;65536;65536;estimate;0.0633882;4.5107;
384;1;65536;65536;estimate;0.0679354;5.15298;
384;1;65536;65536;estimate;0.048276;4.70961;
