n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
24;16384;16384;estimate;scatter;1.03243;0.610711;0.421695;0.111243;0.0556878;0.000511671;0.0579757;0.091212;0.0541574;0.0037656;0.0471422;
24;16384;16384;estimate;scatter;1.0388;0.614698;0.424078;0.111803;0.0559186;0.000524255;0.0576977;0.0910505;0.0561104;0.00384556;0.0471277;
24;16384;16384;estimate;scatter;1.03918;0.612635;0.426517;0.112081;0.0578297;0.000427944;0.0576653;0.0914366;0.0560277;0.00372533;0.047323;
24;16384;16384;estimate;scatter;1.04095;0.610953;0.429965;0.115834;0.057457;0.000409219;0.0579222;0.0912638;0.0560006;0.00373288;0.0473447;
24;16384;16384;estimate;scatter;1.04048;0.61947;0.420985;0.11133;0.0557209;0.000491474;0.0576989;0.0909757;0.0543597;0.00379403;0.0466152;
24;32768;32768;estimate;scatter;10.845;0.615677;10.2293;0.122587;0.0601765;3.8943;0.805545;0.195999;0.0570128;4.93333;0.160344;
24;32768;32768;estimate;scatter;10.3027;0.706859;9.59577;0.123576;0.235787;3.32611;0.801528;0.234127;0.0575665;4.65588;0.161199;
24;32768;32768;estimate;scatter;10.8016;0.617629;10.1839;0.123332;0.0563873;3.91569;0.796857;0.192496;0.054327;4.87818;0.166641;
24;32768;32768;estimate;scatter;10.6085;0.61582;9.9927;0.122416;0.0561938;3.96254;0.80258;0.234075;0.0555505;4.58094;0.1784;
24;32768;32768;estimate;scatter;10.2063;0.702295;9.50397;0.12387;0.236481;3.19517;0.804647;0.231731;0.0619798;4.68477;0.165319;
24;65536;65536;estimate;scatter;43.1217;0.630229;42.4915;0.192434;0.0569535;19.0154;1.67474;0.156944;0.0576159;20.9316;0.405769;
24;65536;65536;estimate;scatter;43.8235;0.629029;43.1943;0.193451;0.0580491;20.0791;0.936379;0.142663;0.0591147;21.3235;0.402098;
24;65536;65536;estimate;scatter;42.0362;0.625535;41.4106;0.257691;0.0628075;20.3001;0.483997;0.143075;0.0570644;19.44;0.665922;
24;65536;65536;estimate;scatter;40.8158;0.631854;40.1839;0.251363;0.635246;18.5657;0.484117;0.141623;0.0577027;19.6352;0.412988;
24;65536;65536;estimate;scatter;41.886;0.62633;41.2597;0.329069;0.709483;18.2432;1.69495;0.143808;0.0560692;19.4123;0.670797;
