n_threads;n_x;n_y;plan;run_flag;total;initialization;fft_2d_total;
1;1024;1024;estimate;scatter;0.219534;0.0114829;0.208051;
1;1024;1024;estimate;scatter;0.218788;0.0125406;0.206247;
1;1024;1024;estimate;scatter;0.220238;0.0102737;0.209964;
1;1024;1024;estimate;scatter;0.219627;0.0102676;0.20936;
1;1024;1024;estimate;scatter;0.218251;0.0103129;0.207938;
4;2048;2048;estimate;scatter;0.458612;0.0309429;0.427669;
4;2048;2048;estimate;scatter;0.469022;0.0314221;0.4376;
4;2048;2048;estimate;scatter;0.46469;0.031552;0.433138;
4;2048;2048;estimate;scatter;0.462906;0.0315915;0.431315;
4;2048;2048;estimate;scatter;0.462019;0.0316782;0.430341;
16;4096;4096;estimate;scatter;0.975191;0.0978204;0.87737;
16;4096;4096;estimate;scatter;0.971094;0.0997751;0.871319;
16;4096;4096;estimate;scatter;0.964269;0.100455;0.863814;
16;4096;4096;estimate;scatter;0.971015;0.103289;0.867726;
16;4096;4096;estimate;scatter;0.977284;0.102577;0.874707;
64;8192;8192;estimate;scatter;2.08247;0.40042;1.68205;
64;8192;8192;estimate;scatter;2.18014;0.415285;1.76485;
64;8192;8192;estimate;scatter;2.56731;0.51388;2.05343;
64;8192;8192;estimate;scatter;2.33982;0.499359;1.84046;
64;8192;8192;estimate;scatter;2.07299;0.42677;1.64622;
256;16384;16384;estimate;scatter;17.1637;2.12343;15.0403;
256;16384;16384;estimate;scatter;16.5888;2.19445;14.3944;
256;16384;16384;estimate;scatter;16.454;2.15677;14.2973;
256;16384;16384;estimate;scatter;14.0365;2.20526;11.8312;
256;16384;16384;estimate;scatter;12.19;2.15272;10.0372;
