n_threads;n_x;n_y;plan;comm_flag;total;initialization;fft_2d_total;first_fftw;first_split;first_comm;first_trans;second_fftw;second_split;second_comm;second_trans;
1;1024;1024;estimate;scatter;0.026283;0.00950276;0.0167736;0.00468767;0.000823703;0.000742742;0.00109314;0.00445138;0.000809703;0.000771462;0.00339383;
1;1024;1024;estimate;scatter;0.0260147;0.00948031;0.0165188;0.00482114;0.000862264;0.000213716;0.00108828;0.00450317;0.000802803;0.000741321;0.00348611;
1;1024;1024;estimate;scatter;0.0260712;0.00960701;0.0164573;0.00470594;0.000861845;0.000227746;0.00114427;0.00451391;0.000837754;0.000760502;0.00340537;
1;1024;1024;estimate;scatter;0.0262111;0.00959133;0.0164801;0.00475274;0.000883506;0.000208996;0.00111708;0.00447855;0.000856865;0.000773052;0.00340928;
1;1024;1024;estimate;scatter;0.026053;0.00955717;0.0164898;0.00477747;0.000888286;0.000203465;0.00117493;0.00445988;0.000815083;0.000774382;0.00339626;
4;2048;2048;estimate;scatter;0.0599049;0.0276877;0.032201;0.00980827;0.00262292;0.000209196;0.00429684;0.00485166;0.00225022;0.00203427;0.0061276;
4;2048;2048;estimate;scatter;0.0634235;0.02773;0.0356663;0.00695024;0.00289668;0.000261088;0.00389962;0.00713785;0.00216857;0.00205219;0.0103001;
4;2048;2048;estimate;scatter;0.0611264;0.0277651;0.0333415;0.00812247;0.00268254;0.000242467;0.00402184;0.00711218;0.00215418;0.00207531;0.00693055;
4;2048;2048;estimate;scatter;0.0629533;0.0280665;0.0348815;0.00824236;0.00258985;0.000214497;0.00426894;0.00711932;0.00213182;0.00212273;0.00819198;
4;2048;2048;estimate;scatter;0.0618829;0.0280278;0.0338489;0.00597468;0.00263562;0.000198436;0.00544308;0.0071484;0.00227875;0.00219063;0.0079793;
16;4096;4096;estimate;scatter;0.162411;0.0930705;0.0693341;0.0110848;0.00559145;0.000374591;0.00663347;0.00987276;0.00501581;0.00591364;0.0248476;
16;4096;4096;estimate;scatter;0.162626;0.0924781;0.0701292;0.011897;0.0056362;0.000302939;0.00650905;0.0098658;0.00508742;0.00596372;0.0248671;
16;4096;4096;estimate;scatter;0.164387;0.0941094;0.0702665;0.0114213;0.00588851;0.00033436;0.00658226;0.00989526;0.00492029;0.0060878;0.0251366;
16;4096;4096;estimate;scatter;0.162503;0.094482;0.0680136;0.00953488;0.00580976;0.00032535;0.00664132;0.0097528;0.00501578;0.00607519;0.0248585;
16;4096;4096;estimate;scatter;0.164994;0.0945574;0.0704307;0.011383;0.00576694;0.000420622;0.0066112;0.00987705;0.00515458;0.00612913;0.0250882;
64;8192;8192;estimate;scatter;0.549873;0.404955;0.144911;0.00946352;0.0129494;0.000418393;0.0135555;0.0138461;0.0128875;0.0180273;0.0637632;
64;8192;8192;estimate;scatter;0.542721;0.391312;0.151383;0.0100749;0.0128954;0.000440633;0.0139322;0.013111;0.0127787;0.0179586;0.0701916;
64;8192;8192;estimate;scatter;0.542462;0.389098;0.153344;0.0117631;0.0132191;0.000424082;0.0137046;0.0129868;0.0129765;0.0179278;0.0703424;
64;8192;8192;estimate;scatter;0.536479;0.391049;0.145423;0.0110358;0.0128233;0.000410492;0.0144927;0.013143;0.0128653;0.0190434;0.0616086;
64;8192;8192;estimate;scatter;0.532146;0.391128;0.14101;0.0103777;0.0131013;0.000423492;0.0136397;0.0141892;0.0126759;0.0189642;0.0576384;
256;16384;16384;estimate;scatter;2.7532;2.18842;0.564753;0.137958;0.0497011;0.000930887;0.0730389;0.0396381;0.0513856;0.107481;0.10462;
256;16384;16384;estimate;scatter;2.71059;2.1246;0.585976;0.140731;0.050348;0.000917347;0.0769216;0.0473448;0.0514806;0.109842;0.10839;
256;16384;16384;estimate;scatter;2.6313;2.06904;0.562232;0.132718;0.0496966;0.00103659;0.0709202;0.0399721;0.0516057;0.110476;0.105807;
256;16384;16384;estimate;scatter;2.68492;2.1149;0.570008;0.133206;0.0501457;0.00100242;0.0745657;0.0393258;0.051408;0.114163;0.106191;
256;16384;16384;estimate;scatter;2.66277;2.09335;0.569405;0.135077;0.0483544;0.00103463;0.0760052;0.0400411;0.0521958;0.109825;0.106872;
